1470298801861: 	acted on	innerText
1470298801936: 	sub-instrument	start	draw	true
1470298801937: 	activate	draw
1470298803289: 	draw	image-5	{"x":28.5,"y":54.5}
1470298803960: 	draw	image-5	{"x":32.5,"y":69.5}
1470298803969: 	draw	image-5	{"x":34.5,"y":69.5}
1470298803976: 	draw	image-5	{"x":37.5,"y":68.5}
1470298803985: 	draw	image-5	{"x":39.5,"y":67.5}
1470298803993: 	draw	image-5	{"x":42.5,"y":65.5}
1470298804001: 	draw	image-5	{"x":44.5,"y":63.5}
1470298804010: 	draw	image-5	{"x":45.5,"y":61.5}
1470298804018: 	draw	image-5	{"x":46.5,"y":59.5}
1470298804027: 	draw	image-5	{"x":46.5,"y":57.5}
1470298804033: 	draw	image-5	{"x":46.5,"y":56.5}
1470298804042: 	draw	image-5	{"x":46.5,"y":55.5}
1470298804051: 	draw	image-5	{"x":45.5,"y":54.5}
1470298804060: 	draw	image-5	{"x":44.5,"y":53.5}
1470298804067: 	draw	image-5	{"x":41.5,"y":52.5}
1470298804075: 	draw	image-5	{"x":37.5,"y":52.5}
1470298804083: 	draw	image-5	{"x":34.5,"y":52.5}
1470298804092: 	draw	image-5	{"x":31.5,"y":52.5}
1470298804101: 	draw	image-5	{"x":28.5,"y":52.5}
1470298804108: 	draw	image-5	{"x":27.5,"y":53.5}
1470298804117: 	draw	image-5	{"x":25.5,"y":53.5}
1470298804125: 	draw	image-5	{"x":24.5,"y":55.5}
1470298804133: 	draw	image-5	{"x":22.5,"y":57.5}
1470298804143: 	draw	image-5	{"x":22.5,"y":58.5}
1470298804150: 	draw	image-5	{"x":21.5,"y":60.5}
1470298804158: 	draw	image-5	{"x":21.5,"y":63.5}
1470298804168: 	draw	image-5	{"x":21.5,"y":65.5}
1470298804175: 	draw	image-5	{"x":21.5,"y":66.5}
1470298804183: 	draw	image-5	{"x":22.5,"y":67.5}
1470298804193: 	draw	image-5	{"x":23.5,"y":69.5}
1470298804200: 	draw	image-5	{"x":24.5,"y":70.5}
1470298804208: 	draw	image-5	{"x":25.5,"y":70.5}
1470298804218: 	draw	image-5	{"x":27.5,"y":71.5}
1470298804225: 	draw	image-5	{"x":29.5,"y":71.5}
1470298804233: 	draw	image-5	{"x":30.5,"y":71.5}
1470298804243: 	draw	image-5	{"x":31.5,"y":71.5}
1470298804250: 	draw	image-5	{"x":33.5,"y":70.5}
1470298804258: 	draw	image-5	{"x":35.5,"y":70.5}
1470298804267: 	draw	image-5	{"x":36.5,"y":68.5}
1470298804275: 	draw	image-5	{"x":37.5,"y":66.5}
1470298804284: 	draw	image-5	{"x":38.5,"y":64.5}
1470298804293: 	draw	image-5	{"x":39.5,"y":63.5}
1470298804300: 	draw	image-5	{"x":39.5,"y":61.5}
1470298804308: 	draw	image-5	{"x":39.5,"y":59.5}
1470298804317: 	draw	image-5	{"x":38.5,"y":58.5}
