1470299791532: 	acted on	innerText
1470299791683: 	sub-instrument	start	draw	true
1470299791711: 	activate	draw
1470299795641: 	draw	image-5	{"x":37,"y":71}
1470299795719: 	draw	image-5	{"x":26,"y":84}
1470299795726: 	draw	image-5	{"x":25,"y":88}
1470299795735: 	draw	image-5	{"x":25,"y":91}
1470299795744: 	draw	image-5	{"x":25,"y":94}
1470299795752: 	draw	image-5	{"x":26,"y":95}
1470299795761: 	draw	image-5	{"x":26,"y":97}
1470299795768: 	draw	image-5	{"x":27,"y":99}
1470299795778: 	draw	image-5	{"x":28,"y":100}
1470299795785: 	draw	image-5	{"x":29,"y":100}
1470299795793: 	draw	image-5	{"x":29,"y":101}
1470299795819: 	draw	image-5	{"x":37,"y":99}
1470299795802: 	draw	image-5	{"x":31,"y":101}
1470299795809: 	draw	image-5	{"x":33,"y":100}
1470299795827: 	draw	image-5	{"x":40,"y":95}
1470299795835: 	draw	image-5	{"x":42,"y":92}
1470299795843: 	draw	image-5	{"x":44,"y":88}
1470299795852: 	draw	image-5	{"x":46,"y":84}
1470299795861: 	draw	image-5	{"x":47,"y":80}
1470299795868: 	draw	image-5	{"x":48,"y":75}
1470299795877: 	draw	image-5	{"x":47,"y":72}
1470299795884: 	draw	image-5	{"x":47,"y":69}
1470299795893: 	draw	image-5	{"x":45,"y":67}
1470299795901: 	draw	image-5	{"x":43,"y":66}
1470299795911: 	draw	image-5	{"x":41,"y":64}
1470299795918: 	draw	image-5	{"x":40,"y":64}
1470299795927: 	draw	image-5	{"x":37,"y":63}
1470299795937: 	draw	image-5	{"x":34,"y":63}
1470299795943: 	draw	image-5	{"x":31,"y":64}
1470299795953: 	draw	image-5	{"x":28,"y":65}
1470299795959: 	draw	image-5	{"x":26,"y":67}
1470299795968: 	draw	image-5	{"x":24,"y":68}
1470299795977: 	draw	image-5	{"x":22,"y":71}
1470299795984: 	draw	image-5	{"x":21,"y":73}
1470299795993: 	draw	image-5	{"x":21,"y":77}
1470299796002: 	draw	image-5	{"x":20,"y":79}
1470299796009: 	draw	image-5	{"x":21,"y":81}
1470299796018: 	draw	image-5	{"x":22,"y":83}
1470299796026: 	draw	image-5	{"x":23,"y":85}
1470299796036: 	draw	image-5	{"x":25,"y":86}
1470299796043: 	draw	image-5	{"x":27,"y":88}
1470299796051: 	draw	image-5	{"x":29,"y":88}
1470299796060: 	draw	image-5	{"x":32,"y":89}
1470299796068: 	draw	image-5	{"x":36,"y":89}
1470299796076: 	draw	image-5	{"x":40,"y":88}
1470299796088: 	draw	image-5	{"x":43,"y":86}
1470299796102: 	draw	image-5	{"x":48,"y":82}
1470299796110: 	draw	image-5	{"x":50,"y":80}
1470299796118: 	draw	image-5	{"x":52,"y":77}
1470299796126: 	draw	image-5	{"x":53,"y":74}
1470299796135: 	draw	image-5	{"x":54,"y":71}
1470299796142: 	draw	image-5	{"x":54,"y":69}
1470299796152: 	draw	image-5	{"x":53,"y":67}
1470299796160: 	draw	image-5	{"x":52,"y":66}
1470299796169: 	draw	image-5	{"x":49,"y":64}
1470299796176: 	draw	image-5	{"x":44,"y":64}
1470299796185: 	draw	image-5	{"x":39,"y":66}
1470299796192: 	draw	image-5	{"x":35,"y":68}
1470299796201: 	draw	image-5	{"x":31,"y":69}
1470299796209: 	draw	image-5	{"x":28,"y":71}
1470299796219: 	draw	image-5	{"x":27,"y":73}
1470299796226: 	draw	image-5	{"x":25,"y":74}
1470299796234: 	draw	image-5	{"x":25,"y":76}
1470299796242: 	draw	image-5	{"x":24,"y":79}
1470299796252: 	draw	image-5	{"x":25,"y":82}
1470299796463: 	draw	image-5	{"x":68,"y":99}
1470299796560: 	draw	image-5	{"x":70,"y":115}
1470299796567: 	draw	image-5	{"x":72,"y":116}
1470299796577: 	draw	image-5	{"x":74,"y":117}
1470299796585: 	draw	image-5	{"x":77,"y":117}
1470299796593: 	draw	image-5	{"x":80,"y":117}
1470299796602: 	draw	image-5	{"x":82,"y":117}
1470299796610: 	draw	image-5	{"x":85,"y":116}
1470299796617: 	draw	image-5	{"x":88,"y":114}
1470299796628: 	draw	image-5	{"x":90,"y":110}
