1470219361504: 	acted on	innerText
1470219361670: 	sub-instrument	start	draw	true
1470219361698: 	activate	draw
1470219365547: 	draw	image-5	{"x":40,"y":70}
1470219365617: 	draw	image-5	{"x":26,"y":79}
1470219365625: 	draw	image-5	{"x":25,"y":82}
1470219365633: 	draw	image-5	{"x":24,"y":84}
1470219365641: 	draw	image-5	{"x":24,"y":86}
1470219365649: 	draw	image-5	{"x":23,"y":87}
1470219365658: 	draw	image-5	{"x":24,"y":89}
1470219365666: 	draw	image-5	{"x":24,"y":90}
1470219365675: 	draw	image-5	{"x":25,"y":91}
1470219365683: 	draw	image-5	{"x":26,"y":92}
1470219365691: 	draw	image-5	{"x":27,"y":93}
1470219365699: 	draw	image-5	{"x":29,"y":93}
1470219365709: 	draw	image-5	{"x":31,"y":93}
1470219365717: 	draw	image-5	{"x":35,"y":92}
1470219365725: 	draw	image-5	{"x":39,"y":91}
1470219365733: 	draw	image-5	{"x":42,"y":89}
1470219365741: 	draw	image-5	{"x":45,"y":87}
1470219365749: 	draw	image-5	{"x":48,"y":84}
1470219365759: 	draw	image-5	{"x":50,"y":81}
1470219365766: 	draw	image-5	{"x":52,"y":80}
1470219365775: 	draw	image-5	{"x":53,"y":77}
1470219365784: 	draw	image-5	{"x":54,"y":75}
1470219365791: 	draw	image-5	{"x":55,"y":73}
1470219365799: 	draw	image-5	{"x":55,"y":70}
1470219365809: 	draw	image-5	{"x":55,"y":68}
1470219365816: 	draw	image-5	{"x":53,"y":66}
1470219365825: 	draw	image-5	{"x":52,"y":64}
1470219365834: 	draw	image-5	{"x":50,"y":63}
1470219365842: 	draw	image-5	{"x":48,"y":62}
1470219365850: 	draw	image-5	{"x":46,"y":62}
1470219365862: 	draw	image-5	{"x":44,"y":62}
1470219365869: 	draw	image-5	{"x":41,"y":62}
1470219365875: 	draw	image-5	{"x":38,"y":62}
1470219365888: 	draw	image-5	{"x":36,"y":63}
1470219365894: 	draw	image-5	{"x":34,"y":64}
1470219365900: 	draw	image-5	{"x":32,"y":66}
1470219365911: 	draw	image-5	{"x":31,"y":68}
1470219365918: 	draw	image-5	{"x":29,"y":70}
1470219365925: 	draw	image-5	{"x":28,"y":73}
1470219365934: 	draw	image-5	{"x":27,"y":74}
1470219365941: 	draw	image-5	{"x":27,"y":76}
1470219365950: 	draw	image-5	{"x":27,"y":79}
1470219365959: 	draw	image-5	{"x":28,"y":80}
1470219365966: 	draw	image-5	{"x":29,"y":83}
1470219365975: 	draw	image-5	{"x":31,"y":84}
1470219365991: 	draw	image-5	{"x":32,"y":86}
1470219365997: 	draw	image-5	{"x":34,"y":87}
1470219366003: 	draw	image-5	{"x":37,"y":88}
1470219366010: 	draw	image-5	{"x":39,"y":88}
1470219366016: 	draw	image-5	{"x":42,"y":88}
1470219366027: 	draw	image-5	{"x":44,"y":88}
1470219366033: 	draw	image-5	{"x":46,"y":88}
1470219366043: 	draw	image-5	{"x":49,"y":87}
1470219366051: 	draw	image-5	{"x":50,"y":86}
1470219366060: 	draw	image-5	{"x":51,"y":85}
1470219366067: 	draw	image-5	{"x":53,"y":83}
1470219366075: 	draw	image-5	{"x":53,"y":81}
1470219366093: 	draw	image-5	{"x":53,"y":78}
1470219366111: 	draw	image-5	{"x":51,"y":74}
1470219366118: 	draw	image-5	{"x":49,"y":73}
1470219366123: 	draw	image-5	{"x":48,"y":71}
1470219366127: 	draw	image-5	{"x":45,"y":70}
1470219366133: 	draw	image-5	{"x":43,"y":70}
1470219366142: 	draw	image-5	{"x":40,"y":70}
1470219366149: 	draw	image-5	{"x":38,"y":71}
1470219366158: 	draw	image-5	{"x":36,"y":72}
1470219366166: 	draw	image-5	{"x":35,"y":73}
