1470666573289: 	acted on	sample
1470666588348: 	acted on	innerText
1470666588472: 	sub-instrument	start	shapes	true
1470666588473: 	activate	shapes
1470666588964: 	acted on	circle
1470666589062: 	sub-instrument	circle	shapes	true
1470666589690: 	shape started	{"x":1068,"y":183}
1470666589693: 	shape continued	10	circle
1470666589779: 	shape continued	19	circle
1470666589786: 	shape continued	25	circle
1470666589800: 	shape continued	30	circle
1470666589810: 	shape continued	36	circle
1470666589822: 	shape continued	42	circle
1470666589833: 	shape continued	55	circle
1470666589846: 	shape continued	62	circle
1470666589860: 	shape continued	76	circle
1470666589871: 	shape continued	83	circle
1470666589875: 	shape continued	90	circle
1470666589882: 	shape continued	97	circle
1470666589887: 	shape continued	105	circle
1470666589895: 	shape continued	112	circle
1470666589903: 	shape continued	118	circle
1470666589911: 	shape continued	126	circle
1470666589920: 	shape continued	132	circle
1470666589927: 	shape continued	139	circle
1470666589935: 	shape continued	146	circle
1470666589945: 	shape continued	154	circle
1470666589953: 	shape continued	160	circle
1470666589960: 	shape continued	166	circle
1470666589970: 	shape continued	173	circle
1470666589978: 	shape continued	180	circle
1470666589986: 	shape continued	186	circle
1470666589995: 	shape continued	193	circle
1470666590002: 	shape continued	199	circle
1470666590011: 	shape continued	205	circle
1470666590021: 	shape continued	211	circle
1470666590027: 	shape continued	216	circle
1470666590035: 	shape continued	222	circle
1470666590047: 	shape continued	227	circle
1470666590059: 	shape continued	230	circle
1470666590065: 	shape continued	235	circle
1470666590071: 	shape continued	239	circle
1470666590078: 	shape continued	243	circle
1470666590086: 	shape continued	247	circle
1470666590097: 	shape continued	250	circle
1470666590104: 	shape continued	255	circle
1470666590111: 	shape continued	258	circle
1470666590126: 	shape continued	261	circle
1470666590132: 	shape continued	264	circle
1470666590138: 	shape continued	267	circle
1470666590145: 	shape continued	270	circle
1470666590153: 	shape continued	272	circle
1470666590165: 	shape continued	275	circle
1470666590170: 	shape continued	277	circle
1470666590178: 	shape continued	279	circle
1470666590192: 	shape continued	280	circle
1470666590197: 	shape continued	282	circle
1470666590203: 	shape continued	284	circle
1470666590211: 	shape continued	285	circle
1470666590224: 	shape continued	286	circle
1470666590229: 	shape continued	287	circle
1470666590236: 	shape continued	287	circle
1470666590245: 	shape continued	288	circle
1470666590259: 	shape continued	289	circle
1470666590264: 	shape continued	290	circle
1470666590270: 	shape continued	291	circle
1470666590278: 	shape continued	292	circle
1470666590286: 	shape continued	294	circle
1470666590299: 	shape continued	296	circle
1470666590305: 	shape continued	299	circle
1470666591088: 	acted on	innerText
1470666591221: 	sub-instrument	stop	shapes	false
1470666591222: 	deactivate	shapes
1470666637703: 	acted on	menu
1470666638147: 	acted on	innerText
1470666638244: 	sub-instrument	start	shapes	true
1470666638245: 	activate	shapes
1470666638836: 	acted on	rectangle
1470666638911: 	sub-instrument	rectangle	shapes	true
1470666639967: 	shape started	{"x":97,"y":129}
1470666639969: 	shape continued	10	rectangle
1470666640036: 	shape continued	10	rectangle
1470666640045: 	shape continued	13	rectangle
