1470666751680: 	acted on	innerText
1470666751769: 	sub-instrument	start	mover	true
1470666751770: 	activate	mover
1470666753213: 	start moving	image-16	from	{"x":38,"y":113}
1470666753554: 	start moving	image-16	from	{"x":57,"y":109}
1470666753627: 	moved	image-16	to	{"x":1125,"y":136}
1470666753635: 	moved	image-16	to	{"x":1120,"y":137}
1470666753643: 	moved	image-16	to	{"x":1115,"y":137}
1470666753650: 	moved	image-16	to	{"x":1110,"y":137}
1470666753659: 	moved	image-16	to	{"x":1105,"y":136}
1470666753667: 	moved	image-16	to	{"x":1100,"y":136}
1470666753676: 	moved	image-16	to	{"x":1095,"y":137}
1470666753685: 	moved	image-16	to	{"x":1090,"y":137}
1470666753692: 	moved	image-16	to	{"x":1084,"y":137}
1470666753701: 	moved	image-16	to	{"x":1078,"y":138}
1470666753709: 	moved	image-16	to	{"x":1074,"y":138}
1470666753717: 	moved	image-16	to	{"x":1069,"y":138}
1470666753726: 	moved	image-16	to	{"x":1064,"y":139}
1470666753735: 	moved	image-16	to	{"x":1057,"y":139}
1470666753743: 	moved	image-16	to	{"x":1053,"y":139}
1470666753750: 	moved	image-16	to	{"x":1047,"y":139}
1470666753759: 	moved	image-16	to	{"x":1043,"y":140}
1470666753768: 	moved	image-16	to	{"x":1037,"y":141}
1470666753777: 	moved	image-16	to	{"x":1033,"y":141}
1470666753786: 	moved	image-16	to	{"x":1028,"y":142}
1470666753794: 	moved	image-16	to	{"x":1024,"y":142}
1470666753800: 	moved	image-16	to	{"x":1019,"y":142}
1470666753810: 	moved	image-16	to	{"x":1014,"y":143}
1470666753817: 	moved	image-16	to	{"x":1011,"y":143}
1470666753826: 	moved	image-16	to	{"x":1006,"y":144}
1470666753834: 	moved	image-16	to	{"x":1002,"y":144}
1470666753842: 	moved	image-16	to	{"x":998,"y":144}
1470666753850: 	moved	image-16	to	{"x":994,"y":145}
1470666753859: 	moved	image-16	to	{"x":990,"y":145}
1470666753867: 	moved	image-16	to	{"x":987,"y":145}
1470666753876: 	moved	image-16	to	{"x":985,"y":145}
1470666753884: 	moved	image-16	to	{"x":983,"y":145}
1470666753892: 	moved	image-16	to	{"x":981,"y":146}
1470666753900: 	moved	image-16	to	{"x":980,"y":146}
1470666753909: 	moved	image-16	to	{"x":979,"y":146}
1470666753917: 	moved	image-16	to	{"x":978,"y":146}
1470666753935: 	moved	image-16	to	{"x":977,"y":145}
1470666753942: 	moved	image-16	to	{"x":976,"y":145}
1470666754387: 	start moving	image-80	from	{"x":71,"y":86}
1470666754746: 	start moving	image-80	from	{"x":65,"y":101}
1470666754818: 	moved	image-80	to	{"x":1102,"y":462}
1470666754826: 	moved	image-80	to	{"x":1097,"y":461}
1470666754835: 	moved	image-80	to	{"x":1092,"y":461}
1470666754843: 	moved	image-80	to	{"x":1086,"y":461}
1470666754850: 	moved	image-80	to	{"x":1081,"y":461}
1470666754860: 	moved	image-80	to	{"x":1074,"y":460}
1470666754867: 	moved	image-80	to	{"x":1068,"y":460}
1470666754876: 	moved	image-80	to	{"x":1062,"y":459}
1470666754884: 	moved	image-80	to	{"x":1055,"y":459}
1470666754893: 	moved	image-80	to	{"x":1048,"y":458}
1470666754900: 	moved	image-80	to	{"x":1042,"y":457}
1470666754910: 	moved	image-80	to	{"x":1035,"y":458}
1470666754917: 	moved	image-80	to	{"x":1029,"y":458}
1470666754925: 	moved	image-80	to	{"x":1021,"y":458}
1470666754935: 	moved	image-80	to	{"x":1015,"y":458}
1470666754942: 	moved	image-80	to	{"x":1008,"y":458}
1470666754951: 	moved	image-80	to	{"x":1002,"y":458}
1470666754959: 	moved	image-80	to	{"x":996,"y":458}
1470666754967: 	moved	image-80	to	{"x":989,"y":458}
1470666754975: 	moved	image-80	to	{"x":984,"y":458}
1470666754984: 	moved	image-80	to	{"x":979,"y":457}
1470666754992: 	moved	image-80	to	{"x":973,"y":457}
1470666755000: 	moved	image-80	to	{"x":969,"y":457}
1470666755009: 	moved	image-80	to	{"x":964,"y":457}
1470666755017: 	moved	image-80	to	{"x":959,"y":458}
1470666755025: 	moved	image-80	to	{"x":955,"y":457}
1470666755035: 	moved	image-80	to	{"x":951,"y":458}
1470666755042: 	moved	image-80	to	{"x":948,"y":457}
1470666755050: 	moved	image-80	to	{"x":946,"y":457}
1470666755060: 	moved	image-80	to	{"x":942,"y":456}
1470666755067: 	moved	image-80	to	{"x":940,"y":456}
1470666755076: 	moved	image-80	to	{"x":937,"y":455}
1470666755085: 	moved	image-80	to	{"x":935,"y":455}
1470666755092: 	moved	image-80	to	{"x":933,"y":454}
1470666755100: 	moved	image-80	to	{"x":932,"y":454}
1470666755109: 	moved	image-80	to	{"x":930,"y":453}
1470666755118: 	moved	image-80	to	{"x":929,"y":453}
1470666755125: 	moved	image-80	to	{"x":927,"y":452}
1470666769096: 	start moving	image-55	from	{"x":73,"y":87}
1470666769259: 	moved	image-55	to	{"x":90,"y":171}
1470666769276: 	moved	image-55	to	{"x":91,"y":178}
1470666769284: 	moved	image-55	to	{"x":92,"y":182}
1470666769291: 	moved	image-55	to	{"x":92,"y":186}
1470666769301: 	moved	image-55	to	{"x":93,"y":189}
1470666769308: 	moved	image-55	to	{"x":94,"y":193}
1470666769317: 	moved	image-55	to	{"x":95,"y":196}
1470666769326: 	moved	image-55	to	{"x":95,"y":199}
1470666769333: 	moved	image-55	to	{"x":96,"y":203}
1470666769342: 	moved	image-55	to	{"x":96,"y":206}
1470666769351: 	moved	image-55	to	{"x":97,"y":209}
1470666769359: 	moved	image-55	to	{"x":98,"y":213}
1470666769366: 	moved	image-55	to	{"x":99,"y":215}
1470666769375: 	moved	image-55	to	{"x":100,"y":218}
1470666769383: 	moved	image-55	to	{"x":101,"y":223}
1470666769392: 	moved	image-55	to	{"x":102,"y":226}
1470666769400: 	moved	image-55	to	{"x":103,"y":230}
1470666769409: 	moved	image-55	to	{"x":104,"y":234}
1470666769416: 	moved	image-55	to	{"x":105,"y":238}
1470666769426: 	moved	image-55	to	{"x":105,"y":244}
1470666769434: 	moved	image-55	to	{"x":106,"y":249}
1470666769442: 	moved	image-55	to	{"x":107,"y":253}
1470666769451: 	moved	image-55	to	{"x":108,"y":256}
1470666769459: 	moved	image-55	to	{"x":108,"y":259}
1470666769467: 	moved	image-55	to	{"x":109,"y":261}
1470666769475: 	moved	image-55	to	{"x":110,"y":264}
1470666769484: 	moved	image-55	to	{"x":111,"y":267}
1470666769492: 	moved	image-55	to	{"x":111,"y":270}
1470666769501: 	moved	image-55	to	{"x":113,"y":273}
1470666769509: 	moved	image-55	to	{"x":114,"y":275}
1470666769516: 	moved	image-55	to	{"x":114,"y":277}
1470666769526: 	moved	image-55	to	{"x":115,"y":280}
1470666769535: 	moved	image-55	to	{"x":115,"y":282}
1470666769542: 	moved	image-55	to	{"x":116,"y":285}
1470666769550: 	moved	image-55	to	{"x":117,"y":288}
1470666769558: 	moved	image-55	to	{"x":117,"y":290}
1470666769566: 	moved	image-55	to	{"x":118,"y":292}
1470666769576: 	moved	image-55	to	{"x":119,"y":294}
1470666769584: 	moved	image-55	to	{"x":120,"y":297}
1470666769592: 	moved	image-55	to	{"x":121,"y":299}
1470666769600: 	moved	image-55	to	{"x":122,"y":303}
1470666769609: 	moved	image-55	to	{"x":122,"y":306}
1470666769616: 	moved	image-55	to	{"x":123,"y":308}
1470666769625: 	moved	image-55	to	{"x":124,"y":310}
1470666769633: 	moved	image-55	to	{"x":125,"y":312}
1470666769642: 	moved	image-55	to	{"x":125,"y":314}
1470666769656: 	moved	image-55	to	{"x":126,"y":316}
1470666769669: 	moved	image-55	to	{"x":126,"y":318}
1470666769676: 	moved	image-55	to	{"x":127,"y":319}
1470666769683: 	moved	image-55	to	{"x":127,"y":320}
1470666769702: 	moved	image-55	to	{"x":128,"y":321}
1470666769709: 	moved	image-55	to	{"x":128,"y":322}
1470666769734: 	moved	image-55	to	{"x":128,"y":323}
1470666769751: 	moved	image-55	to	{"x":129,"y":323}
1470666769759: 	moved	image-55	to	{"x":129,"y":324}
1470666769926: 	moved	image-55	to	{"x":129,"y":325}
1470666774469: 	start moving	image-43	from	{"x":77,"y":69}
1470666774646: 	moved	image-43	to	{"x":567,"y":436}
1470666774655: 	moved	image-43	to	{"x":566,"y":435}
1470666774662: 	moved	image-43	to	{"x":563,"y":433}
1470666774670: 	moved	image-43	to	{"x":561,"y":432}
1470666774680: 	moved	image-43	to	{"x":558,"y":431}
1470666774688: 	moved	image-43	to	{"x":555,"y":429}
1470666774695: 	moved	image-43	to	{"x":552,"y":428}
1470666774702: 	moved	image-43	to	{"x":549,"y":426}
1470666774716: 	moved	image-43	to	{"x":546,"y":423}
1470666774720: 	moved	image-43	to	{"x":543,"y":421}
1470666774726: 	moved	image-43	to	{"x":540,"y":419}
1470666774735: 	moved	image-43	to	{"x":538,"y":417}
1470666774743: 	moved	image-43	to	{"x":534,"y":414}
1470666774750: 	moved	image-43	to	{"x":531,"y":412}
1470666774758: 	moved	image-43	to	{"x":528,"y":410}
1470666774767: 	moved	image-43	to	{"x":525,"y":406}
1470666774776: 	moved	image-43	to	{"x":522,"y":404}
1470666774783: 	moved	image-43	to	{"x":519,"y":401}
1470666774792: 	moved	image-43	to	{"x":516,"y":399}
1470666774799: 	moved	image-43	to	{"x":513,"y":396}
1470666774808: 	moved	image-43	to	{"x":509,"y":392}
1470666774817: 	moved	image-43	to	{"x":507,"y":390}
1470666774825: 	moved	image-43	to	{"x":504,"y":387}
1470666774833: 	moved	image-43	to	{"x":500,"y":385}
1470666774842: 	moved	image-43	to	{"x":497,"y":382}
1470666774850: 	moved	image-43	to	{"x":494,"y":380}
1470666774858: 	moved	image-43	to	{"x":491,"y":377}
1470666774867: 	moved	image-43	to	{"x":487,"y":375}
1470666774876: 	moved	image-43	to	{"x":484,"y":373}
1470666774883: 	moved	image-43	to	{"x":482,"y":370}
1470666774892: 	moved	image-43	to	{"x":479,"y":368}
1470666774900: 	moved	image-43	to	{"x":476,"y":366}
1470666774908: 	moved	image-43	to	{"x":473,"y":364}
1470666774917: 	moved	image-43	to	{"x":471,"y":363}
1470666774925: 	moved	image-43	to	{"x":469,"y":361}
1470666774933: 	moved	image-43	to	{"x":466,"y":360}
1470666774943: 	moved	image-43	to	{"x":464,"y":358}
1470666774952: 	moved	image-43	to	{"x":461,"y":356}
1470666774958: 	moved	image-43	to	{"x":459,"y":354}
1470666774967: 	moved	image-43	to	{"x":456,"y":352}
1470666774981: 	moved	image-43	to	{"x":454,"y":351}
1470666774986: 	moved	image-43	to	{"x":451,"y":349}
1470666774993: 	moved	image-43	to	{"x":449,"y":348}
1470666775000: 	moved	image-43	to	{"x":447,"y":347}
1470666775009: 	moved	image-43	to	{"x":445,"y":345}
1470666775017: 	moved	image-43	to	{"x":443,"y":344}
1470666775025: 	moved	image-43	to	{"x":440,"y":342}
1470666775033: 	moved	image-43	to	{"x":438,"y":341}
1470666775042: 	moved	image-43	to	{"x":437,"y":340}
1470666775050: 	moved	image-43	to	{"x":435,"y":338}
1470666775058: 	moved	image-43	to	{"x":433,"y":337}
1470666775067: 	moved	image-43	to	{"x":432,"y":336}
1470666775075: 	moved	image-43	to	{"x":429,"y":333}
1470666775083: 	moved	image-43	to	{"x":428,"y":332}
1470666775093: 	moved	image-43	to	{"x":427,"y":331}
1470666775100: 	moved	image-43	to	{"x":425,"y":329}
1470666775108: 	moved	image-43	to	{"x":424,"y":328}
1470666775118: 	moved	image-43	to	{"x":423,"y":327}
1470666775125: 	moved	image-43	to	{"x":422,"y":326}
1470666775133: 	moved	image-43	to	{"x":420,"y":325}
1470666775142: 	moved	image-43	to	{"x":419,"y":324}
1470666775150: 	moved	image-43	to	{"x":418,"y":323}
1470666775158: 	moved	image-43	to	{"x":417,"y":322}
1470666775166: 	moved	image-43	to	{"x":417,"y":321}
1470666775175: 	moved	image-43	to	{"x":416,"y":321}
1470666775183: 	moved	image-43	to	{"x":416,"y":320}
1470666775192: 	moved	image-43	to	{"x":415,"y":320}
1470666775200: 	moved	image-43	to	{"x":415,"y":319}
1470666775208: 	moved	image-43	to	{"x":414,"y":319}
1470666775233: 	moved	image-43	to	{"x":413,"y":318}
1470666775267: 	moved	image-43	to	{"x":412,"y":318}
1470666775284: 	moved	image-43	to	{"x":412,"y":319}
1470666775308: 	moved	image-43	to	{"x":411,"y":319}
1470666775317: 	moved	image-43	to	{"x":411,"y":320}
1470666775325: 	moved	image-43	to	{"x":410,"y":322}
1470666775333: 	moved	image-43	to	{"x":409,"y":325}
1470666775342: 	moved	image-43	to	{"x":410,"y":329}
1470666775350: 	moved	image-43	to	{"x":411,"y":332}
1470666775358: 	moved	image-43	to	{"x":411,"y":335}
1470666775367: 	moved	image-43	to	{"x":412,"y":336}
1470666775375: 	moved	image-43	to	{"x":413,"y":339}
1470666775383: 	moved	image-43	to	{"x":414,"y":341}
1470666775392: 	moved	image-43	to	{"x":416,"y":345}
1470666775399: 	moved	image-43	to	{"x":417,"y":346}
1470666775408: 	moved	image-43	to	{"x":418,"y":349}
1470666775416: 	moved	image-43	to	{"x":419,"y":352}
1470666775425: 	moved	image-43	to	{"x":421,"y":356}
1470666775432: 	moved	image-43	to	{"x":423,"y":358}
1470666775442: 	moved	image-43	to	{"x":424,"y":360}
1470666775455: 	moved	image-43	to	{"x":426,"y":363}
1470666775461: 	moved	image-43	to	{"x":428,"y":366}
1470666775467: 	moved	image-43	to	{"x":430,"y":369}
1470666775477: 	moved	image-43	to	{"x":432,"y":371}
1470666775484: 	moved	image-43	to	{"x":434,"y":374}
1470666775492: 	moved	image-43	to	{"x":435,"y":375}
1470666775500: 	moved	image-43	to	{"x":437,"y":378}
1470666775508: 	moved	image-43	to	{"x":438,"y":380}
1470666775516: 	moved	image-43	to	{"x":439,"y":381}
1470666775525: 	moved	image-43	to	{"x":441,"y":383}
1470666775533: 	moved	image-43	to	{"x":443,"y":384}
1470666775542: 	moved	image-43	to	{"x":444,"y":385}
1470666775549: 	moved	image-43	to	{"x":445,"y":386}
1470666775559: 	moved	image-43	to	{"x":446,"y":386}
1470666775566: 	moved	image-43	to	{"x":448,"y":387}
1470666775575: 	moved	image-43	to	{"x":448,"y":388}
1470666775583: 	moved	image-43	to	{"x":449,"y":388}
1470666775592: 	moved	image-43	to	{"x":450,"y":388}
1470666775601: 	moved	image-43	to	{"x":451,"y":388}
1470666775617: 	moved	image-43	to	{"x":452,"y":388}
1470666775633: 	moved	image-43	to	{"x":454,"y":388}
1470666775642: 	moved	image-43	to	{"x":455,"y":386}
1470666775650: 	moved	image-43	to	{"x":456,"y":385}
1470666775658: 	moved	image-43	to	{"x":457,"y":383}
1470666775667: 	moved	image-43	to	{"x":457,"y":382}
1470666775674: 	moved	image-43	to	{"x":458,"y":380}
1470666775682: 	moved	image-43	to	{"x":458,"y":379}
1470666775692: 	moved	image-43	to	{"x":458,"y":377}
1470666775700: 	moved	image-43	to	{"x":457,"y":375}
1470666775707: 	moved	image-43	to	{"x":457,"y":373}
1470666775717: 	moved	image-43	to	{"x":457,"y":371}
1470666775725: 	moved	image-43	to	{"x":456,"y":369}
1470666775733: 	moved	image-43	to	{"x":456,"y":368}
1470666775742: 	moved	image-43	to	{"x":455,"y":365}
1470666775749: 	moved	image-43	to	{"x":455,"y":364}
1470666775758: 	moved	image-43	to	{"x":454,"y":361}
1470666775767: 	moved	image-43	to	{"x":453,"y":359}
1470666775774: 	moved	image-43	to	{"x":452,"y":357}
1470666775782: 	moved	image-43	to	{"x":451,"y":355}
1470666775792: 	moved	image-43	to	{"x":451,"y":353}
1470666775800: 	moved	image-43	to	{"x":450,"y":351}
1470666775808: 	moved	image-43	to	{"x":449,"y":349}
1470666775816: 	moved	image-43	to	{"x":448,"y":347}
1470666775824: 	moved	image-43	to	{"x":447,"y":346}
1470666775833: 	moved	image-43	to	{"x":446,"y":344}
1470666775842: 	moved	image-43	to	{"x":446,"y":343}
1470666775849: 	moved	image-43	to	{"x":445,"y":342}
1470666775858: 	moved	image-43	to	{"x":445,"y":341}
1470666775866: 	moved	image-43	to	{"x":444,"y":339}
1470666775875: 	moved	image-43	to	{"x":443,"y":338}
1470666775883: 	moved	image-43	to	{"x":442,"y":336}
1470666775897: 	moved	image-43	to	{"x":441,"y":335}
1470666775902: 	moved	image-43	to	{"x":440,"y":333}
1470666775911: 	moved	image-43	to	{"x":439,"y":332}
1470666775917: 	moved	image-43	to	{"x":439,"y":331}
1470666775926: 	moved	image-43	to	{"x":438,"y":330}
1470666775933: 	moved	image-43	to	{"x":437,"y":328}
1470666775942: 	moved	image-43	to	{"x":436,"y":327}
1470666775950: 	moved	image-43	to	{"x":435,"y":326}
1470666775967: 	moved	image-43	to	{"x":434,"y":325}
1470666775975: 	moved	image-43	to	{"x":433,"y":324}
1470666775992: 	moved	image-43	to	{"x":432,"y":323}
1470666776000: 	moved	image-43	to	{"x":431,"y":322}
1470666776017: 	moved	image-43	to	{"x":430,"y":322}
1470666776025: 	moved	image-43	to	{"x":430,"y":321}
1470666776033: 	moved	image-43	to	{"x":429,"y":321}
1470666776058: 	moved	image-43	to	{"x":428,"y":321}
1470666776067: 	moved	image-43	to	{"x":428,"y":320}
1470666776075: 	moved	image-43	to	{"x":427,"y":320}
1470666776109: 	moved	image-43	to	{"x":426,"y":320}
1470666776158: 	moved	image-43	to	{"x":426,"y":319}
1470666776586: 	start moving	image-46	from	{"x":83,"y":91}
1470666776734: 	moved	image-46	to	{"x":183,"y":530}
1470666776742: 	moved	image-46	to	{"x":185,"y":531}
1470666776750: 	moved	image-46	to	{"x":187,"y":532}
1470666776757: 	moved	image-46	to	{"x":189,"y":533}
1470666776767: 	moved	image-46	to	{"x":191,"y":534}
1470666776775: 	moved	image-46	to	{"x":193,"y":535}
1470666776783: 	moved	image-46	to	{"x":195,"y":536}
1470666776792: 	moved	image-46	to	{"x":198,"y":537}
1470666776799: 	moved	image-46	to	{"x":200,"y":538}
1470666776807: 	moved	image-46	to	{"x":202,"y":539}
1470666776816: 	moved	image-46	to	{"x":204,"y":539}
1470666776825: 	moved	image-46	to	{"x":206,"y":540}
1470666776833: 	moved	image-46	to	{"x":209,"y":541}
1470666776843: 	moved	image-46	to	{"x":211,"y":542}
1470666776850: 	moved	image-46	to	{"x":214,"y":543}
1470666776863: 	moved	image-46	to	{"x":216,"y":543}
1470666776868: 	moved	image-46	to	{"x":218,"y":544}
1470666776882: 	moved	image-46	to	{"x":220,"y":544}
1470666776888: 	moved	image-46	to	{"x":223,"y":544}
1470666776893: 	moved	image-46	to	{"x":225,"y":544}
1470666776900: 	moved	image-46	to	{"x":228,"y":544}
1470666776908: 	moved	image-46	to	{"x":231,"y":544}
1470666776921: 	moved	image-46	to	{"x":235,"y":543}
1470666776927: 	moved	image-46	to	{"x":238,"y":542}
1470666776933: 	moved	image-46	to	{"x":241,"y":541}
1470666776942: 	moved	image-46	to	{"x":244,"y":540}
1470666776950: 	moved	image-46	to	{"x":247,"y":540}
1470666776958: 	moved	image-46	to	{"x":250,"y":539}
1470666776972: 	moved	image-46	to	{"x":253,"y":538}
1470666776977: 	moved	image-46	to	{"x":258,"y":536}
1470666776983: 	moved	image-46	to	{"x":262,"y":535}
1470666776992: 	moved	image-46	to	{"x":265,"y":534}
1470666776999: 	moved	image-46	to	{"x":269,"y":532}
1470666777013: 	moved	image-46	to	{"x":275,"y":529}
1470666777019: 	moved	image-46	to	{"x":279,"y":528}
1470666777025: 	moved	image-46	to	{"x":283,"y":526}
1470666777033: 	moved	image-46	to	{"x":288,"y":524}
1470666777042: 	moved	image-46	to	{"x":294,"y":522}
1470666777050: 	moved	image-46	to	{"x":299,"y":518}
1470666777063: 	moved	image-46	to	{"x":304,"y":516}
1470666777070: 	moved	image-46	to	{"x":309,"y":513}
1470666777075: 	moved	image-46	to	{"x":315,"y":510}
1470666777082: 	moved	image-46	to	{"x":320,"y":507}
1470666777092: 	moved	image-46	to	{"x":326,"y":504}
1470666777104: 	moved	image-46	to	{"x":333,"y":500}
1470666777109: 	moved	image-46	to	{"x":338,"y":496}
1470666777117: 	moved	image-46	to	{"x":344,"y":492}
1470666777125: 	moved	image-46	to	{"x":350,"y":488}
1470666777138: 	moved	image-46	to	{"x":355,"y":484}
1470666777144: 	moved	image-46	to	{"x":363,"y":478}
1470666777151: 	moved	image-46	to	{"x":368,"y":474}
1470666777158: 	moved	image-46	to	{"x":373,"y":470}
1470666777167: 	moved	image-46	to	{"x":378,"y":465}
1470666777178: 	moved	image-46	to	{"x":384,"y":460}
1470666777197: 	moved	image-46	to	{"x":395,"y":450}
1470666777203: 	moved	image-46	to	{"x":400,"y":445}
1470666777209: 	moved	image-46	to	{"x":406,"y":439}
