1470743673483: 	acted on	sample
1470743674759: 	acted on	sample
1470743675433: 	acted on	sample
1470743683391: 	acted on	sample
1470743686433: 	acted on	innerText
1470743686499: 	sub-instrument	start	draw	true
1470743686500: 	activate	draw
1470743687877: 	draw	image-49	{"x":90,"y":74}
1470743688101: 	draw	image-49	{"x":78,"y":64}
1470743688121: 	draw	image-49	{"x":77,"y":63}
1470743688132: 	draw	image-49	{"x":77,"y":62}
1470743688143: 	draw	image-49	{"x":76,"y":60}
1470743688158: 	draw	image-49	{"x":75,"y":59}
1470743688166: 	draw	image-49	{"x":75,"y":58}
1470743688175: 	draw	image-49	{"x":74,"y":57}
1470743688184: 	draw	image-49	{"x":74,"y":56}
1470743688200: 	draw	image-49	{"x":74,"y":55}
1470743688208: 	draw	image-49	{"x":73,"y":54}
1470743688216: 	draw	image-49	{"x":73,"y":53}
1470743688224: 	draw	image-49	{"x":73,"y":52}
1470743688235: 	draw	image-49	{"x":73,"y":51}
1470743688243: 	draw	image-49	{"x":73,"y":50}
1470743688249: 	draw	image-49	{"x":73,"y":48}
1470743688265: 	draw	image-49	{"x":73,"y":47}
1470743688274: 	draw	image-49	{"x":74,"y":45}
1470743688282: 	draw	image-49	{"x":74,"y":44}
1470743688298: 	draw	image-49	{"x":74,"y":43}
1470743688307: 	draw	image-49	{"x":74,"y":42}
1470743688316: 	draw	image-49	{"x":75,"y":41}
1470743688333: 	draw	image-49	{"x":75,"y":40}
1470743688341: 	draw	image-49	{"x":75,"y":39}
1470743688348: 	draw	image-49	{"x":76,"y":38}
1470743688357: 	draw	image-49	{"x":76,"y":37}
1470743688366: 	draw	image-49	{"x":76,"y":36}
1470743688373: 	draw	image-49	{"x":77,"y":35}
1470743688382: 	draw	image-49	{"x":77,"y":34}
1470743688390: 	draw	image-49	{"x":77,"y":33}
1470743688399: 	draw	image-49	{"x":78,"y":32}
1470743688417: 	draw	image-49	{"x":78,"y":31}
1470743688424: 	draw	image-49	{"x":79,"y":30}
1470743688441: 	draw	image-49	{"x":80,"y":29}
1470743688449: 	draw	image-49	{"x":81,"y":28}
