1470740831141: 	acted on	sample
1470740832240: 	acted on	sample
1470740833140: 	acted on	sample
1470740834075: 	acted on	sample
1470740834621: 	acted on	sample
1470740842944: 	acted on	innerText
1470740843080: 	sub-instrument	start	shapes	true
1470740843087: 	activate	shapes
1470740844260: 	acted on	circle
1470740844393: 	sub-instrument	circle	shapes	true
1470740855856: 	shape started	{"x":1041,"y":194}
1470740855858: 	shape continued	10	circle
1470740856030: 	shape continued	16	circle
1470740856038: 	shape continued	19	circle
1470740856045: 	shape continued	22	circle
1470740856053: 	shape continued	25	circle
1470740856062: 	shape continued	28	circle
1470740856070: 	shape continued	31	circle
1470740856078: 	shape continued	34	circle
1470740856087: 	shape continued	38	circle
1470740856096: 	shape continued	41	circle
1470740856103: 	shape continued	45	circle
1470740856112: 	shape continued	49	circle
1470740856120: 	shape continued	52	circle
1470740856128: 	shape continued	56	circle
1470740856137: 	shape continued	61	circle
1470740856145: 	shape continued	65	circle
1470740856153: 	shape continued	68	circle
1470740856162: 	shape continued	72	circle
1470740856170: 	shape continued	76	circle
1470740856178: 	shape continued	81	circle
1470740856187: 	shape continued	85	circle
1470740856196: 	shape continued	89	circle
1470740856203: 	shape continued	93	circle
1470740856213: 	shape continued	97	circle
1470740856220: 	shape continued	102	circle
1470740856228: 	shape continued	107	circle
1470740856237: 	shape continued	111	circle
1470740856245: 	shape continued	115	circle
1470740856254: 	shape continued	119	circle
1470740856262: 	shape continued	123	circle
1470740856271: 	shape continued	127	circle
1470740856278: 	shape continued	130	circle
1470740856288: 	shape continued	133	circle
1470740856295: 	shape continued	136	circle
1470740856304: 	shape continued	140	circle
1470740856312: 	shape continued	143	circle
1470740856320: 	shape continued	147	circle
1470740856328: 	shape continued	150	circle
1470740856337: 	shape continued	153	circle
1470740856345: 	shape continued	157	circle
1470740856353: 	shape continued	160	circle
1470740856362: 	shape continued	163	circle
1470740856371: 	shape continued	166	circle
1470740856378: 	shape continued	169	circle
1470740856387: 	shape continued	172	circle
1470740856396: 	shape continued	175	circle
1470740856403: 	shape continued	178	circle
1470740856412: 	shape continued	181	circle
1470740856420: 	shape continued	184	circle
1470740856428: 	shape continued	187	circle
1470740856437: 	shape continued	190	circle
1470740856445: 	shape continued	192	circle
1470740856453: 	shape continued	196	circle
1470740856462: 	shape continued	199	circle
1470740856469: 	shape continued	202	circle
1470740856478: 	shape continued	205	circle
1470740856487: 	shape continued	208	circle
1470740856495: 	shape continued	211	circle
1470740856503: 	shape continued	215	circle
1470740856512: 	shape continued	218	circle
1470740856520: 	shape continued	221	circle
1470740856529: 	shape continued	224	circle
1470740856537: 	shape continued	227	circle
1470740856545: 	shape continued	231	circle
1470740856553: 	shape continued	234	circle
1470740856562: 	shape continued	237	circle
1470740856570: 	shape continued	241	circle
1470740856578: 	shape continued	244	circle
1470740856588: 	shape continued	248	circle
1470740856595: 	shape continued	250	circle
1470740856604: 	shape continued	254	circle
1470740856612: 	shape continued	257	circle
1470740856620: 	shape continued	260	circle
1470740856628: 	shape continued	263	circle
1470740856637: 	shape continued	266	circle
1470740856645: 	shape continued	269	circle
1470740856654: 	shape continued	272	circle
1470740856662: 	shape continued	275	circle
1470740856671: 	shape continued	278	circle
1470740856679: 	shape continued	280	circle
1470740856687: 	shape continued	283	circle
1470740856695: 	shape continued	285	circle
1470740856704: 	shape continued	287	circle
1470740856712: 	shape continued	290	circle
1470740856720: 	shape continued	292	circle
1470740856730: 	shape continued	294	circle
1470740856737: 	shape continued	297	circle
1470740856746: 	shape continued	299	circle
1470740856754: 	shape continued	302	circle
1470740856762: 	shape continued	305	circle
1470740856770: 	shape continued	307	circle
1470740856779: 	shape continued	309	circle
1470740856787: 	shape continued	311	circle
1470740856795: 	shape continued	313	circle
1470740856805: 	shape continued	315	circle
1470740856812: 	shape continued	317	circle
1470740856821: 	shape continued	318	circle
1470740856829: 	shape continued	320	circle
1470740856837: 	shape continued	322	circle
1470740856846: 	shape continued	324	circle
1470740856854: 	shape continued	326	circle
1470740856863: 	shape continued	327	circle
1470740856870: 	shape continued	329	circle
1470740856879: 	shape continued	330	circle
1470740856887: 	shape continued	332	circle
1470740856895: 	shape continued	333	circle
1470740856904: 	shape continued	335	circle
1470740856912: 	shape continued	336	circle
1470740856920: 	shape continued	338	circle
1470740856929: 	shape continued	339	circle
1470740856937: 	shape continued	341	circle
1470740856945: 	shape continued	342	circle
1470740856954: 	shape continued	343	circle
1470740856962: 	shape continued	344	circle
1470740856971: 	shape continued	345	circle
1470740856979: 	shape continued	346	circle
1470740856987: 	shape continued	347	circle
1470740857003: 	shape continued	348	circle
1470740857021: 	shape continued	349	circle
1470740857029: 	shape continued	350	circle
1470740857045: 	shape continued	351	circle
1470740857062: 	shape continued	352	circle
1470740857070: 	shape continued	353	circle
1470740857079: 	shape continued	354	circle
1470740857087: 	shape continued	355	circle
1470740857104: 	shape continued	356	circle
1470740857113: 	shape continued	357	circle
1470740857120: 	shape continued	357	circle
1470740857129: 	shape continued	358	circle
1470740857145: 	shape continued	359	circle
1470740857179: 	shape continued	360	circle
1470740857196: 	shape continued	360	circle
1470740857246: 	shape continued	361	circle
1470740857262: 	shape continued	362	circle
1470740848236: 	acted on	innerText
1470740848316: 	sub-instrument	stop	shapes	false
1470740848325: 	deactivate	shapes
1470740967652: 	acted on	innerText
1470740967721: 	sub-instrument	start	shapes	true
1470740967734: 	activate	shapes
1470740969459: 	acted on	circle
1470740969566: 	sub-instrument	circle	shapes	true
1470740981557: 	shape started	{"x":574,"y":208}
1470740981559: 	shape continued	10	circle
1470740981754: 	shape continued	15	circle
1470740981762: 	shape continued	17	circle
1470740981770: 	shape continued	19	circle
1470740981778: 	shape continued	21	circle
1470740981786: 	shape continued	22	circle
1470740981795: 	shape continued	24	circle
1470740981802: 	shape continued	27	circle
1470740981812: 	shape continued	29	circle
1470740981820: 	shape continued	31	circle
1470740981828: 	shape continued	33	circle
1470740981836: 	shape continued	35	circle
1470740981845: 	shape continued	37	circle
1470740981852: 	shape continued	39	circle
1470740981862: 	shape continued	41	circle
1470740981870: 	shape continued	42	circle
1470740981877: 	shape continued	45	circle
1470740981887: 	shape continued	46	circle
1470740981895: 	shape continued	49	circle
1470740981902: 	shape continued	51	circle
1470740981912: 	shape continued	52	circle
1470740981919: 	shape continued	54	circle
1470740981928: 	shape continued	55	circle
1470740981936: 	shape continued	57	circle
1470740981944: 	shape continued	59	circle
1470740981952: 	shape continued	60	circle
1470740981961: 	shape continued	62	circle
1470740981969: 	shape continued	64	circle
1470740981978: 	shape continued	65	circle
1470740981987: 	shape continued	67	circle
1470740981996: 	shape continued	68	circle
1470740982003: 	shape continued	69	circle
1470740982011: 	shape continued	71	circle
1470740982020: 	shape continued	72	circle
1470740982028: 	shape continued	74	circle
1470740982037: 	shape continued	75	circle
1470740982045: 	shape continued	76	circle
1470740982052: 	shape continued	78	circle
1470740982062: 	shape continued	79	circle
1470740982070: 	shape continued	80	circle
1470740982077: 	shape continued	81	circle
1470740982086: 	shape continued	82	circle
1470740982094: 	shape continued	84	circle
1470740982104: 	shape continued	85	circle
1470740982111: 	shape continued	86	circle
1470740982120: 	shape continued	87	circle
1470740982127: 	shape continued	88	circle
1470740982136: 	shape continued	89	circle
1470740982144: 	shape continued	90	circle
1470740982152: 	shape continued	92	circle
1470740982170: 	shape continued	94	circle
1470740982177: 	shape continued	95	circle
1470740982194: 	shape continued	97	circle
1470740982202: 	shape continued	98	circle
1470740982211: 	shape continued	99	circle
1470740982219: 	shape continued	100	circle
1470740982236: 	shape continued	101	circle
1470740982244: 	shape continued	102	circle
1470740982252: 	shape continued	103	circle
1470740982261: 	shape continued	104	circle
1470740982270: 	shape continued	105	circle
1470740982277: 	shape continued	106	circle
1470740982294: 	shape continued	107	circle
1470740982302: 	shape continued	108	circle
1470740982319: 	shape continued	109	circle
1470740982327: 	shape continued	110	circle
1470740982345: 	shape continued	111	circle
1470740982353: 	shape continued	112	circle
1470740982361: 	shape continued	113	circle
1470740982378: 	shape continued	114	circle
1470740982394: 	shape continued	115	circle
1470740982411: 	shape continued	116	circle
1470740982427: 	shape continued	117	circle
1470740982478: 	shape continued	118	circle
1470740982553: 	shape continued	119	circle
1470740982603: 	shape continued	120	circle
1470740982662: 	shape continued	121	circle
1470740973672: 	acted on	innerText
1470740973806: 	sub-instrument	stop	shapes	false
1470740973820: 	deactivate	shapes
