1470743411388: 	acted on	sample
1470743411895: 	acted on	sample
1470743423387: 	acted on	innerText
1470743423455: 	sub-instrument	start	shapes	true
1470743423456: 	activate	shapes
1470743424055: 	acted on	circle
1470743424104: 	sub-instrument	circle	shapes	true
1470743424907: 	shape started	{"x":1045,"y":171}
1470743424909: 	shape continued	10	circle
1470743424987: 	shape continued	14	circle
1470743424996: 	shape continued	17	circle
1470743425004: 	shape continued	20	circle
1470743425012: 	shape continued	23	circle
1470743425019: 	shape continued	26	circle
1470743425028: 	shape continued	30	circle
1470743425036: 	shape continued	33	circle
1470743425044: 	shape continued	36	circle
1470743425053: 	shape continued	39	circle
1470743425061: 	shape continued	42	circle
1470743425070: 	shape continued	45	circle
1470743425078: 	shape continued	47	circle
1470743425086: 	shape continued	50	circle
1470743425095: 	shape continued	53	circle
1470743425103: 	shape continued	56	circle
1470743425111: 	shape continued	60	circle
1470743425119: 	shape continued	64	circle
1470743425130: 	shape continued	67	circle
1470743425137: 	shape continued	71	circle
1470743425144: 	shape continued	74	circle
1470743425154: 	shape continued	78	circle
1470743425161: 	shape continued	82	circle
1470743425169: 	shape continued	86	circle
1470743425179: 	shape continued	90	circle
1470743425187: 	shape continued	94	circle
1470743425194: 	shape continued	98	circle
1470743425203: 	shape continued	103	circle
1470743425212: 	shape continued	108	circle
1470743425219: 	shape continued	112	circle
1470743425228: 	shape continued	115	circle
1470743425236: 	shape continued	120	circle
1470743425244: 	shape continued	125	circle
1470743425254: 	shape continued	128	circle
1470743425261: 	shape continued	133	circle
1470743425269: 	shape continued	137	circle
1470743425279: 	shape continued	141	circle
1470743425286: 	shape continued	146	circle
1470743425294: 	shape continued	150	circle
1470743425304: 	shape continued	154	circle
1470743425313: 	shape continued	159	circle
1470743425319: 	shape continued	163	circle
1470743425329: 	shape continued	167	circle
1470743425336: 	shape continued	172	circle
1470743425344: 	shape continued	176	circle
1470743425353: 	shape continued	180	circle
1470743425362: 	shape continued	184	circle
1470743425370: 	shape continued	189	circle
1470743425378: 	shape continued	192	circle
1470743425386: 	shape continued	196	circle
1470743425395: 	shape continued	200	circle
1470743425403: 	shape continued	204	circle
1470743425411: 	shape continued	208	circle
1470743425420: 	shape continued	211	circle
1470743425428: 	shape continued	215	circle
1470743425436: 	shape continued	219	circle
1470743425445: 	shape continued	222	circle
1470743425453: 	shape continued	225	circle
1470743425461: 	shape continued	228	circle
1470743425470: 	shape continued	231	circle
1470743425485: 	shape continued	234	circle
1470743425490: 	shape continued	237	circle
1470743425496: 	shape continued	240	circle
1470743425504: 	shape continued	243	circle
1470743425512: 	shape continued	246	circle
1470743425523: 	shape continued	249	circle
1470743425528: 	shape continued	251	circle
1470743425536: 	shape continued	254	circle
1470743425546: 	shape continued	256	circle
1470743425556: 	shape continued	259	circle
1470743425562: 	shape continued	261	circle
1470743425570: 	shape continued	263	circle
1470743425582: 	shape continued	265	circle
1470743425587: 	shape continued	268	circle
1470743425595: 	shape continued	270	circle
1470743425608: 	shape continued	271	circle
1470743425614: 	shape continued	273	circle
1470743425621: 	shape continued	275	circle
1470743425628: 	shape continued	276	circle
1470743425638: 	shape continued	278	circle
1470743425645: 	shape continued	279	circle
1470743425653: 	shape continued	281	circle
1470743425665: 	shape continued	282	circle
1470743425672: 	shape continued	284	circle
1470743425679: 	shape continued	286	circle
1470743425686: 	shape continued	287	circle
1470743425696: 	shape continued	289	circle
1470743425709: 	shape continued	290	circle
1470743425715: 	shape continued	291	circle
1470743425721: 	shape continued	292	circle
1470743425728: 	shape continued	293	circle
1470743425736: 	shape continued	294	circle
1470743425748: 	shape continued	295	circle
1470743425754: 	shape continued	296	circle
1470743425768: 	shape continued	297	circle
1470743425783: 	shape continued	298	circle
1470743425788: 	shape continued	299	circle
1470743425804: 	shape continued	300	circle
1470743425820: 	shape continued	302	circle
1470743425837: 	shape continued	303	circle
1470743425846: 	shape continued	305	circle
1470743425859: 	shape continued	306	circle
1470743425865: 	shape continued	307	circle
1470743425871: 	shape continued	309	circle
1470743425878: 	shape continued	311	circle
1470743425892: 	shape continued	312	circle
