1470226726500: 	acted on	innerText
1470226726613: 	sub-instrument	start	mover	true
1470226726628: 	activate	mover
1470226731347: 	start moving	image-8	from	{"x":35,"y":121}
1470226731468: 	moved	image-8	to	{"x":1106,"y":163}
1470226731480: 	moved	image-8	to	{"x":1103,"y":165}
1470226731492: 	moved	image-8	to	{"x":1101,"y":166}
1470226731503: 	moved	image-8	to	{"x":1099,"y":167}
1470226731511: 	moved	image-8	to	{"x":1096,"y":168}
1470226731527: 	moved	image-8	to	{"x":1091,"y":170}
1470226731533: 	moved	image-8	to	{"x":1088,"y":172}
1470226731538: 	moved	image-8	to	{"x":1086,"y":173}
1470226731545: 	moved	image-8	to	{"x":1084,"y":174}
1470226731552: 	moved	image-8	to	{"x":1081,"y":175}
1470226731560: 	moved	image-8	to	{"x":1079,"y":176}
1470226731568: 	moved	image-8	to	{"x":1076,"y":177}
1470226731576: 	moved	image-8	to	{"x":1073,"y":178}
1470226731585: 	moved	image-8	to	{"x":1070,"y":180}
1470226731591: 	moved	image-8	to	{"x":1067,"y":181}
1470226731601: 	moved	image-8	to	{"x":1064,"y":182}
1470226731609: 	moved	image-8	to	{"x":1062,"y":184}
1470226731618: 	moved	image-8	to	{"x":1058,"y":185}
1470226731625: 	moved	image-8	to	{"x":1055,"y":187}
1470226731634: 	moved	image-8	to	{"x":1052,"y":188}
1470226731641: 	moved	image-8	to	{"x":1048,"y":190}
1470226731651: 	moved	image-8	to	{"x":1045,"y":191}
1470226731659: 	moved	image-8	to	{"x":1041,"y":193}
1470226731667: 	moved	image-8	to	{"x":1038,"y":193}
1470226731675: 	moved	image-8	to	{"x":1035,"y":195}
1470226731684: 	moved	image-8	to	{"x":1032,"y":196}
1470226731691: 	moved	image-8	to	{"x":1028,"y":198}
1470226731700: 	moved	image-8	to	{"x":1025,"y":199}
1470226731708: 	moved	image-8	to	{"x":1022,"y":199}
1470226731716: 	moved	image-8	to	{"x":1020,"y":200}
1470226731726: 	moved	image-8	to	{"x":1016,"y":201}
1470226731733: 	moved	image-8	to	{"x":1013,"y":202}
1470226731741: 	moved	image-8	to	{"x":1010,"y":203}
1470226731750: 	moved	image-8	to	{"x":1007,"y":205}
1470226731758: 	moved	image-8	to	{"x":1003,"y":206}
1470226731766: 	moved	image-8	to	{"x":1001,"y":207}
1470226731775: 	moved	image-8	to	{"x":997,"y":209}
1470226731783: 	moved	image-8	to	{"x":995,"y":209}
1470226731791: 	moved	image-8	to	{"x":992,"y":210}
1470226731800: 	moved	image-8	to	{"x":989,"y":212}
1470226731808: 	moved	image-8	to	{"x":986,"y":213}
1470226731816: 	moved	image-8	to	{"x":984,"y":214}
1470226731825: 	moved	image-8	to	{"x":982,"y":215}
1470226731834: 	moved	image-8	to	{"x":978,"y":216}
1470226731841: 	moved	image-8	to	{"x":977,"y":217}
1470226731851: 	moved	image-8	to	{"x":974,"y":218}
1470226731858: 	moved	image-8	to	{"x":972,"y":219}
1470226731866: 	moved	image-8	to	{"x":971,"y":220}
1470226731876: 	moved	image-8	to	{"x":969,"y":220}
1470226731883: 	moved	image-8	to	{"x":966,"y":221}
1470226731891: 	moved	image-8	to	{"x":965,"y":222}
1470226731901: 	moved	image-8	to	{"x":963,"y":223}
1470226731908: 	moved	image-8	to	{"x":961,"y":223}
1470226731916: 	moved	image-8	to	{"x":960,"y":224}
1470226731926: 	moved	image-8	to	{"x":959,"y":225}
1470226731934: 	moved	image-8	to	{"x":957,"y":226}
1470226731941: 	moved	image-8	to	{"x":956,"y":226}
1470226731950: 	moved	image-8	to	{"x":954,"y":227}
1470226731958: 	moved	image-8	to	{"x":954,"y":228}
1470226731967: 	moved	image-8	to	{"x":952,"y":229}
1470226731976: 	moved	image-8	to	{"x":951,"y":229}
1470226731983: 	moved	image-8	to	{"x":950,"y":230}
1470226732000: 	moved	image-8	to	{"x":949,"y":230}
1470226732008: 	moved	image-8	to	{"x":949,"y":231}
1470226732016: 	moved	image-8	to	{"x":948,"y":231}
1470226732034: 	moved	image-8	to	{"x":947,"y":232}
1470226732050: 	moved	image-8	to	{"x":946,"y":232}
1470226732059: 	moved	image-8	to	{"x":946,"y":233}
1470226732066: 	moved	image-8	to	{"x":945,"y":233}
1470226743071: 	start moving	image-8	from	{"x":60,"y":86}
1470226743151: 	moved	image-8	to	{"x":956,"y":207}
1470226743158: 	moved	image-8	to	{"x":953,"y":209}
1470226743167: 	moved	image-8	to	{"x":949,"y":211}
1470226743175: 	moved	image-8	to	{"x":946,"y":213}
1470226743184: 	moved	image-8	to	{"x":942,"y":216}
1470226743191: 	moved	image-8	to	{"x":938,"y":218}
1470226743200: 	moved	image-8	to	{"x":933,"y":222}
1470226743208: 	moved	image-8	to	{"x":929,"y":224}
1470226743216: 	moved	image-8	to	{"x":925,"y":226}
1470226743225: 	moved	image-8	to	{"x":919,"y":230}
1470226743233: 	moved	image-8	to	{"x":915,"y":233}
1470226743241: 	moved	image-8	to	{"x":911,"y":237}
1470226743250: 	moved	image-8	to	{"x":906,"y":241}
1470226743261: 	moved	image-8	to	{"x":901,"y":244}
1470226743266: 	moved	image-8	to	{"x":896,"y":247}
1470226743281: 	moved	image-8	to	{"x":892,"y":249}
1470226743285: 	moved	image-8	to	{"x":887,"y":252}
1470226743291: 	moved	image-8	to	{"x":883,"y":256}
1470226743300: 	moved	image-8	to	{"x":878,"y":259}
1470226743308: 	moved	image-8	to	{"x":872,"y":263}
1470226743315: 	moved	image-8	to	{"x":866,"y":266}
1470226743325: 	moved	image-8	to	{"x":860,"y":268}
1470226743334: 	moved	image-8	to	{"x":854,"y":272}
1470226743341: 	moved	image-8	to	{"x":847,"y":276}
1470226743350: 	moved	image-8	to	{"x":840,"y":280}
1470226743357: 	moved	image-8	to	{"x":833,"y":283}
1470226743366: 	moved	image-8	to	{"x":825,"y":287}
1470226743375: 	moved	image-8	to	{"x":819,"y":289}
1470226743384: 	moved	image-8	to	{"x":812,"y":292}
1470226743391: 	moved	image-8	to	{"x":804,"y":296}
1470226743400: 	moved	image-8	to	{"x":796,"y":300}
1470226743408: 	moved	image-8	to	{"x":789,"y":302}
1470226743416: 	moved	image-8	to	{"x":781,"y":306}
1470226743425: 	moved	image-8	to	{"x":772,"y":309}
1470226743433: 	moved	image-8	to	{"x":765,"y":313}
1470226743442: 	moved	image-8	to	{"x":757,"y":317}
1470226743449: 	moved	image-8	to	{"x":749,"y":319}
1470226743458: 	moved	image-8	to	{"x":741,"y":323}
1470226743466: 	moved	image-8	to	{"x":731,"y":327}
1470226743475: 	moved	image-8	to	{"x":724,"y":330}
1470226743483: 	moved	image-8	to	{"x":714,"y":335}
1470226743491: 	moved	image-8	to	{"x":707,"y":338}
1470226743500: 	moved	image-8	to	{"x":696,"y":343}
1470226743507: 	moved	image-8	to	{"x":684,"y":350}
1470226743517: 	moved	image-8	to	{"x":677,"y":353}
1470226743525: 	moved	image-8	to	{"x":666,"y":359}
1470226743533: 	moved	image-8	to	{"x":656,"y":364}
1470226743541: 	moved	image-8	to	{"x":651,"y":366}
1470226743550: 	moved	image-8	to	{"x":637,"y":373}
1470226743558: 	moved	image-8	to	{"x":631,"y":374}
1470226743567: 	moved	image-8	to	{"x":620,"y":380}
1470226743576: 	moved	image-8	to	{"x":609,"y":385}
1470226743583: 	moved	image-8	to	{"x":602,"y":390}
1470226743591: 	moved	image-8	to	{"x":590,"y":396}
1470226743600: 	moved	image-8	to	{"x":582,"y":401}
1470226743608: 	moved	image-8	to	{"x":572,"y":406}
1470226743617: 	moved	image-8	to	{"x":564,"y":410}
1470226743626: 	moved	image-8	to	{"x":553,"y":416}
1470226743633: 	moved	image-8	to	{"x":544,"y":422}
1470226743641: 	moved	image-8	to	{"x":536,"y":426}
1470226743650: 	moved	image-8	to	{"x":530,"y":430}
1470226743657: 	moved	image-8	to	{"x":517,"y":438}
1470226743666: 	moved	image-8	to	{"x":513,"y":440}
1470226743675: 	moved	image-8	to	{"x":504,"y":446}
1470226743683: 	moved	image-8	to	{"x":496,"y":451}
1470226743690: 	moved	image-8	to	{"x":490,"y":456}
1470226743699: 	moved	image-8	to	{"x":483,"y":461}
1470226743713: 	moved	image-8	to	{"x":476,"y":465}
1470226743719: 	moved	image-8	to	{"x":470,"y":469}
1470226743725: 	moved	image-8	to	{"x":464,"y":473}
1470226743733: 	moved	image-8	to	{"x":458,"y":476}
1470226743740: 	moved	image-8	to	{"x":453,"y":479}
1470226743750: 	moved	image-8	to	{"x":449,"y":481}
1470226743758: 	moved	image-8	to	{"x":445,"y":483}
1470226743767: 	moved	image-8	to	{"x":442,"y":484}
1470226743775: 	moved	image-8	to	{"x":438,"y":485}
1470226743783: 	moved	image-8	to	{"x":436,"y":486}
1470226743791: 	moved	image-8	to	{"x":433,"y":486}
1470226743800: 	moved	image-8	to	{"x":430,"y":487}
1470226743808: 	moved	image-8	to	{"x":428,"y":486}
1470226744244: 	start moving	image-71	from	{"x":92,"y":70}
1470226744275: 	moved	image-71	to	{"x":656,"y":170}
1470226744283: 	moved	image-71	to	{"x":661,"y":172}
1470226744291: 	moved	image-71	to	{"x":667,"y":175}
1470226744300: 	moved	image-71	to	{"x":673,"y":177}
1470226744308: 	moved	image-71	to	{"x":680,"y":180}
1470226744316: 	moved	image-71	to	{"x":687,"y":181}
1470226744325: 	moved	image-71	to	{"x":694,"y":184}
1470226744333: 	moved	image-71	to	{"x":702,"y":187}
1470226744341: 	moved	image-71	to	{"x":711,"y":189}
1470226744349: 	moved	image-71	to	{"x":720,"y":191}
1470226744358: 	moved	image-71	to	{"x":728,"y":193}
1470226744368: 	moved	image-71	to	{"x":739,"y":194}
1470226744374: 	moved	image-71	to	{"x":750,"y":198}
1470226744382: 	moved	image-71	to	{"x":759,"y":198}
1470226744392: 	moved	image-71	to	{"x":768,"y":199}
1470226744400: 	moved	image-71	to	{"x":778,"y":199}
1470226744409: 	moved	image-71	to	{"x":786,"y":200}
1470226744416: 	moved	image-71	to	{"x":797,"y":201}
1470226744425: 	moved	image-71	to	{"x":809,"y":201}
1470226744432: 	moved	image-71	to	{"x":816,"y":201}
1470226744442: 	moved	image-71	to	{"x":827,"y":201}
1470226744450: 	moved	image-71	to	{"x":836,"y":201}
1470226744458: 	moved	image-71	to	{"x":848,"y":200}
1470226744466: 	moved	image-71	to	{"x":859,"y":200}
1470226744475: 	moved	image-71	to	{"x":866,"y":200}
1470226744482: 	moved	image-71	to	{"x":879,"y":200}
1470226744491: 	moved	image-71	to	{"x":890,"y":199}
1470226744501: 	moved	image-71	to	{"x":898,"y":198}
1470226744508: 	moved	image-71	to	{"x":911,"y":198}
1470226744516: 	moved	image-71	to	{"x":920,"y":196}
1470226744525: 	moved	image-71	to	{"x":927,"y":196}
1470226744533: 	moved	image-71	to	{"x":937,"y":194}
1470226744541: 	moved	image-71	to	{"x":948,"y":192}
1470226744549: 	moved	image-71	to	{"x":955,"y":190}
1470226744558: 	moved	image-71	to	{"x":964,"y":189}
1470226744569: 	moved	image-71	to	{"x":972,"y":187}
1470226744577: 	moved	image-71	to	{"x":982,"y":184}
1470226744584: 	moved	image-71	to	{"x":988,"y":182}
1470226744591: 	moved	image-71	to	{"x":997,"y":180}
1470226744600: 	moved	image-71	to	{"x":1003,"y":178}
1470226744608: 	moved	image-71	to	{"x":1012,"y":175}
1470226744616: 	moved	image-71	to	{"x":1018,"y":172}
1470226744625: 	moved	image-71	to	{"x":1025,"y":169}
1470226744633: 	moved	image-71	to	{"x":1033,"y":167}
1470226744641: 	moved	image-71	to	{"x":1039,"y":164}
1470226744649: 	moved	image-71	to	{"x":1044,"y":162}
1470226744657: 	moved	image-71	to	{"x":1050,"y":160}
1470226744666: 	moved	image-71	to	{"x":1055,"y":157}
1470226744674: 	moved	image-71	to	{"x":1060,"y":154}
1470226744682: 	moved	image-71	to	{"x":1065,"y":152}
1470226744692: 	moved	image-71	to	{"x":1070,"y":149}
1470226744700: 	moved	image-71	to	{"x":1075,"y":146}
1470226744707: 	moved	image-71	to	{"x":1079,"y":143}
1470226744716: 	moved	image-71	to	{"x":1082,"y":141}
1470226744725: 	moved	image-71	to	{"x":1087,"y":138}
1470226744734: 	moved	image-71	to	{"x":1089,"y":137}
1470226744741: 	moved	image-71	to	{"x":1092,"y":134}
1470226744749: 	moved	image-71	to	{"x":1096,"y":130}
1470226744757: 	moved	image-71	to	{"x":1098,"y":128}
1470226744766: 	moved	image-71	to	{"x":1100,"y":126}
1470226744774: 	moved	image-71	to	{"x":1102,"y":124}
1470226744782: 	moved	image-71	to	{"x":1104,"y":122}
1470226744790: 	moved	image-71	to	{"x":1106,"y":120}
1470226744799: 	moved	image-71	to	{"x":1107,"y":118}
1470226744809: 	moved	image-71	to	{"x":1108,"y":117}
1470226744816: 	moved	image-71	to	{"x":1110,"y":115}
1470226744825: 	moved	image-71	to	{"x":1111,"y":114}
1470226744833: 	moved	image-71	to	{"x":1111,"y":113}
1470226744842: 	moved	image-71	to	{"x":1112,"y":112}
1470226744850: 	moved	image-71	to	{"x":1113,"y":110}
1470226744857: 	moved	image-71	to	{"x":1114,"y":109}
1470226744867: 	moved	image-71	to	{"x":1114,"y":108}
1470226744874: 	moved	image-71	to	{"x":1115,"y":108}
1470226744883: 	moved	image-71	to	{"x":1115,"y":107}
1470226744891: 	moved	image-71	to	{"x":1115,"y":106}
1470226744900: 	moved	image-71	to	{"x":1116,"y":105}
1470226744925: 	moved	image-71	to	{"x":1116,"y":104}
1470226744950: 	moved	image-71	to	{"x":1116,"y":103}
1470226746310: 	start moving	image-42	from	{"x":71,"y":93}
1470226746366: 	moved	image-42	to	{"x":102,"y":478}
1470226746375: 	moved	image-42	to	{"x":104,"y":476}
