1470743651641	2016-08-09 13-54-11.641	action	mover	mover	{"x":213,"y":344}
1470743651648	2016-08-09 13-54-11.648	action	mover	mover	{"x":212,"y":348}
1470743651657	2016-08-09 13-54-11.657	action	mover	mover	{"x":212,"y":353}
1470743651665	2016-08-09 13-54-11.665	action	mover	mover	{"x":212,"y":356}
1470743651673	2016-08-09 13-54-11.673	action	mover	mover	{"x":212,"y":360}
1470743651682	2016-08-09 13-54-11.682	action	mover	mover	{"x":211,"y":364}
1470743651690	2016-08-09 13-54-11.690	action	mover	mover	{"x":211,"y":369}
1470743651700	2016-08-09 13-54-11.700	action	mover	mover	{"x":210,"y":374}
1470743651701	2016-08-09 13-54-11.701	moved	mover	to	{"x":210,"y":374}
1470743651706	2016-08-09 13-54-11.706	action	mover	mover	{"x":209,"y":379}
1470743651707	2016-08-09 13-54-11.707	moved	mover	to	{"x":209,"y":379}
1470743651715	2016-08-09 13-54-11.715	action	mover	mover	{"x":209,"y":383}
1470743651717	2016-08-09 13-54-11.717	moved	mover	to	{"x":209,"y":383}
1470743651724	2016-08-09 13-54-11.724	action	mover	mover	{"x":208,"y":389}
1470743651732	2016-08-09 13-54-11.732	action	mover	mover	{"x":207,"y":393}
1470743651734	2016-08-09 13-54-11.734	moved	mover	to	{"x":207,"y":393}
1470743651741	2016-08-09 13-54-11.741	action	mover	mover	{"x":207,"y":399}
1470743651749	2016-08-09 13-54-11.749	action	mover	mover	{"x":207,"y":404}
1470743651757	2016-08-09 13-54-11.757	action	mover	mover	{"x":206,"y":409}
1470743651758	2016-08-09 13-54-11.758	moved	mover	to	{"x":206,"y":409}
1470743651765	2016-08-09 13-54-11.765	action	mover	mover	{"x":206,"y":415}
1470743651775	2016-08-09 13-54-11.775	action	mover	mover	{"x":206,"y":421}
1470743651782	2016-08-09 13-54-11.782	action	mover	mover	{"x":206,"y":425}
1470743651783	2016-08-09 13-54-11.783	moved	mover	to	{"x":206,"y":425}
1470743651790	2016-08-09 13-54-11.790	action	mover	mover	{"x":204,"y":430}
1470743651791	2016-08-09 13-54-11.791	moved	mover	to	{"x":204,"y":430}
1470743651799	2016-08-09 13-54-11.799	action	mover	mover	{"x":204,"y":436}
1470743651800	2016-08-09 13-54-11.800	moved	mover	to	{"x":204,"y":436}
1470743651807	2016-08-09 13-54-11.807	action	mover	mover	{"x":204,"y":441}
1470743651808	2016-08-09 13-54-11.808	moved	mover	to	{"x":204,"y":441}
1470743651816	2016-08-09 13-54-11.816	action	mover	mover	{"x":203,"y":447}
1470743651817	2016-08-09 13-54-11.817	moved	mover	to	{"x":203,"y":447}
1470743651825	2016-08-09 13-54-11.825	action	mover	mover	{"x":203,"y":454}
1470743651833	2016-08-09 13-54-11.833	action	mover	mover	{"x":203,"y":461}
1470743651840	2016-08-09 13-54-11.840	action	mover	mover	{"x":202,"y":467}
1470743651841	2016-08-09 13-54-11.841	moved	mover	to	{"x":202,"y":467}
1470743651849	2016-08-09 13-54-11.849	action	mover	mover	{"x":202,"y":474}
1470743651850	2016-08-09 13-54-11.850	moved	mover	to	{"x":202,"y":474}
1470743651858	2016-08-09 13-54-11.858	action	mover	mover	{"x":202,"y":480}
1470743651859	2016-08-09 13-54-11.859	moved	mover	to	{"x":202,"y":480}
1470743651865	2016-08-09 13-54-11.865	action	mover	mover	{"x":203,"y":488}
1470743651866	2016-08-09 13-54-11.866	moved	mover	to	{"x":203,"y":488}
1470743651874	2016-08-09 13-54-11.874	action	mover	mover	{"x":202,"y":494}
1470743651875	2016-08-09 13-54-11.875	moved	mover	to	{"x":202,"y":494}
1470743651882	2016-08-09 13-54-11.882	action	mover	mover	{"x":202,"y":500}
1470743651883	2016-08-09 13-54-11.883	moved	mover	to	{"x":202,"y":500}
1470743651891	2016-08-09 13-54-11.891	action	mover	mover	{"x":202,"y":508}
1470743651892	2016-08-09 13-54-11.892	moved	mover	to	{"x":202,"y":508}
1470743651899	2016-08-09 13-54-11.899	action	mover	mover	{"x":202,"y":516}
1470743651900	2016-08-09 13-54-11.900	moved	mover	to	{"x":202,"y":516}
1470743651907	2016-08-09 13-54-11.907	action	mover	mover	{"x":202,"y":522}
1470743651908	2016-08-09 13-54-11.908	moved	mover	to	{"x":202,"y":522}
1470743651915	2016-08-09 13-54-11.915	action	mover	mover	{"x":202,"y":529}
1470743651916	2016-08-09 13-54-11.916	moved	mover	to	{"x":202,"y":529}
1470743651926	2016-08-09 13-54-11.926	action	mover	mover	{"x":203,"y":538}
1470743651933	2016-08-09 13-54-11.933	action	mover	mover	{"x":203,"y":545}
1470743651940	2016-08-09 13-54-11.940	action	mover	mover	{"x":203,"y":551}
1470743651941	2016-08-09 13-54-11.941	moved	mover	to	{"x":203,"y":551}
1470743651949	2016-08-09 13-54-11.949	action	mover	mover	{"x":204,"y":559}
