1470665713836	2016-08-08 16-15-13.836	moved	image-26	to	{"x":175,"y":440}
1470665713842	2016-08-08 16-15-13.842	action	mover	image-26	{"x":177,"y":439}
1470665713844	2016-08-08 16-15-13.844	moved	image-26	to	{"x":177,"y":439}
1470665713853	2016-08-08 16-15-13.853	action	mover	image-26	{"x":179,"y":438}
1470665713859	2016-08-08 16-15-13.859	action	mover	image-26	{"x":182,"y":438}
1470665713860	2016-08-08 16-15-13.860	moved	image-26	to	{"x":182,"y":438}
1470665713867	2016-08-08 16-15-13.867	action	mover	image-26	{"x":184,"y":437}
1470665713868	2016-08-08 16-15-13.868	moved	image-26	to	{"x":184,"y":437}
1470665713877	2016-08-08 16-15-13.877	action	mover	image-26	{"x":186,"y":436}
1470665713886	2016-08-08 16-15-13.886	action	mover	image-26	{"x":189,"y":435}
1470665713887	2016-08-08 16-15-13.887	moved	image-26	to	{"x":189,"y":435}
1470665713893	2016-08-08 16-15-13.893	action	mover	image-26	{"x":191,"y":434}
1470665713894	2016-08-08 16-15-13.894	moved	image-26	to	{"x":191,"y":434}
1470665713902	2016-08-08 16-15-13.902	action	mover	image-26	{"x":194,"y":433}
1470665713911	2016-08-08 16-15-13.911	action	mover	image-26	{"x":197,"y":431}
1470665713918	2016-08-08 16-15-13.918	action	mover	image-26	{"x":199,"y":430}
1470665713919	2016-08-08 16-15-13.919	moved	image-26	to	{"x":199,"y":430}
1470665713927	2016-08-08 16-15-13.927	action	mover	image-26	{"x":202,"y":429}
1470665713928	2016-08-08 16-15-13.928	moved	image-26	to	{"x":202,"y":429}
1470665713935	2016-08-08 16-15-13.935	action	mover	image-26	{"x":205,"y":427}
1470665713936	2016-08-08 16-15-13.936	moved	image-26	to	{"x":205,"y":427}
1470665713943	2016-08-08 16-15-13.943	action	mover	image-26	{"x":209,"y":426}
1470665713944	2016-08-08 16-15-13.944	moved	image-26	to	{"x":209,"y":426}
1470665713953	2016-08-08 16-15-13.953	action	mover	image-26	{"x":211,"y":425}
1470665713960	2016-08-08 16-15-13.960	action	mover	image-26	{"x":214,"y":424}
1470665713961	2016-08-08 16-15-13.961	moved	image-26	to	{"x":214,"y":424}
1470665713968	2016-08-08 16-15-13.968	action	mover	image-26	{"x":217,"y":423}
1470665713969	2016-08-08 16-15-13.969	moved	image-26	to	{"x":217,"y":423}
1470665713977	2016-08-08 16-15-13.977	action	mover	image-26	{"x":220,"y":422}
1470665713985	2016-08-08 16-15-13.985	action	mover	image-26	{"x":223,"y":421}
1470665713986	2016-08-08 16-15-13.986	moved	image-26	to	{"x":223,"y":421}
1470665713994	2016-08-08 16-15-13.994	action	mover	image-26	{"x":226,"y":421}
1470665713995	2016-08-08 16-15-13.995	moved	image-26	to	{"x":226,"y":421}
1470665714003	2016-08-08 16-15-14.003	action	mover	image-26	{"x":230,"y":419}
1470665714004	2016-08-08 16-15-14.004	moved	image-26	to	{"x":230,"y":419}
1470665714012	2016-08-08 16-15-14.012	action	mover	image-26	{"x":233,"y":418}
1470665714014	2016-08-08 16-15-14.014	moved	image-26	to	{"x":233,"y":418}
1470665714020	2016-08-08 16-15-14.020	action	mover	image-26	{"x":236,"y":417}
1470665714021	2016-08-08 16-15-14.021	moved	image-26	to	{"x":236,"y":417}
1470665714027	2016-08-08 16-15-14.027	action	mover	image-26	{"x":239,"y":417}
1470665714035	2016-08-08 16-15-14.035	action	mover	image-26	{"x":243,"y":416}
1470665714036	2016-08-08 16-15-14.036	moved	image-26	to	{"x":243,"y":416}
1470665714043	2016-08-08 16-15-14.043	action	mover	image-26	{"x":246,"y":415}
1470665714044	2016-08-08 16-15-14.044	moved	image-26	to	{"x":246,"y":415}
1470665714052	2016-08-08 16-15-14.052	action	mover	image-26	{"x":250,"y":415}
1470665714053	2016-08-08 16-15-14.053	moved	image-26	to	{"x":250,"y":415}
1470665714061	2016-08-08 16-15-14.061	action	mover	image-26	{"x":253,"y":414}
1470665714068	2016-08-08 16-15-14.068	action	mover	image-26	{"x":258,"y":413}
1470665714069	2016-08-08 16-15-14.069	moved	image-26	to	{"x":258,"y":413}
1470665714077	2016-08-08 16-15-14.077	action	mover	image-26	{"x":260,"y":412}
1470665714078	2016-08-08 16-15-14.078	moved	image-26	to	{"x":260,"y":412}
1470665714085	2016-08-08 16-15-14.085	action	mover	image-26	{"x":264,"y":412}
1470665714086	2016-08-08 16-15-14.086	moved	image-26	to	{"x":264,"y":412}
1470665714094	2016-08-08 16-15-14.094	action	mover	image-26	{"x":267,"y":411}
1470665714102	2016-08-08 16-15-14.102	action	mover	image-26	{"x":272,"y":410}
1470665714103	2016-08-08 16-15-14.103	moved	image-26	to	{"x":272,"y":410}
1470665714109	2016-08-08 16-15-14.109	action	mover	image-26	{"x":275,"y":409}
1470665714110	2016-08-08 16-15-14.110	moved	image-26	to	{"x":275,"y":409}
1470665714119	2016-08-08 16-15-14.119	action	mover	image-26	{"x":279,"y":408}
1470665714127	2016-08-08 16-15-14.127	action	mover	image-26	{"x":283,"y":407}
1470665714128	2016-08-08 16-15-14.128	moved	image-26	to	{"x":283,"y":407}
1470665714135	2016-08-08 16-15-14.135	action	mover	image-26	{"x":287,"y":406}
1470665714136	2016-08-08 16-15-14.136	moved	image-26	to	{"x":287,"y":406}
1470665714144	2016-08-08 16-15-14.144	action	mover	image-26	{"x":291,"y":405}
1470665714145	2016-08-08 16-15-14.145	moved	image-26	to	{"x":291,"y":405}
1470665714152	2016-08-08 16-15-14.152	action	mover	image-26	{"x":296,"y":403}
1470665714160	2016-08-08 16-15-14.160	action	mover	image-26	{"x":300,"y":401}
1470665714161	2016-08-08 16-15-14.161	moved	image-26	to	{"x":300,"y":401}
1470665714168	2016-08-08 16-15-14.168	action	mover	image-26	{"x":304,"y":400}
1470665714169	2016-08-08 16-15-14.169	moved	image-26	to	{"x":304,"y":400}
1470665714177	2016-08-08 16-15-14.177	action	mover	image-26	{"x":308,"y":398}
1470665714185	2016-08-08 16-15-14.185	action	mover	image-26	{"x":313,"y":396}
1470665714193	2016-08-08 16-15-14.193	action	mover	image-26	{"x":317,"y":395}
1470665714194	2016-08-08 16-15-14.194	moved	image-26	to	{"x":317,"y":395}
1470665714202	2016-08-08 16-15-14.202	action	mover	image-26	{"x":321,"y":392}
1470665714203	2016-08-08 16-15-14.203	moved	image-26	to	{"x":321,"y":392}
1470665714210	2016-08-08 16-15-14.210	action	mover	image-26	{"x":326,"y":390}
1470665714211	2016-08-08 16-15-14.211	moved	image-26	to	{"x":326,"y":390}
1470665714218	2016-08-08 16-15-14.218	action	mover	image-26	{"x":330,"y":388}
1470665714219	2016-08-08 16-15-14.219	moved	image-26	to	{"x":330,"y":388}
1470665714227	2016-08-08 16-15-14.227	action	mover	image-26	{"x":334,"y":386}
1470665714228	2016-08-08 16-15-14.228	moved	image-26	to	{"x":334,"y":386}
1470665714235	2016-08-08 16-15-14.235	action	mover	image-26	{"x":338,"y":384}
1470665714244	2016-08-08 16-15-14.244	action	mover	image-26	{"x":342,"y":383}
1470665714245	2016-08-08 16-15-14.245	moved	image-26	to	{"x":342,"y":383}
1470665714252	2016-08-08 16-15-14.252	action	mover	image-26	{"x":346,"y":381}
1470665714253	2016-08-08 16-15-14.253	moved	image-26	to	{"x":346,"y":381}
1470665714260	2016-08-08 16-15-14.260	action	mover	image-26	{"x":350,"y":379}
1470665714261	2016-08-08 16-15-14.261	moved	image-26	to	{"x":350,"y":379}
1470665714268	2016-08-08 16-15-14.268	action	mover	image-26	{"x":354,"y":377}
1470665714269	2016-08-08 16-15-14.269	moved	image-26	to	{"x":354,"y":377}
1470665714277	2016-08-08 16-15-14.277	action	mover	image-26	{"x":357,"y":375}
1470665714278	2016-08-08 16-15-14.278	moved	image-26	to	{"x":357,"y":375}
1470665714286	2016-08-08 16-15-14.286	action	mover	image-26	{"x":361,"y":373}
1470665714293	2016-08-08 16-15-14.293	action	mover	image-26	{"x":365,"y":371}
1470665714294	2016-08-08 16-15-14.294	moved	image-26	to	{"x":365,"y":371}
1470665714302	2016-08-08 16-15-14.302	action	mover	image-26	{"x":367,"y":370}
1470665714303	2016-08-08 16-15-14.303	moved	image-26	to	{"x":367,"y":370}
1470665714310	2016-08-08 16-15-14.310	action	mover	image-26	{"x":371,"y":367}
1470665714311	2016-08-08 16-15-14.311	moved	image-26	to	{"x":371,"y":367}
1470665714318	2016-08-08 16-15-14.318	action	mover	image-26	{"x":375,"y":365}
1470665714320	2016-08-08 16-15-14.320	moved	image-26	to	{"x":375,"y":365}
1470665714327	2016-08-08 16-15-14.327	action	mover	image-26	{"x":377,"y":363}
1470665714335	2016-08-08 16-15-14.335	action	mover	image-26	{"x":380,"y":361}
1470665714336	2016-08-08 16-15-14.336	moved	image-26	to	{"x":380,"y":361}
1470665714343	2016-08-08 16-15-14.343	action	mover	image-26	{"x":382,"y":360}
1470665714344	2016-08-08 16-15-14.344	moved	image-26	to	{"x":382,"y":360}
1470665714352	2016-08-08 16-15-14.352	action	mover	image-26	{"x":385,"y":357}
1470665714353	2016-08-08 16-15-14.353	moved	image-26	to	{"x":385,"y":357}
1470665714360	2016-08-08 16-15-14.360	action	mover	image-26	{"x":388,"y":355}
1470665714361	2016-08-08 16-15-14.361	moved	image-26	to	{"x":388,"y":355}
1470665714368	2016-08-08 16-15-14.368	action	mover	image-26	{"x":391,"y":353}
1470665714369	2016-08-08 16-15-14.369	moved	image-26	to	{"x":391,"y":353}
1470665714377	2016-08-08 16-15-14.377	action	mover	image-26	{"x":393,"y":352}
1470665714378	2016-08-08 16-15-14.378	moved	image-26	to	{"x":393,"y":352}
1470665714385	2016-08-08 16-15-14.385	action	mover	image-26	{"x":395,"y":349}
1470665714386	2016-08-08 16-15-14.386	moved	image-26	to	{"x":395,"y":349}
1470665714393	2016-08-08 16-15-14.393	action	mover	image-26	{"x":397,"y":348}
1470665714394	2016-08-08 16-15-14.394	moved	image-26	to	{"x":397,"y":348}
