1470155315575: 	acted on	sample
1470155318296: 	acted on	innerText
1470155318409: 	sub-instrument	start	shapes	true
1470155318410: 	activate	shapes
1470155319178: 	acted on	circle
1470155319268: 	sub-instrument	circle	shapes	true
1470155320563: 	shape started	{"x":1072,"y":133}
1470155320565: 	shape continued	10	circle
1470155320734: 	shape continued	17	circle
1470155320741: 	shape continued	20	circle
1470155320749: 	shape continued	23	circle
1470155320758: 	shape continued	26	circle
1470155320766: 	shape continued	29	circle
1470155320774: 	shape continued	31	circle
1470155320783: 	shape continued	34	circle
1470155320791: 	shape continued	37	circle
1470155320799: 	shape continued	39	circle
1470155320809: 	shape continued	41	circle
1470155320816: 	shape continued	43	circle
1470155320824: 	shape continued	46	circle
1470155320833: 	shape continued	48	circle
1470155320842: 	shape continued	51	circle
1470155320849: 	shape continued	54	circle
1470155320858: 	shape continued	57	circle
1470155320866: 	shape continued	60	circle
1470155320874: 	shape continued	63	circle
1470155320884: 	shape continued	66	circle
1470155320891: 	shape continued	69	circle
1470155320899: 	shape continued	72	circle
1470155320909: 	shape continued	75	circle
1470155320916: 	shape continued	77	circle
1470155320924: 	shape continued	81	circle
1470155320934: 	shape continued	83	circle
1470155320941: 	shape continued	86	circle
1470155320949: 	shape continued	89	circle
1470155320958: 	shape continued	93	circle
1470155320966: 	shape continued	97	circle
1470155320974: 	shape continued	100	circle
1470155320983: 	shape continued	103	circle
1470155320991: 	shape continued	106	circle
1470155320999: 	shape continued	109	circle
1470155321008: 	shape continued	112	circle
1470155321016: 	shape continued	114	circle
1470155321024: 	shape continued	116	circle
1470155321033: 	shape continued	118	circle
1470155321041: 	shape continued	121	circle
1470155321049: 	shape continued	124	circle
1470155321059: 	shape continued	126	circle
1470155321066: 	shape continued	128	circle
1470155321074: 	shape continued	131	circle
1470155321083: 	shape continued	134	circle
1470155321091: 	shape continued	137	circle
1470155321099: 	shape continued	140	circle
1470155321108: 	shape continued	142	circle
1470155321117: 	shape continued	145	circle
1470155321124: 	shape continued	147	circle
1470155321133: 	shape continued	151	circle
1470155321141: 	shape continued	153	circle
1470155321149: 	shape continued	156	circle
1470155321159: 	shape continued	158	circle
1470155321166: 	shape continued	161	circle
1470155321174: 	shape continued	163	circle
1470155321183: 	shape continued	166	circle
1470155321191: 	shape continued	169	circle
1470155321199: 	shape continued	172	circle
1470155321209: 	shape continued	175	circle
1470155321217: 	shape continued	178	circle
1470155321224: 	shape continued	181	circle
1470155321234: 	shape continued	184	circle
1470155321241: 	shape continued	187	circle
1470155321249: 	shape continued	190	circle
1470155321259: 	shape continued	193	circle
1470155321267: 	shape continued	196	circle
1470155321276: 	shape continued	199	circle
1470155321284: 	shape continued	201	circle
1470155321291: 	shape continued	204	circle
1470155321299: 	shape continued	207	circle
1470155321309: 	shape continued	209	circle
1470155321316: 	shape continued	212	circle
1470155321324: 	shape continued	214	circle
1470155321333: 	shape continued	216	circle
1470155321341: 	shape continued	219	circle
1470155321349: 	shape continued	222	circle
1470155321358: 	shape continued	224	circle
1470155321366: 	shape continued	227	circle
1470155321374: 	shape continued	229	circle
1470155321383: 	shape continued	231	circle
1470155321391: 	shape continued	234	circle
1470155321399: 	shape continued	236	circle
1470155321408: 	shape continued	238	circle
1470155321416: 	shape continued	240	circle
1470155321425: 	shape continued	242	circle
1470155321433: 	shape continued	243	circle
1470155321441: 	shape continued	245	circle
1470155321449: 	shape continued	247	circle
1470155321459: 	shape continued	248	circle
1470155321466: 	shape continued	250	circle
1470155321474: 	shape continued	252	circle
1470155321483: 	shape continued	254	circle
1470155321491: 	shape continued	256	circle
1470155321499: 	shape continued	258	circle
1470155321509: 	shape continued	260	circle
1470155321516: 	shape continued	261	circle
1470155321525: 	shape continued	262	circle
1470155321533: 	shape continued	264	circle
1470155321541: 	shape continued	265	circle
1470155321549: 	shape continued	266	circle
1470155321558: 	shape continued	268	circle
1470155321566: 	shape continued	269	circle
1470155321574: 	shape continued	271	circle
1470155321583: 	shape continued	273	circle
1470155321592: 	shape continued	275	circle
1470155321599: 	shape continued	277	circle
1470155321608: 	shape continued	279	circle
1470155321616: 	shape continued	281	circle
1470155321624: 	shape continued	283	circle
1470155321633: 	shape continued	286	circle
1470155321641: 	shape continued	288	circle
1470155321649: 	shape continued	290	circle
1470155321659: 	shape continued	291	circle
1470155321666: 	shape continued	293	circle
1470155321674: 	shape continued	295	circle
1470155321683: 	shape continued	297	circle
1470155321691: 	shape continued	298	circle
1470155321699: 	shape continued	300	circle
1470155321708: 	shape continued	301	circle
1470155321716: 	shape continued	304	circle
1470155321724: 	shape continued	305	circle
1470155321733: 	shape continued	307	circle
1470155321741: 	shape continued	309	circle
1470155321750: 	shape continued	311	circle
1470155321758: 	shape continued	313	circle
1470155321766: 	shape continued	314	circle
1470155321775: 	shape continued	316	circle
1470155321783: 	shape continued	318	circle
1470155321791: 	shape continued	319	circle
1470155321800: 	shape continued	321	circle
1470155321808: 	shape continued	323	circle
1470155321816: 	shape continued	324	circle
1470155321825: 	shape continued	326	circle
1470155321834: 	shape continued	327	circle
1470155321843: 	shape continued	328	circle
1470155321850: 	shape continued	329	circle
1470155321858: 	shape continued	330	circle
1470155321875: 	shape continued	331	circle
1470155321883: 	shape continued	332	circle
1470155321891: 	shape continued	333	circle
1470155321908: 	shape continued	334	circle
1470155321916: 	shape continued	335	circle
1470155321934: 	shape continued	336	circle
1470155321950: 	shape continued	337	circle
1470155321967: 	shape continued	338	circle
1470155322042: 	shape continued	339	circle
1470155324103: 	acted on	innerText
1470155324191: 	sub-instrument	stop	shapes	false
1470155324192: 	deactivate	shapes
