1470156412439: 	acted on	sample
1470156413009: 	acted on	sample
1470156413912: 	acted on	sample
1470156434531: 	acted on	innerText
1470156434610: 	sub-instrument	start	shapes	true
1470156434626: 	activate	shapes
1470156435129: 	acted on	circle
1470156435172: 	sub-instrument	circle	shapes	true
1470156437800: 	shape started	{"x":1039,"y":126}
1470156437803: 	shape continued	10	circle
1470156437857: 	shape continued	10	circle
1470156437864: 	shape continued	10	circle
1470156437872: 	shape continued	10	circle
1470156437881: 	shape continued	10	circle
1470156437891: 	shape continued	10	circle
1470156437898: 	shape continued	10	circle
1470156437907: 	shape continued	12	circle
1470156437914: 	shape continued	19	circle
1470156437923: 	shape continued	25	circle
1470156437931: 	shape continued	33	circle
1470156437940: 	shape continued	39	circle
1470156437948: 	shape continued	46	circle
1470156437956: 	shape continued	53	circle
1470156437964: 	shape continued	59	circle
1470156437973: 	shape continued	65	circle
1470156437982: 	shape continued	72	circle
1470156437989: 	shape continued	79	circle
1470156437999: 	shape continued	86	circle
1470156438007: 	shape continued	93	circle
1470156438014: 	shape continued	101	circle
1470156438023: 	shape continued	107	circle
1470156438032: 	shape continued	115	circle
1470156438039: 	shape continued	122	circle
1470156438048: 	shape continued	128	circle
1470156438056: 	shape continued	135	circle
1470156438064: 	shape continued	142	circle
1470156438073: 	shape continued	148	circle
1470156438082: 	shape continued	154	circle
1470156438090: 	shape continued	161	circle
1470156438097: 	shape continued	167	circle
1470156438107: 	shape continued	173	circle
1470156438114: 	shape continued	179	circle
1470156438123: 	shape continued	185	circle
1470156438132: 	shape continued	191	circle
1470156438139: 	shape continued	197	circle
1470156438148: 	shape continued	203	circle
1470156438156: 	shape continued	209	circle
1470156438167: 	shape continued	215	circle
1470156438172: 	shape continued	220	circle
1470156438182: 	shape continued	226	circle
1470156438189: 	shape continued	231	circle
1470156438197: 	shape continued	234	circle
1470156438207: 	shape continued	238	circle
1470156438215: 	shape continued	242	circle
1470156438224: 	shape continued	246	circle
1470156438231: 	shape continued	250	circle
1470156438239: 	shape continued	253	circle
1470156438247: 	shape continued	257	circle
1470156438257: 	shape continued	261	circle
1470156438264: 	shape continued	264	circle
1470156438272: 	shape continued	268	circle
1470156438281: 	shape continued	271	circle
1470156438289: 	shape continued	275	circle
1470156438297: 	shape continued	278	circle
1470156438306: 	shape continued	281	circle
1470156438314: 	shape continued	284	circle
1470156438322: 	shape continued	287	circle
1470156438331: 	shape continued	290	circle
1470156438340: 	shape continued	292	circle
1470156438347: 	shape continued	295	circle
1470156438357: 	shape continued	296	circle
1470156438364: 	shape continued	298	circle
1470156438373: 	shape continued	300	circle
1470156438381: 	shape continued	302	circle
1470156438389: 	shape continued	304	circle
1470156438397: 	shape continued	305	circle
1470156438407: 	shape continued	306	circle
1470156438414: 	shape continued	308	circle
1470156438433: 	shape continued	309	circle
1470156438439: 	shape continued	310	circle
1470156438447: 	shape continued	311	circle
1470156438457: 	shape continued	313	circle
1470156438464: 	shape continued	314	circle
1470156438473: 	shape continued	315	circle
1470156438481: 	shape continued	316	circle
1470156438489: 	shape continued	318	circle
1470156438497: 	shape continued	319	circle
1470156438506: 	shape continued	320	circle
1470156438514: 	shape continued	321	circle
1470156438522: 	shape continued	322	circle
1470156438532: 	shape continued	324	circle
1470156438539: 	shape continued	325	circle
1470156438547: 	shape continued	327	circle
1470156438557: 	shape continued	328	circle
1470156438564: 	shape continued	330	circle
1470156438572: 	shape continued	331	circle
1470156438582: 	shape continued	333	circle
1470156438589: 	shape continued	335	circle
1470156438597: 	shape continued	336	circle
1470156438608: 	shape continued	339	circle
1470156438614: 	shape continued	340	circle
1470156438622: 	shape continued	342	circle
1470156438632: 	shape continued	344	circle
1470156438639: 	shape continued	346	circle
1470156438647: 	shape continued	348	circle
1470156438657: 	shape continued	350	circle
1470156438664: 	shape continued	352	circle
1470156438672: 	shape continued	353	circle
1470156438681: 	shape continued	356	circle
1470156438689: 	shape continued	358	circle
