1470156560305: 	acted on	innerText
1470156560449: 	sub-instrument	start	draw	true
1470156580630: 	draw	content	{"x":1054,"y":225}
1470156580640: 	draw	content	{"x":1053,"y":228}
1470156580646: 	draw	content	{"x":1051,"y":230}
1470156580655: 	draw	content	{"x":1050,"y":232}
1470156580665: 	draw	content	{"x":1048,"y":235}
1470156580672: 	draw	content	{"x":1046,"y":238}
1470156580680: 	draw	content	{"x":1045,"y":240}
1470156580689: 	draw	content	{"x":1044,"y":242}
1470156580696: 	draw	content	{"x":1043,"y":245}
1470156580706: 	draw	content	{"x":1042,"y":247}
1470156580714: 	draw	content	{"x":1042,"y":249}
1470156580722: 	draw	content	{"x":1042,"y":252}
1470156580730: 	draw	content	{"x":1042,"y":254}
1470156580738: 	draw	content	{"x":1044,"y":257}
1470156582299: 	draw	content	{"x":276,"y":361}
1470156582373: 	draw	content	{"x":289,"y":369}
1470156582381: 	draw	content	{"x":291,"y":371}
1470156582389: 	draw	content	{"x":294,"y":373}
1470156582396: 	draw	content	{"x":296,"y":375}
1470156582405: 	draw	content	{"x":298,"y":377}
1470156582414: 	draw	content	{"x":300,"y":379}
1470156582423: 	draw	content	{"x":302,"y":381}
1470156582431: 	draw	content	{"x":304,"y":383}
1470156582440: 	draw	content	{"x":305,"y":385}
1470156582448: 	draw	content	{"x":306,"y":386}
1470156582456: 	draw	content	{"x":307,"y":388}
1470156582464: 	draw	content	{"x":307,"y":390}
1470156582472: 	draw	content	{"x":307,"y":391}
1470156582480: 	draw	content	{"x":305,"y":394}
1470156582489: 	draw	content	{"x":303,"y":397}
1470156582496: 	draw	content	{"x":299,"y":400}
1470156582505: 	draw	content	{"x":295,"y":402}
1470156582513: 	draw	content	{"x":292,"y":404}
1470156582523: 	draw	content	{"x":290,"y":404}
1470156582530: 	draw	content	{"x":287,"y":406}
1470156582541: 	draw	content	{"x":285,"y":407}
1470156582547: 	draw	content	{"x":282,"y":409}
1470156582555: 	draw	content	{"x":280,"y":410}
1470156582563: 	draw	content	{"x":277,"y":413}
1470156582572: 	draw	content	{"x":274,"y":415}
1470156582580: 	draw	content	{"x":272,"y":416}
1470156582588: 	draw	content	{"x":270,"y":417}
1470156582596: 	draw	content	{"x":267,"y":419}
1470156582605: 	draw	content	{"x":266,"y":420}
1470156583528: 	draw	content	{"x":755,"y":384}
1470156583581: 	draw	content	{"x":773,"y":386}
1470156583588: 	draw	content	{"x":778,"y":386}
1470156583598: 	draw	content	{"x":783,"y":387}
1470156583605: 	draw	content	{"x":788,"y":389}
1470156583614: 	draw	content	{"x":792,"y":390}
1470156583624: 	draw	content	{"x":796,"y":392}
1470156583631: 	draw	content	{"x":799,"y":394}
1470156583639: 	draw	content	{"x":802,"y":396}
1470156583647: 	draw	content	{"x":804,"y":398}
1470156583656: 	draw	content	{"x":805,"y":399}
1470156583663: 	draw	content	{"x":807,"y":402}
1470156583672: 	draw	content	{"x":808,"y":404}
1470156583680: 	draw	content	{"x":809,"y":407}
1470156583688: 	draw	content	{"x":810,"y":410}
1470156583696: 	draw	content	{"x":810,"y":413}
