1470155281638: 	acted on	innerText
1470155281760: 	sub-instrument	start	draw	true
1470155281761: 	activate	draw
1470155282506: 	draw	image-5	{"x":33,"y":82}
1470155282584: 	draw	image-5	{"x":48,"y":90}
1470155282592: 	draw	image-5	{"x":50,"y":90}
1470155282600: 	draw	image-5	{"x":53,"y":89}
1470155282609: 	draw	image-5	{"x":55,"y":88}
1470155282617: 	draw	image-5	{"x":57,"y":87}
1470155282624: 	draw	image-5	{"x":58,"y":86}
1470155282633: 	draw	image-5	{"x":59,"y":84}
1470155282641: 	draw	image-5	{"x":60,"y":83}
1470155282648: 	draw	image-5	{"x":61,"y":80}
1470155282658: 	draw	image-5	{"x":60,"y":78}
1470155282667: 	draw	image-5	{"x":59,"y":75}
1470155282674: 	draw	image-5	{"x":58,"y":73}
1470155282684: 	draw	image-5	{"x":55,"y":71}
1470155282691: 	draw	image-5	{"x":53,"y":69}
1470155282699: 	draw	image-5	{"x":51,"y":68}
1470155282708: 	draw	image-5	{"x":48,"y":67}
1470155282716: 	draw	image-5	{"x":46,"y":66}
1470155282724: 	draw	image-5	{"x":42,"y":66}
1470155282733: 	draw	image-5	{"x":40,"y":66}
1470155282740: 	draw	image-5	{"x":37,"y":67}
1470155282749: 	draw	image-5	{"x":35,"y":68}
1470155282758: 	draw	image-5	{"x":34,"y":68}
1470155282767: 	draw	image-5	{"x":33,"y":69}
1470155282774: 	draw	image-5	{"x":32,"y":69}
1470155282785: 	draw	image-5	{"x":31,"y":70}
1470155282791: 	draw	image-5	{"x":30,"y":71}
1470155282799: 	draw	image-5	{"x":30,"y":72}
1470155282808: 	draw	image-5	{"x":29,"y":75}
1470155282816: 	draw	image-5	{"x":29,"y":76}
1470155282824: 	draw	image-5	{"x":30,"y":78}
1470155282833: 	draw	image-5	{"x":31,"y":81}
1470155282841: 	draw	image-5	{"x":32,"y":82}
1470155282850: 	draw	image-5	{"x":35,"y":84}
1470155282858: 	draw	image-5	{"x":37,"y":86}
1470155282865: 	draw	image-5	{"x":39,"y":86}
1470155282875: 	draw	image-5	{"x":41,"y":87}
1470155282883: 	draw	image-5	{"x":43,"y":87}
1470155282891: 	draw	image-5	{"x":45,"y":87}
1470155282899: 	draw	image-5	{"x":46,"y":86}
1470155282908: 	draw	image-5	{"x":48,"y":84}
1470155282915: 	draw	image-5	{"x":49,"y":81}
1470155282924: 	draw	image-5	{"x":50,"y":78}
1470155282932: 	draw	image-5	{"x":50,"y":74}
1470155282940: 	draw	image-5	{"x":49,"y":71}
1470155282950: 	draw	image-5	{"x":49,"y":68}
1470155282958: 	draw	image-5	{"x":48,"y":64}
1470155282966: 	draw	image-5	{"x":47,"y":62}
1470155282975: 	draw	image-5	{"x":46,"y":60}
1470155282982: 	draw	image-5	{"x":45,"y":58}
1470155282990: 	draw	image-5	{"x":44,"y":58}
1470155283000: 	draw	image-5	{"x":42,"y":58}
1470155283007: 	draw	image-5	{"x":40,"y":58}
1470155283016: 	draw	image-5	{"x":38,"y":59}
1470155283026: 	draw	image-5	{"x":33,"y":63}
1470155283032: 	draw	image-5	{"x":31,"y":67}
1470155283040: 	draw	image-5	{"x":30,"y":69}
1470155283050: 	draw	image-5	{"x":29,"y":73}
1470155283059: 	draw	image-5	{"x":28,"y":76}
1470155283065: 	draw	image-5	{"x":28,"y":79}
