1470135183247: 	acted on	innerText
1470135183349: 	sub-instrument	start	mover	true
1470135185746: 	action	mover	image-51	{"x":478,"y":436}
1470135185747: 	moved	image-51	to	{"x":478,"y":436}
1470135185755: 	action	mover	image-51	{"x":480,"y":437}
1470135185756: 	moved	image-51	to	{"x":480,"y":437}
1470135185764: 	action	mover	image-51	{"x":483,"y":439}
1470135185765: 	moved	image-51	to	{"x":483,"y":439}
1470135185772: 	action	mover	image-51	{"x":485,"y":440}
1470135185780: 	action	mover	image-51	{"x":487,"y":441}
1470135185781: 	moved	image-51	to	{"x":487,"y":441}
1470135185788: 	action	mover	image-51	{"x":489,"y":442}
1470135185789: 	moved	image-51	to	{"x":489,"y":442}
1470135185796: 	action	mover	image-51	{"x":489,"y":443}
1470135185797: 	moved	image-51	to	{"x":489,"y":443}
1470135185805: 	action	mover	image-51	{"x":491,"y":444}
1470135185806: 	moved	image-51	to	{"x":491,"y":444}
1470135185822: 	action	mover	image-51	{"x":492,"y":444}
1470135185830: 	action	mover	image-51	{"x":492,"y":445}
1470135185831: 	moved	image-51	to	{"x":492,"y":445}
1470135185838: 	action	mover	image-51	{"x":494,"y":446}
1470135185839: 	moved	image-51	to	{"x":494,"y":446}
1470135185847: 	action	mover	image-51	{"x":495,"y":448}
1470135185856: 	action	mover	image-51	{"x":495,"y":450}
1470135185863: 	action	mover	image-51	{"x":496,"y":452}
1470135185864: 	moved	image-51	to	{"x":496,"y":452}
1470135185872: 	action	mover	image-51	{"x":495,"y":453}
1470135185873: 	moved	image-51	to	{"x":495,"y":453}
1470135186539: 	acted on	image-21
1470135186541: 	action	mover	image-21	{"x":162,"y":146}
1470135186542: 	start moving	image-21	from	{"x":121,"y":131}
1470135186606: 	action	mover	image-21	{"x":179,"y":148}
1470135186607: 	moved	image-21	to	{"x":179,"y":148}
1470135186613: 	action	mover	image-21	{"x":182,"y":148}
1470135186614: 	moved	image-21	to	{"x":182,"y":148}
1470135186622: 	action	mover	image-21	{"x":186,"y":148}
1470135186623: 	moved	image-21	to	{"x":186,"y":148}
1470135186631: 	action	mover	image-21	{"x":189,"y":149}
1470135186638: 	action	mover	image-21	{"x":194,"y":149}
1470135186639: 	moved	image-21	to	{"x":194,"y":149}
1470135186647: 	action	mover	image-21	{"x":198,"y":149}
1470135186656: 	action	mover	image-21	{"x":201,"y":149}
1470135186663: 	action	mover	image-21	{"x":204,"y":150}
1470135186664: 	moved	image-21	to	{"x":204,"y":150}
1470135186672: 	action	mover	image-21	{"x":207,"y":150}
1470135186673: 	moved	image-21	to	{"x":207,"y":150}
1470135186680: 	action	mover	image-21	{"x":212,"y":151}
1470135186681: 	moved	image-21	to	{"x":212,"y":151}
1470135186689: 	action	mover	image-21	{"x":216,"y":151}
1470135186697: 	action	mover	image-21	{"x":220,"y":152}
1470135186706: 	action	mover	image-21	{"x":223,"y":152}
1470135186713: 	action	mover	image-21	{"x":227,"y":152}
1470135186714: 	moved	image-21	to	{"x":227,"y":152}
1470135186722: 	action	mover	image-21	{"x":229,"y":153}
1470135186730: 	action	mover	image-21	{"x":234,"y":153}
1470135186731: 	moved	image-21	to	{"x":234,"y":153}
1470135186738: 	action	mover	image-21	{"x":237,"y":153}
1470135186739: 	moved	image-21	to	{"x":237,"y":153}
1470135186747: 	action	mover	image-21	{"x":242,"y":154}
1470135186748: 	moved	image-21	to	{"x":242,"y":154}
1470135186758: 	action	mover	image-21	{"x":244,"y":155}
1470135186764: 	action	mover	image-21	{"x":248,"y":156}
1470135186766: 	moved	image-21	to	{"x":248,"y":156}
1470135186772: 	action	mover	image-21	{"x":253,"y":157}
1470135186773: 	moved	image-21	to	{"x":253,"y":157}
1470135186780: 	action	mover	image-21	{"x":256,"y":157}
1470135186781: 	moved	image-21	to	{"x":256,"y":157}
1470135186789: 	action	mover	image-21	{"x":260,"y":158}
1470135186790: 	moved	image-21	to	{"x":260,"y":158}
1470135186797: 	action	mover	image-21	{"x":264,"y":158}
1470135186805: 	action	mover	image-21	{"x":268,"y":158}
1470135186806: 	moved	image-21	to	{"x":268,"y":158}
1470135186813: 	action	mover	image-21	{"x":271,"y":159}
1470135186814: 	moved	image-21	to	{"x":271,"y":159}
1470135186822: 	action	mover	image-21	{"x":275,"y":159}
1470135186831: 	action	mover	image-21	{"x":279,"y":160}
1470135186832: 	moved	image-21	to	{"x":279,"y":160}
1470135186838: 	action	mover	image-21	{"x":283,"y":161}
1470135186839: 	moved	image-21	to	{"x":283,"y":161}
1470135186847: 	action	mover	image-21	{"x":287,"y":162}
1470135186848: 	moved	image-21	to	{"x":287,"y":162}
1470135186855: 	action	mover	image-21	{"x":291,"y":163}
1470135186856: 	moved	image-21	to	{"x":291,"y":163}
1470135186863: 	action	mover	image-21	{"x":295,"y":164}
1470135186864: 	moved	image-21	to	{"x":295,"y":164}
1470135186872: 	action	mover	image-21	{"x":299,"y":165}
1470135186881: 	action	mover	image-21	{"x":303,"y":166}
1470135186882: 	moved	image-21	to	{"x":303,"y":166}
1470135186889: 	action	mover	image-21	{"x":308,"y":167}
1470135186890: 	moved	image-21	to	{"x":308,"y":167}
1470135186897: 	action	mover	image-21	{"x":312,"y":168}
1470135186898: 	moved	image-21	to	{"x":312,"y":168}
1470135186906: 	action	mover	image-21	{"x":315,"y":169}
1470135186914: 	action	mover	image-21	{"x":319,"y":169}
1470135186922: 	action	mover	image-21	{"x":324,"y":170}
1470135186934: 	action	mover	image-21	{"x":329,"y":171}
1470135186945: 	action	mover	image-21	{"x":333,"y":171}
1470135186946: 	moved	image-21	to	{"x":333,"y":171}
1470135186950: 	action	mover	image-21	{"x":338,"y":172}
1470135186956: 	action	mover	image-21	{"x":342,"y":172}
1470135186964: 	action	mover	image-21	{"x":346,"y":173}
1470135186965: 	moved	image-21	to	{"x":346,"y":173}
1470135186972: 	action	mover	image-21	{"x":350,"y":174}
1470135186973: 	moved	image-21	to	{"x":350,"y":174}
1470135186981: 	action	mover	image-21	{"x":355,"y":175}
1470135186989: 	action	mover	image-21	{"x":360,"y":176}
1470135186997: 	action	mover	image-21	{"x":363,"y":177}
1470135186998: 	moved	image-21	to	{"x":363,"y":177}
1470135187006: 	action	mover	image-21	{"x":368,"y":178}
1470135187007: 	moved	image-21	to	{"x":368,"y":178}
1470135187014: 	action	mover	image-21	{"x":371,"y":179}
1470135187015: 	moved	image-21	to	{"x":371,"y":179}
1470135187022: 	action	mover	image-21	{"x":375,"y":180}
1470135187023: 	moved	image-21	to	{"x":375,"y":180}
1470135187031: 	action	mover	image-21	{"x":379,"y":180}
1470135187039: 	action	mover	image-21	{"x":382,"y":181}
1470135187040: 	moved	image-21	to	{"x":382,"y":181}
1470135187047: 	action	mover	image-21	{"x":386,"y":182}
1470135187048: 	moved	image-21	to	{"x":386,"y":182}
1470135187056: 	action	mover	image-21	{"x":388,"y":183}
1470135187064: 	action	mover	image-21	{"x":392,"y":184}
1470135187072: 	action	mover	image-21	{"x":395,"y":185}
1470135187081: 	action	mover	image-21	{"x":397,"y":186}
1470135187089: 	action	mover	image-21	{"x":400,"y":186}
1470135187090: 	moved	image-21	to	{"x":400,"y":186}
1470135187097: 	action	mover	image-21	{"x":402,"y":187}
1470135187106: 	action	mover	image-21	{"x":404,"y":188}
1470135187113: 	action	mover	image-21	{"x":406,"y":188}
1470135187114: 	moved	image-21	to	{"x":406,"y":188}
1470135187122: 	action	mover	image-21	{"x":408,"y":189}
1470135187131: 	action	mover	image-21	{"x":409,"y":189}
1470135187132: 	moved	image-21	to	{"x":409,"y":189}
1470135187139: 	action	mover	image-21	{"x":410,"y":189}
1470135187140: 	moved	image-21	to	{"x":410,"y":189}
1470135187147: 	action	mover	image-21	{"x":411,"y":190}
1470135187148: 	moved	image-21	to	{"x":411,"y":190}
1470135187156: 	action	mover	image-21	{"x":412,"y":190}
1470135187157: 	moved	image-21	to	{"x":412,"y":190}
1470135187182: 	action	mover	image-21	{"x":413,"y":191}
1470135187183: 	moved	image-21	to	{"x":413,"y":191}
1470135187207: 	action	mover	image-21	{"x":414,"y":191}
1470135187223: 	action	mover	image-21	{"x":414,"y":192}
1470135187224: 	moved	image-21	to	{"x":414,"y":192}
1470135187281: 	action	mover	image-21	{"x":413,"y":193}
1470135187282: 	moved	image-21	to	{"x":413,"y":193}
1470135187447: 	action	mover	image-21	{"x":413,"y":194}
1470135187448: 	moved	image-21	to	{"x":413,"y":194}
1470135188039: 	acted on	image-56
1470135188041: 	action	mover	image-56	{"x":636,"y":136}
1470135188042: 	start moving	image-56	from	{"x":110,"y":105}
1470135188122: 	action	mover	image-56	{"x":647,"y":150}
1470135188123: 	moved	image-56	to	{"x":647,"y":150}
1470135188130: 	action	mover	image-56	{"x":650,"y":153}
1470135188131: 	moved	image-56	to	{"x":650,"y":153}
1470135188138: 	action	mover	image-56	{"x":653,"y":155}
1470135188139: 	moved	image-56	to	{"x":653,"y":155}
1470135188146: 	action	mover	image-56	{"x":656,"y":158}
1470135188147: 	moved	image-56	to	{"x":656,"y":158}
1470135188155: 	action	mover	image-56	{"x":659,"y":160}
1470135188156: 	moved	image-56	to	{"x":659,"y":160}
1470135188163: 	action	mover	image-56	{"x":662,"y":163}
1470135188164: 	moved	image-56	to	{"x":662,"y":163}
1470135188171: 	action	mover	image-56	{"x":665,"y":166}
1470135188172: 	moved	image-56	to	{"x":665,"y":166}
1470135188181: 	action	mover	image-56	{"x":667,"y":168}
1470135188182: 	moved	image-56	to	{"x":667,"y":168}
1470135188188: 	action	mover	image-56	{"x":670,"y":171}
1470135188189: 	moved	image-56	to	{"x":670,"y":171}
1470135188196: 	action	mover	image-56	{"x":674,"y":174}
1470135188197: 	moved	image-56	to	{"x":674,"y":174}
1470135188205: 	action	mover	image-56	{"x":677,"y":176}
1470135188206: 	moved	image-56	to	{"x":677,"y":176}
1470135188214: 	action	mover	image-56	{"x":680,"y":179}
1470135188215: 	moved	image-56	to	{"x":680,"y":179}
1470135188221: 	action	mover	image-56	{"x":684,"y":181}
1470135188222: 	moved	image-56	to	{"x":684,"y":181}
1470135188230: 	action	mover	image-56	{"x":688,"y":183}
1470135188231: 	moved	image-56	to	{"x":688,"y":183}
1470135188238: 	action	mover	image-56	{"x":692,"y":186}
1470135188239: 	moved	image-56	to	{"x":692,"y":186}
1470135188246: 	action	mover	image-56	{"x":696,"y":189}
1470135188247: 	moved	image-56	to	{"x":696,"y":189}
1470135188256: 	action	mover	image-56	{"x":700,"y":192}
1470135188257: 	moved	image-56	to	{"x":700,"y":192}
1470135188263: 	action	mover	image-56	{"x":704,"y":196}
1470135188264: 	moved	image-56	to	{"x":704,"y":196}
1470135188271: 	action	mover	image-56	{"x":707,"y":197}
1470135188272: 	moved	image-56	to	{"x":707,"y":197}
1470135188280: 	action	mover	image-56	{"x":711,"y":200}
1470135188281: 	moved	image-56	to	{"x":711,"y":200}
1470135188289: 	action	mover	image-56	{"x":714,"y":203}
1470135188296: 	action	mover	image-56	{"x":718,"y":205}
1470135188297: 	moved	image-56	to	{"x":718,"y":205}
1470135188305: 	action	mover	image-56	{"x":722,"y":209}
1470135188306: 	moved	image-56	to	{"x":722,"y":209}
1470135188313: 	action	mover	image-56	{"x":726,"y":211}
1470135188314: 	moved	image-56	to	{"x":726,"y":211}
1470135188321: 	action	mover	image-56	{"x":729,"y":213}
1470135188322: 	moved	image-56	to	{"x":729,"y":213}
1470135188330: 	action	mover	image-56	{"x":733,"y":216}
1470135188331: 	moved	image-56	to	{"x":733,"y":216}
1470135188338: 	action	mover	image-56	{"x":737,"y":218}
1470135188339: 	moved	image-56	to	{"x":737,"y":218}
1470135188347: 	action	mover	image-56	{"x":741,"y":220}
1470135188356: 	action	mover	image-56	{"x":745,"y":221}
1470135188357: 	moved	image-56	to	{"x":745,"y":221}
1470135188363: 	action	mover	image-56	{"x":749,"y":222}
1470135188364: 	moved	image-56	to	{"x":749,"y":222}
1470135188371: 	action	mover	image-56	{"x":753,"y":224}
1470135188372: 	moved	image-56	to	{"x":753,"y":224}
1470135188380: 	action	mover	image-56	{"x":757,"y":225}
1470135188381: 	moved	image-56	to	{"x":757,"y":225}
1470135188388: 	action	mover	image-56	{"x":760,"y":226}
1470135188389: 	moved	image-56	to	{"x":760,"y":226}
1470135188396: 	action	mover	image-56	{"x":763,"y":226}
1470135188397: 	moved	image-56	to	{"x":763,"y":226}
1470135188409: 	action	mover	image-56	{"x":766,"y":227}
1470135188410: 	moved	image-56	to	{"x":766,"y":227}
1470135188422: 	action	mover	image-56	{"x":773,"y":228}
1470135188423: 	moved	image-56	to	{"x":773,"y":228}
1470135188430: 	action	mover	image-56	{"x":776,"y":229}
1470135188431: 	moved	image-56	to	{"x":776,"y":229}
1470135188440: 	action	mover	image-56	{"x":779,"y":229}
1470135188446: 	action	mover	image-56	{"x":782,"y":229}
1470135188447: 	moved	image-56	to	{"x":782,"y":229}
1470135188456: 	action	mover	image-56	{"x":785,"y":229}
1470135188464: 	action	mover	image-56	{"x":788,"y":229}
1470135188472: 	action	mover	image-56	{"x":790,"y":229}
1470135188473: 	moved	image-56	to	{"x":790,"y":229}
1470135188480: 	action	mover	image-56	{"x":792,"y":229}
1470135188481: 	moved	image-56	to	{"x":792,"y":229}
1470135188489: 	action	mover	image-56	{"x":794,"y":229}
1470135188496: 	action	mover	image-56	{"x":795,"y":229}
1470135188497: 	moved	image-56	to	{"x":795,"y":229}
1470135188506: 	action	mover	image-56	{"x":796,"y":228}
1470135188507: 	moved	image-56	to	{"x":796,"y":228}
1470135188513: 	action	mover	image-56	{"x":798,"y":228}
1470135188514: 	moved	image-56	to	{"x":798,"y":228}
1470135188521: 	action	mover	image-56	{"x":800,"y":227}
1470135188522: 	moved	image-56	to	{"x":800,"y":227}
1470135188530: 	action	mover	image-56	{"x":801,"y":227}
1470135188531: 	moved	image-56	to	{"x":801,"y":227}
1470135188538: 	action	mover	image-56	{"x":803,"y":226}
1470135188539: 	moved	image-56	to	{"x":803,"y":226}
1470135188546: 	action	mover	image-56	{"x":807,"y":224}
1470135188547: 	moved	image-56	to	{"x":807,"y":224}
1470135188555: 	action	mover	image-56	{"x":810,"y":222}
1470135188556: 	moved	image-56	to	{"x":810,"y":222}
1470135188563: 	action	mover	image-56	{"x":813,"y":221}
1470135188564: 	moved	image-56	to	{"x":813,"y":221}
1470135188571: 	action	mover	image-56	{"x":816,"y":218}
1470135188572: 	moved	image-56	to	{"x":816,"y":218}
1470135188580: 	action	mover	image-56	{"x":819,"y":214}
1470135188581: 	moved	image-56	to	{"x":819,"y":214}
1470135188589: 	action	mover	image-56	{"x":821,"y":212}
1470135188590: 	moved	image-56	to	{"x":821,"y":212}
1470135188596: 	action	mover	image-56	{"x":824,"y":209}
1470135188597: 	moved	image-56	to	{"x":824,"y":209}
1470135188606: 	action	mover	image-56	{"x":825,"y":208}
1470135188613: 	action	mover	image-56	{"x":827,"y":206}
1470135188614: 	moved	image-56	to	{"x":827,"y":206}
1470135188622: 	action	mover	image-56	{"x":829,"y":205}
1470135188630: 	action	mover	image-56	{"x":831,"y":202}
1470135188631: 	moved	image-56	to	{"x":831,"y":202}
1470135188638: 	action	mover	image-56	{"x":832,"y":201}
1470135188639: 	moved	image-56	to	{"x":832,"y":201}
1470135188647: 	action	mover	image-56	{"x":834,"y":198}
1470135188655: 	action	mover	image-56	{"x":836,"y":196}
1470135188656: 	moved	image-56	to	{"x":836,"y":196}
1470135188663: 	action	mover	image-56	{"x":838,"y":194}
1470135188671: 	action	mover	image-56	{"x":840,"y":192}
1470135188672: 	moved	image-56	to	{"x":840,"y":192}
1470135188680: 	action	mover	image-56	{"x":842,"y":190}
1470135188681: 	moved	image-56	to	{"x":842,"y":190}
1470135188688: 	action	mover	image-56	{"x":843,"y":189}
1470135188689: 	moved	image-56	to	{"x":843,"y":189}
1470135188696: 	action	mover	image-56	{"x":844,"y":187}
1470135188706: 	action	mover	image-56	{"x":846,"y":186}
1470135188707: 	moved	image-56	to	{"x":846,"y":186}
1470135188713: 	action	mover	image-56	{"x":846,"y":185}
1470135188714: 	moved	image-56	to	{"x":846,"y":185}
1470135188721: 	action	mover	image-56	{"x":847,"y":184}
1470135188722: 	moved	image-56	to	{"x":847,"y":184}
1470135188730: 	action	mover	image-56	{"x":848,"y":183}
1470135188731: 	moved	image-56	to	{"x":848,"y":183}
1470135188738: 	action	mover	image-56	{"x":849,"y":181}
1470135188739: 	moved	image-56	to	{"x":849,"y":181}
1470135188746: 	action	mover	image-56	{"x":850,"y":180}
1470135188747: 	moved	image-56	to	{"x":850,"y":180}
1470135188756: 	action	mover	image-56	{"x":851,"y":179}
1470135188757: 	moved	image-56	to	{"x":851,"y":179}
1470135188763: 	action	mover	image-56	{"x":852,"y":178}
1470135188764: 	moved	image-56	to	{"x":852,"y":178}
1470135188771: 	action	mover	image-56	{"x":853,"y":177}
1470135188772: 	moved	image-56	to	{"x":853,"y":177}
1470135188780: 	action	mover	image-56	{"x":853,"y":176}
