1470135185573	2016-08-02 12-53-05.573	moved	image-51	to	{"x":416,"y":414}
1470135185581	2016-08-02 12-53-05.581	action	mover	image-51	{"x":419,"y":415}
1470135185582	2016-08-02 12-53-05.582	moved	image-51	to	{"x":419,"y":415}
1470135185589	2016-08-02 12-53-05.589	action	mover	image-51	{"x":423,"y":415}
1470135185597	2016-08-02 12-53-05.597	action	mover	image-51	{"x":427,"y":416}
1470135185605	2016-08-02 12-53-05.605	action	mover	image-51	{"x":429,"y":416}
1470135185606	2016-08-02 12-53-05.606	moved	image-51	to	{"x":429,"y":416}
1470135185613	2016-08-02 12-53-05.613	action	mover	image-51	{"x":432,"y":417}
1470135185614	2016-08-02 12-53-05.614	moved	image-51	to	{"x":432,"y":417}
1470135185622	2016-08-02 12-53-05.622	action	mover	image-51	{"x":435,"y":417}
1470135185623	2016-08-02 12-53-05.623	moved	image-51	to	{"x":435,"y":417}
1470135185630	2016-08-02 12-53-05.630	action	mover	image-51	{"x":439,"y":418}
1470135185631	2016-08-02 12-53-05.631	moved	image-51	to	{"x":439,"y":418}
1470135185640	2016-08-02 12-53-05.640	action	mover	image-51	{"x":442,"y":419}
1470135185641	2016-08-02 12-53-05.641	moved	image-51	to	{"x":442,"y":419}
1470135185647	2016-08-02 12-53-05.647	action	mover	image-51	{"x":444,"y":421}
1470135185655	2016-08-02 12-53-05.655	action	mover	image-51	{"x":447,"y":422}
1470135185656	2016-08-02 12-53-05.656	moved	image-51	to	{"x":447,"y":422}
1470135185664	2016-08-02 12-53-05.664	action	mover	image-51	{"x":449,"y":424}
1470135185672	2016-08-02 12-53-05.672	action	mover	image-51	{"x":452,"y":425}
1470135185673	2016-08-02 12-53-05.673	moved	image-51	to	{"x":452,"y":425}
1470135185680	2016-08-02 12-53-05.680	action	mover	image-51	{"x":455,"y":427}
1470135185681	2016-08-02 12-53-05.681	moved	image-51	to	{"x":455,"y":427}
1470135185688	2016-08-02 12-53-05.688	action	mover	image-51	{"x":458,"y":428}
1470135185689	2016-08-02 12-53-05.689	moved	image-51	to	{"x":458,"y":428}
1470135185697	2016-08-02 12-53-05.697	action	mover	image-51	{"x":460,"y":429}
1470135185698	2016-08-02 12-53-05.698	moved	image-51	to	{"x":460,"y":429}
1470135185706	2016-08-02 12-53-05.706	action	mover	image-51	{"x":462,"y":430}
1470135185713	2016-08-02 12-53-05.713	action	mover	image-51	{"x":465,"y":431}
1470135185714	2016-08-02 12-53-05.714	moved	image-51	to	{"x":465,"y":431}
1470135185722	2016-08-02 12-53-05.722	action	mover	image-51	{"x":468,"y":433}
1470135185731	2016-08-02 12-53-05.731	action	mover	image-51	{"x":471,"y":434}
1470135185738	2016-08-02 12-53-05.738	action	mover	image-51	{"x":474,"y":435}
1470135185739	2016-08-02 12-53-05.739	moved	image-51	to	{"x":474,"y":435}
1470135185746	2016-08-02 12-53-05.746	action	mover	image-51	{"x":478,"y":436}
1470135185747	2016-08-02 12-53-05.747	moved	image-51	to	{"x":478,"y":436}
1470135185755	2016-08-02 12-53-05.755	action	mover	image-51	{"x":480,"y":437}
1470135185756	2016-08-02 12-53-05.756	moved	image-51	to	{"x":480,"y":437}
1470135185764	2016-08-02 12-53-05.764	action	mover	image-51	{"x":483,"y":439}
1470135185765	2016-08-02 12-53-05.765	moved	image-51	to	{"x":483,"y":439}
1470135185772	2016-08-02 12-53-05.772	action	mover	image-51	{"x":485,"y":440}
1470135185780	2016-08-02 12-53-05.780	action	mover	image-51	{"x":487,"y":441}
1470135185781	2016-08-02 12-53-05.781	moved	image-51	to	{"x":487,"y":441}
1470135185788	2016-08-02 12-53-05.788	action	mover	image-51	{"x":489,"y":442}
1470135185789	2016-08-02 12-53-05.789	moved	image-51	to	{"x":489,"y":442}
1470135185796	2016-08-02 12-53-05.796	action	mover	image-51	{"x":489,"y":443}
1470135185797	2016-08-02 12-53-05.797	moved	image-51	to	{"x":489,"y":443}
1470135185805	2016-08-02 12-53-05.805	action	mover	image-51	{"x":491,"y":444}
1470135185806	2016-08-02 12-53-05.806	moved	image-51	to	{"x":491,"y":444}
1470135185822	2016-08-02 12-53-05.822	action	mover	image-51	{"x":492,"y":444}
1470135185830	2016-08-02 12-53-05.830	action	mover	image-51	{"x":492,"y":445}
1470135185831	2016-08-02 12-53-05.831	moved	image-51	to	{"x":492,"y":445}
1470135185838	2016-08-02 12-53-05.838	action	mover	image-51	{"x":494,"y":446}
