1470054651107: 	action	draw	content	{"x":207,"y":529}
1470054651115: 	action	draw	content	{"x":209,"y":529}
1470054651122: 	action	draw	content	{"x":211,"y":529}
1470054651131: 	action	draw	content	{"x":212,"y":528}
1470054651139: 	action	draw	content	{"x":214,"y":528}
1470054651147: 	action	draw	content	{"x":216,"y":528}
1470054651157: 	action	draw	content	{"x":218,"y":528}
1470054651164: 	action	draw	content	{"x":219,"y":528}
1470054651173: 	action	draw	content	{"x":221,"y":528}
1470054651183: 	action	draw	content	{"x":223,"y":528}
1470054651190: 	action	draw	content	{"x":224,"y":528}
1470054651198: 	action	draw	content	{"x":226,"y":528}
1470054651208: 	action	draw	content	{"x":227,"y":528}
1470054651215: 	action	draw	content	{"x":229,"y":528}
1470054651223: 	action	draw	content	{"x":230,"y":528}
1470054651253: 	action	draw	content	{"x":231,"y":528}
1470054651258: 	action	draw	content	{"x":234,"y":528}
1470054651262: 	action	draw	content	{"x":236,"y":528}
1470054651268: 	action	draw	content	{"x":237,"y":528}
1470054651273: 	action	draw	content	{"x":239,"y":528}
1470054651282: 	action	draw	content	{"x":240,"y":528}
1470054651300: 	action	draw	content	{"x":242,"y":528}
1470054651304: 	action	draw	content	{"x":244,"y":528}
1470054651310: 	action	draw	content	{"x":245,"y":528}
1470054651317: 	action	draw	content	{"x":247,"y":528}
1470054651332: 	action	draw	content	{"x":249,"y":528}
1470054651340: 	action	draw	content	{"x":250,"y":528}
1470054651356: 	action	draw	content	{"x":252,"y":529}
1470054651362: 	action	draw	content	{"x":253,"y":529}
1470054651368: 	action	draw	content	{"x":254,"y":529}
1470054651376: 	action	draw	content	{"x":256,"y":529}
1470054651390: 	action	draw	content	{"x":257,"y":529}
1470054651395: 	action	draw	content	{"x":260,"y":529}
1470054651421: 	action	draw	content	{"x":261,"y":529}
1470054651429: 	action	draw	content	{"x":263,"y":529}
1470054651438: 	action	draw	content	{"x":265,"y":529}
1470054651453: 	action	draw	content	{"x":266,"y":529}
1470054651458: 	action	draw	content	{"x":267,"y":529}
1470054651467: 	action	draw	content	{"x":268,"y":529}
1470054651483: 	action	draw	content	{"x":269,"y":529}
1470054651499: 	action	draw	content	{"x":270,"y":529}
1470054651509: 	action	draw	content	{"x":271,"y":529}
1470054651516: 	action	draw	content	{"x":272,"y":529}
1470054651541: 	action	draw	content	{"x":273,"y":529}
1470054651574: 	action	draw	content	{"x":274,"y":529}
1470054651666: 	action	draw	content	{"x":275,"y":529}
1470054651733: 	action	draw	content	{"x":276,"y":529}
1470054659755: 	action	mover	image-56	{"x":199,"y":461}
1470054660409: 	action	mover	image-56	{"x":192,"y":474}
1470054660549: 	action	mover	image-56	{"x":192,"y":458}
1470054660556: 	action	mover	image-56	{"x":192,"y":456}
1470054660565: 	action	mover	image-56	{"x":192,"y":454}
1470054660573: 	action	mover	image-56	{"x":192,"y":453}
1470054660582: 	action	mover	image-56	{"x":192,"y":451}
1470054660599: 	action	mover	image-56	{"x":192,"y":449}
1470054660617: 	action	mover	image-56	{"x":192,"y":448}
1470054660624: 	action	mover	image-56	{"x":191,"y":448}
1470054660642: 	action	mover	image-56	{"x":191,"y":447}
1470054660683: 	action	mover	image-56	{"x":191,"y":446}
1470054660850: 	action	mover	image-56	{"x":190,"y":445}
1470054660924: 	action	mover	image-56	{"x":190,"y":446}
1470054660949: 	action	mover	image-56	{"x":190,"y":447}
1470054660957: 	action	mover	image-56	{"x":189,"y":449}
1470054660974: 	action	mover	image-56	{"x":189,"y":451}
1470054660992: 	action	mover	image-56	{"x":188,"y":452}
1470054661008: 	action	mover	image-56	{"x":188,"y":453}
1470054661075: 	action	mover	image-56	{"x":189,"y":454}
1470054661192: 	action	mover	image-56	{"x":189,"y":455}
1470054676762: 	action	draw	content	{"x":47,"y":522}
1470054676939: 	action	draw	content	{"x":48,"y":506}
1470054676946: 	action	draw	content	{"x":48,"y":505}
1470054676957: 	action	draw	content	{"x":49,"y":502}
1470054676965: 	action	draw	content	{"x":49,"y":500}
1470054676972: 	action	draw	content	{"x":50,"y":497}
1470054676981: 	action	draw	content	{"x":51,"y":492}
1470054676989: 	action	draw	content	{"x":51,"y":489}
1470054676997: 	action	draw	content	{"x":52,"y":485}
1470054677005: 	action	draw	content	{"x":53,"y":480}
1470054677014: 	action	draw	content	{"x":54,"y":478}
1470054677023: 	action	draw	content	{"x":54,"y":475}
1470054677031: 	action	draw	content	{"x":54,"y":472}
1470054677039: 	action	draw	content	{"x":55,"y":470}
1470054677048: 	action	draw	content	{"x":55,"y":467}
1470054677056: 	action	draw	content	{"x":56,"y":464}
1470054677064: 	action	draw	content	{"x":57,"y":460}
1470054677072: 	action	draw	content	{"x":58,"y":457}
1470054677081: 	action	draw	content	{"x":58,"y":454}
1470054677089: 	action	draw	content	{"x":60,"y":451}
1470054677097: 	action	draw	content	{"x":61,"y":447}
1470054677106: 	action	draw	content	{"x":62,"y":444}
1470054677114: 	action	draw	content	{"x":62,"y":443}
1470054677122: 	action	draw	content	{"x":63,"y":441}
1470054677131: 	action	draw	content	{"x":63,"y":439}
1470054677139: 	action	draw	content	{"x":64,"y":438}
1470054677148: 	action	draw	content	{"x":64,"y":437}
1470054677157: 	action	draw	content	{"x":64,"y":435}
1470054677164: 	action	draw	content	{"x":65,"y":435}
1470054677172: 	action	draw	content	{"x":65,"y":433}
1470054677189: 	action	draw	content	{"x":66,"y":432}
1470054677207: 	action	draw	content	{"x":66,"y":431}
1470054677272: 	action	draw	content	{"x":66,"y":430}
