1470049612608	2016-08-01 13-06-52.608
1470049860768	2016-08-01 13-11-00.768
1470052113098	2016-08-01 13-48-33.098
1470052236172	2016-08-01 13-50-36.172
1470052521810	2016-08-01 13-55-21.810
1470052572386	2016-08-01 13-56-12.386
1470052602458	2016-08-01 13-56-42.458
1470054569446	2016-08-01 14-29-29.446	acted	on	shapes
1470054571682	2016-08-01 14-29-31.682	acted	on	shapes
1470054631290	2016-08-01 14-30-31.290	acted	on	innerText
1470054631443	2016-08-01 14-30-31.443	sub-instrument	start	draw	true
1470054631474	2016-08-01 14-30-31.474	activate	draw
1470054634437	2016-08-01 14-30-34.437	acted	on	innerText
1470054634653	2016-08-01 14-30-34.653	sub-instrument	stop	draw	false
1470054634667	2016-08-01 14-30-34.667	deactivate	draw
1470054635977	2016-08-01 14-30-35.977	acted	on	innerText
1470054636077	2016-08-01 14-30-36.077	sub-instrument	start	colorPicker	true
1470054636089	2016-08-01 14-30-36.089	activate	colorPicker
1470054637081	2016-08-01 14-30-37.081	acted	on	#00FF00
1470054637166	2016-08-01 14-30-37.166	sub-instrument	#00FF00	colorPicker	true
1470054650174	2016-08-01 14-30-50.174	draw	content	{"x":99,"y":536}
1470054650181	2016-08-01 14-30-50.181	draw	content	{"x":100,"y":536}
1470054650190	2016-08-01 14-30-50.190	action	draw	content	{"x":101,"y":535}
1470054650191	2016-08-01 14-30-50.191	draw	content	{"x":101,"y":535}
1470054650197	2016-08-01 14-30-50.197	action	draw	content	{"x":103,"y":535}
1470054650198	2016-08-01 14-30-50.198	draw	content	{"x":103,"y":535}
1470054650207	2016-08-01 14-30-50.207	draw	content	{"x":104,"y":535}
1470054650225	2016-08-01 14-30-50.225	draw	content	{"x":105,"y":535}
1470054650233	2016-08-01 14-30-50.233	action	draw	content	{"x":107,"y":535}
1470054650234	2016-08-01 14-30-50.234	draw	content	{"x":107,"y":535}
1470054650239	2016-08-01 14-30-50.239	action	draw	content	{"x":108,"y":535}
1470054650241	2016-08-01 14-30-50.241	draw	content	{"x":108,"y":535}
1470054650249	2016-08-01 14-30-50.249	draw	content	{"x":109,"y":535}
1470054650256	2016-08-01 14-30-50.256	draw	content	{"x":110,"y":535}
1470054650279	2016-08-01 14-30-50.279	draw	content	{"x":111,"y":535}
1470054650283	2016-08-01 14-30-50.283	draw	content	{"x":113,"y":535}
1470054650290	2016-08-01 14-30-50.290	action	draw	content	{"x":115,"y":535}
1470054650291	2016-08-01 14-30-50.291	draw	content	{"x":115,"y":535}
1470054650297	2016-08-01 14-30-50.297	action	draw	content	{"x":116,"y":535}
1470054650298	2016-08-01 14-30-50.298	draw	content	{"x":116,"y":535}
1470054650315	2016-08-01 14-30-50.315	draw	content	{"x":118,"y":535}
1470054650318	2016-08-01 14-30-50.318	draw	content	{"x":119,"y":535}
1470054650322	2016-08-01 14-30-50.322	draw	content	{"x":121,"y":534}
1470054650330	2016-08-01 14-30-50.330	action	draw	content	{"x":122,"y":534}
1470054650331	2016-08-01 14-30-50.331	draw	content	{"x":122,"y":534}
1470054650339	2016-08-01 14-30-50.339	action	draw	content	{"x":124,"y":534}
1470054650340	2016-08-01 14-30-50.340	draw	content	{"x":124,"y":534}
1470054650348	2016-08-01 14-30-50.348	draw	content	{"x":125,"y":534}
1470054650365	2016-08-01 14-30-50.365	action	draw	content	{"x":127,"y":534}
1470054650366	2016-08-01 14-30-50.366	draw	content	{"x":127,"y":534}
1470054650368	2016-08-01 14-30-50.368	action	draw	content	{"x":128,"y":534}
1470054650369	2016-08-01 14-30-50.369	draw	content	{"x":128,"y":534}
1470054650373	2016-08-01 14-30-50.373	draw	content	{"x":130,"y":534}
1470054650380	2016-08-01 14-30-50.380	action	draw	content	{"x":132,"y":533}
1470054650381	2016-08-01 14-30-50.381	draw	content	{"x":132,"y":533}
1470054650389	2016-08-01 14-30-50.389	action	draw	content	{"x":134,"y":533}
1470054650390	2016-08-01 14-30-50.390	draw	content	{"x":134,"y":533}
1470054650399	2016-08-01 14-30-50.399	action	draw	content	{"x":135,"y":533}
1470054650400	2016-08-01 14-30-50.400	draw	content	{"x":135,"y":533}
1470054650405	2016-08-01 14-30-50.405	action	draw	content	{"x":137,"y":533}
1470054650406	2016-08-01 14-30-50.406	draw	content	{"x":137,"y":533}
1470054650415	2016-08-01 14-30-50.415	draw	content	{"x":138,"y":533}
1470054650424	2016-08-01 14-30-50.424	draw	content	{"x":140,"y":533}
1470054650431	2016-08-01 14-30-50.431	draw	content	{"x":142,"y":533}
1470054650451	2016-08-01 14-30-50.451	action	draw	content	{"x":143,"y":533}
1470054650452	2016-08-01 14-30-50.452	draw	content	{"x":143,"y":533}
1470054650455	2016-08-01 14-30-50.455	action	draw	content	{"x":145,"y":533}
1470054650456	2016-08-01 14-30-50.456	draw	content	{"x":145,"y":533}
1470054650459	2016-08-01 14-30-50.459	draw	content	{"x":146,"y":533}
1470054650465	2016-08-01 14-30-50.465	action	draw	content	{"x":148,"y":533}
1470054650466	2016-08-01 14-30-50.466	draw	content	{"x":148,"y":533}
1470054650473	2016-08-01 14-30-50.473	draw	content	{"x":149,"y":533}
1470054650480	2016-08-01 14-30-50.480	action	draw	content	{"x":150,"y":533}
1470054650481	2016-08-01 14-30-50.481	draw	content	{"x":150,"y":533}
1470054650489	2016-08-01 14-30-50.489	action	draw	content	{"x":151,"y":532}
1470054650490	2016-08-01 14-30-50.490	draw	content	{"x":151,"y":532}
1470054650498	2016-08-01 14-30-50.498	draw	content	{"x":152,"y":532}
1470054650506	2016-08-01 14-30-50.506	action	draw	content	{"x":153,"y":532}
1470054650507	2016-08-01 14-30-50.507	draw	content	{"x":153,"y":532}
1470054650515	2016-08-01 14-30-50.515	draw	content	{"x":154,"y":532}
1470054650528	2016-08-01 14-30-50.528	action	draw	content	{"x":155,"y":532}
1470054650529	2016-08-01 14-30-50.529	draw	content	{"x":155,"y":532}
1470054650533	2016-08-01 14-30-50.533	action	draw	content	{"x":157,"y":532}
1470054650534	2016-08-01 14-30-50.534	draw	content	{"x":157,"y":532}
1470054650540	2016-08-01 14-30-50.540	draw	content	{"x":158,"y":532}
1470054650548	2016-08-01 14-30-50.548	draw	content	{"x":159,"y":532}
1470054650556	2016-08-01 14-30-50.556	draw	content	{"x":160,"y":532}
1470054650565	2016-08-01 14-30-50.565	draw	content	{"x":162,"y":532}
1470054650581	2016-08-01 14-30-50.581	action	draw	content	{"x":163,"y":532}
1470054650583	2016-08-01 14-30-50.583	draw	content	{"x":163,"y":532}
1470054650596	2016-08-01 14-30-50.596	draw	content	{"x":164,"y":532}
1470054650600	2016-08-01 14-30-50.600	action	draw	content	{"x":165,"y":532}
1470054650601	2016-08-01 14-30-50.601	draw	content	{"x":165,"y":532}
1470054650632	2016-08-01 14-30-50.632	action	draw	content	{"x":166,"y":532}
1470054650633	2016-08-01 14-30-50.633	draw	content	{"x":166,"y":532}
1470054650723	2016-08-01 14-30-50.723	action	draw	content	{"x":167,"y":532}
1470054650724	2016-08-01 14-30-50.724	draw	content	{"x":167,"y":532}
1470054650781	2016-08-01 14-30-50.781	action	draw	content	{"x":168,"y":532}
1470054650782	2016-08-01 14-30-50.782	draw	content	{"x":168,"y":532}
1470054650815	2016-08-01 14-30-50.815	action	draw	content	{"x":169,"y":532}
1470054650816	2016-08-01 14-30-50.816	draw	content	{"x":169,"y":532}
1470054650832	2016-08-01 14-30-50.832	action	draw	content	{"x":170,"y":532}
1470054650833	2016-08-01 14-30-50.833	draw	content	{"x":170,"y":532}
1470054650842	2016-08-01 14-30-50.842	action	draw	content	{"x":171,"y":532}
1470054650843	2016-08-01 14-30-50.843	draw	content	{"x":171,"y":532}
1470054650847	2016-08-01 14-30-50.847	action	draw	content	{"x":172,"y":532}
1470054650848	2016-08-01 14-30-50.848	draw	content	{"x":172,"y":532}
1470054650856	2016-08-01 14-30-50.856	action	draw	content	{"x":173,"y":532}
1470054650857	2016-08-01 14-30-50.857	draw	content	{"x":173,"y":532}
1470054650865	2016-08-01 14-30-50.865	action	draw	content	{"x":174,"y":532}
1470054650866	2016-08-01 14-30-50.866	draw	content	{"x":174,"y":532}
1470054650872	2016-08-01 14-30-50.872	action	draw	content	{"x":176,"y":532}
1470054650874	2016-08-01 14-30-50.874	draw	content	{"x":176,"y":532}
1470054650882	2016-08-01 14-30-50.882	draw	content	{"x":177,"y":532}
1470054650907	2016-08-01 14-30-50.907	draw	content	{"x":178,"y":532}
1470054650914	2016-08-01 14-30-50.914	action	draw	content	{"x":179,"y":532}
1470054650915	2016-08-01 14-30-50.915	draw	content	{"x":179,"y":532}
1470054650922	2016-08-01 14-30-50.922	action	draw	content	{"x":180,"y":532}
1470054650923	2016-08-01 14-30-50.923	draw	content	{"x":180,"y":532}
1470054650949	2016-08-01 14-30-50.949	draw	content	{"x":181,"y":532}
1470054650966	2016-08-01 14-30-50.966	draw	content	{"x":182,"y":531}
1470054650973	2016-08-01 14-30-50.973	draw	content	{"x":183,"y":532}
1470054650983	2016-08-01 14-30-50.983	draw	content	{"x":184,"y":531}
1470054650989	2016-08-01 14-30-50.989	action	draw	content	{"x":185,"y":532}
1470054650990	2016-08-01 14-30-50.990	draw	content	{"x":185,"y":532}
1470054650997	2016-08-01 14-30-50.997	action	draw	content	{"x":186,"y":532}
1470054650998	2016-08-01 14-30-50.998	draw	content	{"x":186,"y":532}
1470054651007	2016-08-01 14-30-51.007	draw	content	{"x":187,"y":532}
1470054651014	2016-08-01 14-30-51.014	action	draw	content	{"x":188,"y":532}
1470054651016	2016-08-01 14-30-51.016	draw	content	{"x":188,"y":532}
1470054651023	2016-08-01 14-30-51.023	draw	content	{"x":189,"y":532}
1470054651032	2016-08-01 14-30-51.032	draw	content	{"x":190,"y":532}
1470054651040	2016-08-01 14-30-51.040	draw	content	{"x":191,"y":532}
1470054651049	2016-08-01 14-30-51.049	draw	content	{"x":193,"y":532}
1470054651056	2016-08-01 14-30-51.056	action	draw	content	{"x":194,"y":531}
1470054651057	2016-08-01 14-30-51.057	draw	content	{"x":194,"y":531}
1470054651064	2016-08-01 14-30-51.064	action	draw	content	{"x":197,"y":531}
1470054651065	2016-08-01 14-30-51.065	draw	content	{"x":197,"y":531}
1470054651072	2016-08-01 14-30-51.072	action	draw	content	{"x":198,"y":531}
1470054651073	2016-08-01 14-30-51.073	draw	content	{"x":198,"y":531}
1470054651081	2016-08-01 14-30-51.081	action	draw	content	{"x":201,"y":530}
1470054651082	2016-08-01 14-30-51.082	draw	content	{"x":201,"y":530}
1470054651089	2016-08-01 14-30-51.089	action	draw	content	{"x":203,"y":530}
1470054651090	2016-08-01 14-30-51.090	draw	content	{"x":203,"y":530}
1470054651097	2016-08-01 14-30-51.097	action	draw	content	{"x":206,"y":529}
1470054651098	2016-08-01 14-30-51.098	draw	content	{"x":206,"y":529}
1470054651107	2016-08-01 14-30-51.107	draw	content	{"x":207,"y":529}
1470054651115	2016-08-01 14-30-51.115	action	draw	content	{"x":209,"y":529}
1470054651117	2016-08-01 14-30-51.117	draw	content	{"x":209,"y":529}
1470054651122	2016-08-01 14-30-51.122	action	draw	content	{"x":211,"y":529}
1470054651123	2016-08-01 14-30-51.123	draw	content	{"x":211,"y":529}
1470054651131	2016-08-01 14-30-51.131	action	draw	content	{"x":212,"y":528}
1470054651132	2016-08-01 14-30-51.132	draw	content	{"x":212,"y":528}
1470054651139	2016-08-01 14-30-51.139	draw	content	{"x":214,"y":528}
1470054651147	2016-08-01 14-30-51.147	action	draw	content	{"x":216,"y":528}
1470054651148	2016-08-01 14-30-51.148	draw	content	{"x":216,"y":528}
1470054651157	2016-08-01 14-30-51.157	draw	content	{"x":218,"y":528}
1470054651164	2016-08-01 14-30-51.164	action	draw	content	{"x":219,"y":528}
1470054651165	2016-08-01 14-30-51.165	draw	content	{"x":219,"y":528}
1470054651173	2016-08-01 14-30-51.173	action	draw	content	{"x":221,"y":528}
1470054651174	2016-08-01 14-30-51.174	draw	content	{"x":221,"y":528}
1470054651183	2016-08-01 14-30-51.183	draw	content	{"x":223,"y":528}
1470054651190	2016-08-01 14-30-51.190	draw	content	{"x":224,"y":528}
1470054651198	2016-08-01 14-30-51.198	action	draw	content	{"x":226,"y":528}
1470054651199	2016-08-01 14-30-51.199	draw	content	{"x":226,"y":528}
1470054651208	2016-08-01 14-30-51.208	action	draw	content	{"x":227,"y":528}
1470054651209	2016-08-01 14-30-51.209	draw	content	{"x":227,"y":528}
1470054651215	2016-08-01 14-30-51.215	action	draw	content	{"x":229,"y":528}
1470054651216	2016-08-01 14-30-51.216	draw	content	{"x":229,"y":528}
1470054651223	2016-08-01 14-30-51.223	action	draw	content	{"x":230,"y":528}
1470054651224	2016-08-01 14-30-51.224	draw	content	{"x":230,"y":528}
1470054651253	2016-08-01 14-30-51.253	action	draw	content	{"x":231,"y":528}
1470054651254	2016-08-01 14-30-51.254	draw	content	{"x":231,"y":528}
1470054651258	2016-08-01 14-30-51.258	draw	content	{"x":234,"y":528}
1470054651262	2016-08-01 14-30-51.262	action	draw	content	{"x":236,"y":528}
1470054651263	2016-08-01 14-30-51.263	draw	content	{"x":236,"y":528}
1470054651268	2016-08-01 14-30-51.268	draw	content	{"x":237,"y":528}
1470054651273	2016-08-01 14-30-51.273	action	draw	content	{"x":239,"y":528}
1470054651274	2016-08-01 14-30-51.274	draw	content	{"x":239,"y":528}
1470054651282	2016-08-01 14-30-51.282	action	draw	content	{"x":240,"y":528}
1470054651283	2016-08-01 14-30-51.283	draw	content	{"x":240,"y":528}
