1470647894780: 	moved	clipboard	to	{"x":408,"y":274}
1470647894787: 	moved	clipboard	to	{"x":412,"y":275}
1470647894797: 	moved	clipboard	to	{"x":416,"y":277}
1470647894805: 	moved	clipboard	to	{"x":420,"y":279}
1470647894812: 	moved	clipboard	to	{"x":426,"y":282}
1470647894822: 	moved	clipboard	to	{"x":431,"y":284}
1470647894830: 	moved	clipboard	to	{"x":436,"y":286}
1470647894837: 	moved	clipboard	to	{"x":442,"y":288}
1470647894848: 	moved	clipboard	to	{"x":447,"y":290}
1470647894854: 	moved	clipboard	to	{"x":452,"y":292}
1470647894862: 	moved	clipboard	to	{"x":457,"y":295}
1470647894872: 	moved	clipboard	to	{"x":462,"y":297}
1470647894880: 	moved	clipboard	to	{"x":467,"y":298}
1470647894887: 	moved	clipboard	to	{"x":471,"y":300}
1470647894896: 	moved	clipboard	to	{"x":477,"y":302}
1470647894904: 	moved	clipboard	to	{"x":480,"y":303}
1470647894912: 	moved	clipboard	to	{"x":483,"y":304}
1470647894921: 	moved	clipboard	to	{"x":486,"y":304}
1470647894929: 	moved	clipboard	to	{"x":489,"y":305}
1470647894937: 	moved	clipboard	to	{"x":491,"y":305}
1470647894946: 	moved	clipboard	to	{"x":493,"y":306}
1470647894960: 	moved	clipboard	to	{"x":495,"y":306}
1470647894966: 	moved	clipboard	to	{"x":496,"y":306}
1470647894971: 	moved	clipboard	to	{"x":497,"y":306}
1470647894988: 	moved	clipboard	to	{"x":498,"y":306}
1470647895038: 	moved	clipboard	to	{"x":497,"y":306}
1470647895046: 	moved	clipboard	to	{"x":496,"y":306}
1470647895054: 	moved	clipboard	to	{"x":490,"y":305}
1470647895062: 	moved	clipboard	to	{"x":485,"y":305}
1470647895071: 	moved	clipboard	to	{"x":478,"y":304}
1470647895079: 	moved	clipboard	to	{"x":472,"y":302}
1470647895088: 	moved	clipboard	to	{"x":466,"y":301}
1470647895096: 	moved	clipboard	to	{"x":459,"y":299}
1470647895104: 	moved	clipboard	to	{"x":452,"y":297}
1470647895113: 	moved	clipboard	to	{"x":446,"y":294}
1470647895122: 	moved	clipboard	to	{"x":439,"y":293}
1470647895130: 	moved	clipboard	to	{"x":433,"y":292}
1470647895137: 	moved	clipboard	to	{"x":427,"y":290}
1470647895147: 	moved	clipboard	to	{"x":421,"y":289}
1470647895154: 	moved	clipboard	to	{"x":418,"y":289}
1470647895162: 	moved	clipboard	to	{"x":412,"y":288}
1470647895171: 	moved	clipboard	to	{"x":407,"y":287}
1470647895179: 	moved	clipboard	to	{"x":404,"y":287}
1470647895187: 	moved	clipboard	to	{"x":399,"y":286}
1470647895197: 	moved	clipboard	to	{"x":396,"y":286}
1470647895204: 	moved	clipboard	to	{"x":392,"y":285}
1470647895212: 	moved	clipboard	to	{"x":388,"y":284}
1470647895221: 	moved	clipboard	to	{"x":385,"y":284}
1470647895229: 	moved	clipboard	to	{"x":382,"y":284}
1470647895237: 	moved	clipboard	to	{"x":380,"y":284}
1470647895246: 	moved	clipboard	to	{"x":378,"y":284}
1470647895254: 	moved	clipboard	to	{"x":377,"y":283}
1470647895262: 	moved	clipboard	to	{"x":376,"y":283}
1470647895330: 	moved	clipboard	to	{"x":376,"y":284}
1470647895347: 	moved	clipboard	to	{"x":378,"y":284}
1470647895355: 	moved	clipboard	to	{"x":381,"y":285}
1470647895362: 	moved	clipboard	to	{"x":384,"y":287}
1470647895371: 	moved	clipboard	to	{"x":386,"y":287}
1470647895381: 	moved	clipboard	to	{"x":388,"y":288}
1470647895387: 	moved	clipboard	to	{"x":389,"y":289}
1470647895396: 	moved	clipboard	to	{"x":390,"y":290}
1470647895404: 	moved	clipboard	to	{"x":391,"y":291}
1470647895412: 	moved	clipboard	to	{"x":392,"y":292}
1470647895421: 	moved	clipboard	to	{"x":392,"y":295}
1470647895429: 	moved	clipboard	to	{"x":392,"y":297}
1470647895832: 	start moving	image-5	from	{"x":71,"y":67}
1470647895880: 	moved	image-5	to	{"x":226,"y":195}
1470647895888: 	moved	image-5	to	{"x":233,"y":197}
1470647895896: 	moved	image-5	to	{"x":241,"y":199}
1470647895904: 	moved	image-5	to	{"x":249,"y":202}
1470647895912: 	moved	image-5	to	{"x":258,"y":205}
1470647895922: 	moved	image-5	to	{"x":269,"y":210}
1470647895935: 	moved	image-5	to	{"x":275,"y":212}
1470647895940: 	moved	image-5	to	{"x":289,"y":217}
1470647895946: 	moved	image-5	to	{"x":296,"y":219}
1470647895956: 	moved	image-5	to	{"x":308,"y":224}
1470647895962: 	moved	image-5	to	{"x":319,"y":229}
1470647895972: 	moved	image-5	to	{"x":330,"y":234}
1470647895980: 	moved	image-5	to	{"x":341,"y":238}
1470647895987: 	moved	image-5	to	{"x":349,"y":244}
1470647895996: 	moved	image-5	to	{"x":359,"y":249}
1470647896004: 	moved	image-5	to	{"x":368,"y":254}
1470647896012: 	moved	image-5	to	{"x":374,"y":259}
1470647896021: 	moved	image-5	to	{"x":380,"y":264}
1470647896029: 	moved	image-5	to	{"x":385,"y":269}
1470647896037: 	moved	image-5	to	{"x":390,"y":273}
1470647896046: 	moved	image-5	to	{"x":395,"y":279}
1470647896054: 	moved	image-5	to	{"x":398,"y":284}
1470647896061: 	moved	image-5	to	{"x":400,"y":289}
1470647896070: 	moved	image-5	to	{"x":401,"y":294}
1470647896079: 	moved	image-5	to	{"x":400,"y":300}
1470647896087: 	moved	image-5	to	{"x":398,"y":305}
1470647896097: 	moved	image-5	to	{"x":395,"y":310}
1470647896104: 	moved	image-5	to	{"x":390,"y":314}
1470647896113: 	moved	image-5	to	{"x":383,"y":320}
1470647896121: 	moved	image-5	to	{"x":373,"y":327}
1470647896129: 	moved	image-5	to	{"x":366,"y":331}
1470647896137: 	moved	image-5	to	{"x":356,"y":335}
1470647896147: 	moved	image-5	to	{"x":344,"y":340}
1470647896154: 	moved	image-5	to	{"x":332,"y":344}
1470647896162: 	moved	image-5	to	{"x":320,"y":348}
1470647896172: 	moved	image-5	to	{"x":309,"y":350}
1470647896179: 	moved	image-5	to	{"x":298,"y":353}
1470647896187: 	moved	image-5	to	{"x":289,"y":355}
1470647896196: 	moved	image-5	to	{"x":278,"y":359}
1470647896204: 	moved	image-5	to	{"x":270,"y":359}
1470647896212: 	moved	image-5	to	{"x":264,"y":360}
1470647896222: 	moved	image-5	to	{"x":257,"y":361}
1470647896229: 	moved	image-5	to	{"x":250,"y":360}
1470647896237: 	moved	image-5	to	{"x":245,"y":359}
1470647896246: 	moved	image-5	to	{"x":242,"y":358}
1470647896254: 	moved	image-5	to	{"x":238,"y":355}
1470647896262: 	moved	image-5	to	{"x":235,"y":351}
1470647896271: 	moved	image-5	to	{"x":233,"y":348}
1470647896279: 	moved	image-5	to	{"x":231,"y":342}
1470647896287: 	moved	image-5	to	{"x":231,"y":337}
1470647896296: 	moved	image-5	to	{"x":232,"y":329}
1470647896304: 	moved	image-5	to	{"x":233,"y":322}
1470647896312: 	moved	image-5	to	{"x":236,"y":315}
1470647896321: 	moved	image-5	to	{"x":240,"y":305}
1470647896334: 	moved	image-5	to	{"x":244,"y":299}
1470647896339: 	moved	image-5	to	{"x":252,"y":287}
1470647896351: 	moved	image-5	to	{"x":261,"y":278}
1470647896592: 	start moving	image-11	from	{"x":61,"y":73}
1470647896630: 	moved	image-11	to	{"x":673,"y":90}
1470647896637: 	moved	image-11	to	{"x":679,"y":93}
1470647896647: 	moved	image-11	to	{"x":685,"y":96}
1470647896654: 	moved	image-11	to	{"x":691,"y":101}
1470647896661: 	moved	image-11	to	{"x":697,"y":105}
1470647896671: 	moved	image-11	to	{"x":704,"y":111}
1470647896679: 	moved	image-11	to	{"x":711,"y":115}
1470647896687: 	moved	image-11	to	{"x":722,"y":122}
1470647896695: 	moved	image-11	to	{"x":729,"y":128}
1470647896703: 	moved	image-11	to	{"x":738,"y":135}
1470647896712: 	moved	image-11	to	{"x":746,"y":143}
1470647896720: 	moved	image-11	to	{"x":753,"y":151}
1470647896729: 	moved	image-11	to	{"x":757,"y":155}
1470647896736: 	moved	image-11	to	{"x":764,"y":166}
1470647896746: 	moved	image-11	to	{"x":767,"y":172}
1470647896754: 	moved	image-11	to	{"x":771,"y":179}
1470647896761: 	moved	image-11	to	{"x":774,"y":187}
1470647896771: 	moved	image-11	to	{"x":776,"y":194}
1470647896779: 	moved	image-11	to	{"x":776,"y":202}
1470647896788: 	moved	image-11	to	{"x":776,"y":209}
1470647896796: 	moved	image-11	to	{"x":774,"y":216}
1470647896803: 	moved	image-11	to	{"x":770,"y":223}
1470647896812: 	moved	image-11	to	{"x":765,"y":230}
1470647896821: 	moved	image-11	to	{"x":756,"y":237}
1470647896829: 	moved	image-11	to	{"x":748,"y":242}
1470647896838: 	moved	image-11	to	{"x":735,"y":248}
1470647896846: 	moved	image-11	to	{"x":724,"y":253}
1470647896854: 	moved	image-11	to	{"x":712,"y":256}
1470647896861: 	moved	image-11	to	{"x":700,"y":260}
1470647896870: 	moved	image-11	to	{"x":686,"y":264}
1470647896879: 	moved	image-11	to	{"x":673,"y":269}
1470647896887: 	moved	image-11	to	{"x":660,"y":273}
1470647896896: 	moved	image-11	to	{"x":647,"y":279}
1470647896904: 	moved	image-11	to	{"x":639,"y":281}
1470647896912: 	moved	image-11	to	{"x":628,"y":287}
1470647896921: 	moved	image-11	to	{"x":620,"y":292}
1470647896930: 	moved	image-11	to	{"x":615,"y":296}
1470647896936: 	moved	image-11	to	{"x":610,"y":300}
1470647896946: 	moved	image-11	to	{"x":606,"y":305}
1470647896954: 	moved	image-11	to	{"x":604,"y":308}
1470647896962: 	moved	image-11	to	{"x":603,"y":312}
1470647896972: 	moved	image-11	to	{"x":603,"y":319}
1470647896980: 	moved	image-11	to	{"x":605,"y":323}
1470647896986: 	moved	image-11	to	{"x":607,"y":326}
1470647896996: 	moved	image-11	to	{"x":612,"y":330}
1470647897011: 	moved	image-11	to	{"x":618,"y":332}
1470647897016: 	moved	image-11	to	{"x":625,"y":335}
1470647897021: 	moved	image-11	to	{"x":636,"y":338}
1470647897031: 	moved	image-11	to	{"x":643,"y":340}
1470647897037: 	moved	image-11	to	{"x":654,"y":343}
1470647897047: 	moved	image-11	to	{"x":665,"y":346}
1470647897054: 	moved	image-11	to	{"x":678,"y":349}
1470647897063: 	moved	image-11	to	{"x":685,"y":350}
1470647897071: 	moved	image-11	to	{"x":692,"y":352}
1470647897080: 	moved	image-11	to	{"x":699,"y":354}
1470647897087: 	moved	image-11	to	{"x":706,"y":356}
1470647897097: 	moved	image-11	to	{"x":712,"y":357}
1470647897104: 	moved	image-11	to	{"x":714,"y":357}
1470647897112: 	moved	image-11	to	{"x":716,"y":358}
1470647897120: 	moved	image-11	to	{"x":717,"y":358}
1470647897129: 	moved	image-11	to	{"x":718,"y":358}
1470647897147: 	moved	image-11	to	{"x":718,"y":357}
