1470648272418: 	acted on	innerText
1470648272584: 	sub-instrument	start	mover	true
1470648272586: 	activate	mover
1470648273717: 	start moving	image-42	from	{"x":92,"y":77}
1470648273898: 	moved	image-42	to	{"x":1095,"y":125}
1470648273914: 	moved	image-42	to	{"x":1093,"y":127}
1470648273932: 	moved	image-42	to	{"x":1092,"y":128}
1470648273939: 	moved	image-42	to	{"x":1091,"y":128}
1470648273947: 	moved	image-42	to	{"x":1091,"y":129}
1470648273956: 	moved	image-42	to	{"x":1090,"y":129}
1470648273965: 	moved	image-42	to	{"x":1090,"y":130}
1470648273981: 	moved	image-42	to	{"x":1089,"y":130}
1470648273989: 	moved	image-42	to	{"x":1089,"y":131}
1470648274040: 	moved	image-42	to	{"x":1088,"y":132}
1470648274090: 	moved	image-42	to	{"x":1088,"y":133}
1470648274097: 	moved	image-42	to	{"x":1087,"y":133}
1470648274115: 	moved	image-42	to	{"x":1087,"y":134}
1470648274133: 	moved	image-42	to	{"x":1086,"y":134}
1470648274138: 	moved	image-42	to	{"x":1086,"y":135}
1470648274159: 	moved	image-42	to	{"x":1085,"y":136}
1470648274174: 	moved	image-42	to	{"x":1084,"y":138}
1470648274196: 	moved	image-42	to	{"x":1083,"y":139}
1470648274207: 	moved	image-42	to	{"x":1081,"y":141}
1470648274223: 	moved	image-42	to	{"x":1079,"y":143}
1470648274231: 	moved	image-42	to	{"x":1077,"y":144}
1470648274240: 	moved	image-42	to	{"x":1075,"y":145}
1470648274247: 	moved	image-42	to	{"x":1073,"y":147}
1470648274256: 	moved	image-42	to	{"x":1069,"y":148}
1470648274266: 	moved	image-42	to	{"x":1066,"y":149}
1470648274272: 	moved	image-42	to	{"x":1061,"y":150}
1470648274282: 	moved	image-42	to	{"x":1056,"y":151}
1470648274289: 	moved	image-42	to	{"x":1049,"y":153}
1470648274299: 	moved	image-42	to	{"x":1043,"y":155}
1470648274307: 	moved	image-42	to	{"x":1037,"y":156}
1470648274315: 	moved	image-42	to	{"x":1031,"y":158}
1470648274322: 	moved	image-42	to	{"x":1024,"y":160}
1470648274331: 	moved	image-42	to	{"x":1018,"y":162}
1470648274344: 	moved	image-42	to	{"x":1013,"y":164}
1470648274356: 	moved	image-42	to	{"x":1003,"y":168}
1470648274365: 	moved	image-42	to	{"x":997,"y":170}
1470648274373: 	moved	image-42	to	{"x":991,"y":172}
1470648274382: 	moved	image-42	to	{"x":985,"y":174}
1470648274389: 	moved	image-42	to	{"x":978,"y":177}
1470648274397: 	moved	image-42	to	{"x":970,"y":179}
1470648274405: 	moved	image-42	to	{"x":963,"y":181}
1470648274415: 	moved	image-42	to	{"x":957,"y":183}
1470648274423: 	moved	image-42	to	{"x":951,"y":185}
1470648274431: 	moved	image-42	to	{"x":945,"y":187}
1470648274439: 	moved	image-42	to	{"x":939,"y":189}
1470648274448: 	moved	image-42	to	{"x":933,"y":192}
1470648274456: 	moved	image-42	to	{"x":927,"y":194}
1470648274467: 	moved	image-42	to	{"x":923,"y":195}
1470648274472: 	moved	image-42	to	{"x":916,"y":197}
1470648274481: 	moved	image-42	to	{"x":910,"y":199}
1470648274490: 	moved	image-42	to	{"x":904,"y":202}
1470648274498: 	moved	image-42	to	{"x":898,"y":203}
1470648274506: 	moved	image-42	to	{"x":891,"y":204}
1470648274514: 	moved	image-42	to	{"x":885,"y":206}
1470648274522: 	moved	image-42	to	{"x":879,"y":207}
1470648274532: 	moved	image-42	to	{"x":873,"y":208}
1470648274539: 	moved	image-42	to	{"x":869,"y":208}
1470648274547: 	moved	image-42	to	{"x":863,"y":209}
1470648274556: 	moved	image-42	to	{"x":857,"y":211}
1470648274564: 	moved	image-42	to	{"x":851,"y":211}
1470648274572: 	moved	image-42	to	{"x":844,"y":212}
1470648274582: 	moved	image-42	to	{"x":837,"y":214}
1470648274589: 	moved	image-42	to	{"x":829,"y":215}
1470648274597: 	moved	image-42	to	{"x":821,"y":216}
1470648274607: 	moved	image-42	to	{"x":812,"y":216}
1470648274614: 	moved	image-42	to	{"x":804,"y":218}
1470648274622: 	moved	image-42	to	{"x":796,"y":220}
1470648274632: 	moved	image-42	to	{"x":785,"y":222}
1470648274640: 	moved	image-42	to	{"x":777,"y":224}
1470648274647: 	moved	image-42	to	{"x":768,"y":226}
1470648274657: 	moved	image-42	to	{"x":759,"y":229}
1470648274665: 	moved	image-42	to	{"x":751,"y":231}
1470648274672: 	moved	image-42	to	{"x":740,"y":234}
1470648274682: 	moved	image-42	to	{"x":731,"y":236}
1470648274689: 	moved	image-42	to	{"x":721,"y":239}
1470648274698: 	moved	image-42	to	{"x":713,"y":242}
1470648274705: 	moved	image-42	to	{"x":703,"y":244}
1470648274715: 	moved	image-42	to	{"x":694,"y":246}
