1470648328275: 	acted on	menu
1470648329614: 	acted on	innerText
1470648329764: 	sub-instrument	start	draw	true
1470648329766: 	activate	draw
1470648332690: 	acted on	sample
1470648345280: 	draw	image-81	{"x":54,"y":52}
1470648345289: 	draw	image-81	{"x":54,"y":53}
1470648345307: 	draw	image-81	{"x":53,"y":55}
1470648345330: 	draw	image-81	{"x":53,"y":57}
1470648345348: 	draw	image-81	{"x":53,"y":58}
1470648345430: 	draw	image-81	{"x":54,"y":59}
1470648345505: 	draw	image-81	{"x":55,"y":59}
1470648345515: 	draw	image-81	{"x":55,"y":60}
1470648345530: 	draw	image-81	{"x":56,"y":60}
1470648345547: 	draw	image-81	{"x":57,"y":60}
1470648345556: 	draw	image-81	{"x":58,"y":60}
1470648345572: 	draw	image-81	{"x":59,"y":60}
1470648345581: 	draw	image-81	{"x":60,"y":60}
1470648345597: 	draw	image-81	{"x":61,"y":60}
1470648345606: 	draw	image-81	{"x":62,"y":60}
1470648345621: 	draw	image-81	{"x":62,"y":61}
1470648345647: 	draw	image-81	{"x":64,"y":61}
1470648345672: 	draw	image-81	{"x":65,"y":61}
1470648345682: 	draw	image-81	{"x":65,"y":62}
1470648345730: 	draw	image-81	{"x":67,"y":63}
1470648345759: 	draw	image-81	{"x":67,"y":64}
1470648345782: 	draw	image-81	{"x":68,"y":64}
1470648345795: 	draw	image-81	{"x":68,"y":65}
1470648345822: 	draw	image-81	{"x":68,"y":66}
1470648345839: 	draw	image-81	{"x":69,"y":67}
1470648345873: 	draw	image-81	{"x":69,"y":68}
1470648345906: 	draw	image-81	{"x":69,"y":69}
1470648345945: 	draw	image-81	{"x":69,"y":70}
1470648345968: 	draw	image-81	{"x":70,"y":70}
1470648345982: 	draw	image-81	{"x":70,"y":71}
1470648346029: 	draw	image-81	{"x":70,"y":73}
1470648346063: 	draw	image-81	{"x":70,"y":74}
1470648346098: 	draw	image-81	{"x":71,"y":75}
1470648346157: 	draw	image-81	{"x":71,"y":77}
1470648346207: 	draw	image-81	{"x":71,"y":78}
1470648346239: 	draw	image-81	{"x":71,"y":79}
1470648346290: 	draw	image-81	{"x":71,"y":80}
1470648346356: 	draw	image-81	{"x":71,"y":81}
1470648346388: 	draw	image-81	{"x":70,"y":81}
1470648346434: 	draw	image-81	{"x":69,"y":81}
1470648346453: 	draw	image-81	{"x":69,"y":82}
1470648346480: 	draw	image-81	{"x":67,"y":82}
1470648346490: 	draw	image-81	{"x":66,"y":83}
1470648346504: 	draw	image-81	{"x":64,"y":84}
1470648346530: 	draw	image-81	{"x":62,"y":85}
1470648346555: 	draw	image-81	{"x":61,"y":85}
1470648346605: 	draw	image-81	{"x":60,"y":85}
1470648346622: 	draw	image-81	{"x":60,"y":86}
1470648346647: 	draw	image-81	{"x":59,"y":86}
1470648346690: 	draw	image-81	{"x":58,"y":86}
1470648346723: 	draw	image-81	{"x":58,"y":87}
1470648346739: 	draw	image-81	{"x":57,"y":87}
1470648346772: 	draw	image-81	{"x":56,"y":87}
1470648346815: 	draw	image-81	{"x":56,"y":88}
1470648346865: 	draw	image-81	{"x":54,"y":88}
1470648346898: 	draw	image-81	{"x":54,"y":89}
1470648346965: 	draw	image-81	{"x":52,"y":89}
1470648346974: 	draw	image-81	{"x":52,"y":90}
1470648347039: 	draw	image-81	{"x":52,"y":91}
1470648347056: 	draw	image-81	{"x":51,"y":91}
1470648347114: 	draw	image-81	{"x":51,"y":92}
1470648347280: 	draw	image-81	{"x":50,"y":92}
1470648347330: 	draw	image-81	{"x":49,"y":91}
1470648347346: 	draw	image-81	{"x":47,"y":90}
1470648347364: 	draw	image-81	{"x":46,"y":89}
1470648347379: 	draw	image-81	{"x":44,"y":89}
1470648347397: 	draw	image-81	{"x":43,"y":89}
1470648347414: 	draw	image-81	{"x":42,"y":88}
1470648347430: 	draw	image-81	{"x":41,"y":88}
1470648347464: 	draw	image-81	{"x":40,"y":88}
1470648347489: 	draw	image-81	{"x":39,"y":88}
1470648347523: 	draw	image-81	{"x":38,"y":88}
1470648347547: 	draw	image-81	{"x":37,"y":88}
1470648347572: 	draw	image-81	{"x":36,"y":88}
1470648347606: 	draw	image-81	{"x":35,"y":88}
1470648347630: 	draw	image-81	{"x":34,"y":88}
1470648347654: 	draw	image-81	{"x":33,"y":88}
1470648347672: 	draw	image-81	{"x":32,"y":89}
1470648347689: 	draw	image-81	{"x":31,"y":89}
1470648347739: 	draw	image-81	{"x":30,"y":89}
1470648347780: 	draw	image-81	{"x":29,"y":89}
1470648347814: 	draw	image-81	{"x":28,"y":89}
1470648347864: 	draw	image-81	{"x":27,"y":89}
1470648347905: 	draw	image-81	{"x":26,"y":88}
1470648347947: 	draw	image-81	{"x":26,"y":87}
1470648347964: 	draw	image-81	{"x":25,"y":87}
1470648347979: 	draw	image-81	{"x":25,"y":86}
