Observation id	16-A				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/8-8/16-3-A.MTS				
					
Observation date	2016-08-24 09:41:39				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
13.026		F	V		START
66.374		F	V		STOP
66.375		F	T		START
74.416		B	A		POINT
79.15		F	T		STOP
79.151		F	V		START
170.883		B	A		POINT
193.547		B	C		POINT
269.474		B	M		POINT
289.673		F	V		STOP
289.674		F	T		START
296.019		F	T		STOP
296.02		F	V		START
305.236		B	R		POINT
341.009		B	R		POINT
362.224		F	V		STOP
362.225		F	T		START
379.646		F	T		STOP
379.647		F	V		START
528.55		B	M		POINT
547.912		B	A		POINT
553.319		B	R		POINT
555.439		B	R		POINT
