Observation id	18-B				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/9-8/18-2-B.MTS				
					
Observation date	2016-08-24 10:33:57				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
12.514		F	V		START
83.869		B	V		POINT
158.181		B	C		POINT
169.008		B	A		POINT
195.553		B	A		POINT
216.523		B	A		POINT
227.425		B	C		POINT
232.082		B	C		POINT
279.334		B	V		POINT
293.547		B	P		POINT
332.005		B	V		POINT
340.036		B	D		POINT
377.826		B	V		POINT
393.131		B	P		POINT
419.418		B	D		POINT
424.405		B	D		POINT
