Observation id	14-B				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/4-8/14-3-B.MTS				
					
Observation date	2016-08-23 22:35:52				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
26.547		B	A		POINT
31.029		B	A		POINT
33.818		P	M		POINT
35.343		P	M		POINT
37.707		P	M		POINT
39.737		P	M		POINT
40.923		P	M		POINT
43.117		P	M		POINT
45.234		F	T		START
55.973		B	M		POINT
74.823		F	T		STOP
74.824		F	V		START
187.527		F	V		STOP
187.528		F	T		START
194.377		B	A		POINT
204.52		B	A		POINT
225.657		B	D		POINT
252.279		F	T		STOP
252.28		F	V		START
262.426		B	D		POINT
272.741		B	D		POINT
283.307		F	V		STOP
283.308		F	T		START
286.35		B	P		POINT
293.957		F	T		STOP
293.958		F	V		START
296.665		B	D		POINT
313.231		B	P		POINT
339.858		F	V		STOP
339.859		F	T		START
363.357		F	T		STOP
363.358		F	V		START
403.77		B	P		POINT
431.841		B	A		POINT
438.775		B	P		POINT
522.885		F	V		STOP
522.886		F	T		START
532.695		B	P		POINT
539.881		B	A		POINT
556.37		B	D		POINT
581.303		F	T		STOP
581.304		F	V		START
