Observation id	10-A				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/3-8/10-3-A.MTS				
					
Observation date	2016-08-23 19:14:52				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
6.938		F	V		START
20.123		F	V		STOP
20.124		F	T		START
27.814		F	T		STOP
27.815		F	V		START
28.493		B	D		POINT
57.492		B	R		POINT
87.336		B	C		POINT
124.961		F	V		STOP
124.962		F	T		START
128.088		B	A		POINT
130.965		F	T		STOP
130.966		F	V		START
171.801		B	R		POINT
231.065		B	M		POINT
253.126		B	A		POINT
267.414		B	R		POINT
318.047		F	V		STOP
318.048		F	T		START
321.77		B	A		POINT
335.798		F	T		STOP
335.799		F	V		START
343.407		B	M		POINT
380.347		B	M		POINT
385.757		B	R		POINT
400.894		B	M		POINT
411.205		B	C		POINT
439.351		B	M		POINT
515.179		B	R		POINT
580.536		B	C		POINT
586.705		F	V		STOP
586.706		F	T		START
594.568		B	C		POINT
606.569		B	M		POINT
