Observation id	6-B				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/2-8/6-3-B.MTS				
					
Observation date	2016-08-23 14:44:21				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
5.244		F	T		START
8.152		P	M		POINT
9.895		P	M		POINT
11.671		P	M		POINT
15.309		P	M		POINT
16.409		P	M		POINT
18.014		P	M		POINT
20.633		P	M		POINT
21.985		P	M		POINT
26.886		F	T		STOP
26.887		F	V		START
279.582		F	V		STOP
279.583		F	T		START
302.238		F	T		STOP
302.239		F	V		START
352.716		F	V		STOP
352.717		F	T		START
375.881		B	A		POINT
376.08		F	T		STOP
376.081		F	V		START
388.986		F	V		STOP
388.987		F	T		START
420.517		F	T		STOP
420.518		F	V		START
426.69		F	V		STOP
426.691		F	T		START
441.652		F	T		STOP
441.653		F	V		START
525.096		F	V		STOP
525.097		F	T		START
536.43		B	P		POINT
553.336		B	D		POINT
568.302		B	V		POINT
