Observation id	12-B				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/3-8/12-3-B.MTS				
					
Observation date	2016-08-23 20:42:37				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
41.762		F	V		START
71.689		B	R		POINT
171.69		F	V		STOP
171.691		F	T		START
172.195		B	A		POINT
172.708		B	P		POINT
178.113		B	A		POINT
186.992		F	T		STOP
186.993		F	V		START
226.137		F	V		STOP
226.138		F	T		START
229.264		B	P		POINT
239.834		B	A		POINT
240.594		B	D		POINT
251.584		F	T		STOP
251.585		F	V		START
255.304		B	D		POINT
292.584		F	V		STOP
292.585		F	T		START
305.431		B	P		POINT
325.887		F	T		STOP
325.888		F	V		START
