Observation id	16-B				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/8-8/16-1-B.MTS				
					
Observation date	2016-08-23 23:37:50				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
39.312		F	T		START
47.511		B	R		POINT
49.118		F	T		STOP
49.119		F	V		START
54.87		B	A		POINT
63.491		B	R		POINT
65.945		B	A		POINT
75.326		B	A		POINT
80.063		B	A		POINT
88.181		B	A		POINT
99.001		B	A		POINT
129.944		F	V		STOP
129.945		F	T		START
132.228		B	A		POINT
152.434		F	T		STOP
152.435		F	V		START
168.332		B	C		POINT
175.347		B	C		POINT
187.689		B	C		POINT
189.552		B	A		POINT
192.344		B	A		POINT
194.543		B	A		POINT
210.18		B	A		POINT
226.329		B	V		POINT
255.245		B	M		POINT
277.903		B	A		POINT
314.762		F	V		STOP
314.763		F	C		START
320.341		B	A		POINT
338.179		B	C		POINT
341.895		B	C		POINT
349.251		B	A		POINT
352.802		B	A		POINT
353.729		F	C		STOP
353.73		F	V		START
362.865		B	V		POINT
396.095		B	A		POINT
401.758		B	A		POINT
404.715		B	P		POINT
406.996		F	V		STOP
406.997		F	T		START
415.707		B	W		POINT
424.497		F	T		STOP
424.498		F	V		START
430.419		B	D		POINT
432.703		B	P		POINT
433.798		B	A		POINT
443.862		B	A		POINT
457.729		B	A		POINT
466.691		B	A		POINT
528.002		B	A		POINT
537.306		B	A		POINT
548.798		B	R		POINT
573.239		F	V		STOP
573.24		F	T		START
583.721		B	P		POINT
603.596		I			POINT
626.428		B	A		POINT
638.255		F	T		STOP
638.256		F	V		START
651.536		B	A		POINT
729.5		B	A		POINT
729.874		B	P		POINT
739.141		B	P		POINT
739.399		B	A		POINT
765.782		B	A		POINT
778.891		B	D		POINT
796.136		B	S		POINT
806.71		B	A		POINT
832.753		B	M		POINT
862.604		B	P		POINT
864.128		B	C		POINT
867.087		B	V		POINT
