Observation id	13-B				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/4-8/13-2-B.MTS				
					
Observation date	2016-08-23 21:46:32				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
6.091		F	V		START
20.55		F	V		STOP
20.551		F	T		START
31.884		F	T		STOP
31.885		F	V		START
38.482		F	V		STOP
38.483		F	T		START
53.278		F	T		STOP
53.279		F	V		START
73.233		F	V		STOP
73.234		F	T		START
94.291		F	T		STOP
94.292		F	V		START
97.421		B	A		POINT
106.301		F	V		STOP
106.302		F	T		START
111.204		F	T		STOP
111.205		F	V		START
116.784		B	P		POINT
122.449		F	V		STOP
122.45		F	T		START
139.106		F	T		STOP
139.107		F	V		START
157.04		B	R		POINT
157.466		B	A		POINT
186.89		B	A		POINT
186.927		B	R		POINT
244.304		B	A		POINT
244.466		B	R		POINT
255.551		B	A		POINT
256.146		B	P		POINT
256.905		F	V		STOP
256.906		F	T		START
266.038		F	T		STOP
266.039		F	V		START
333.928		F	V		STOP
333.929		F	T		START
339.76		B	A		POINT
342.721		B	A		POINT
359.127		B	P		POINT
381.949		B	A		POINT
383.894		F	T		STOP
383.895		F	V		START
391.423		B	M		POINT
401.145		B	M		POINT
420.0		B	D		POINT
448.911		F	V		STOP
448.912		F	T		START
462.61		B	S		POINT
465.656		B	R		POINT
475.632		B	S		POINT
482.226		F	T		STOP
482.227		F	V		START
506.151		B	A		POINT
528.306		B	D		POINT
558.827		F	V		STOP
558.828		F	T		START
569.985		F	T		STOP
569.986		F	V		START
593.743		F	V		STOP
593.744		F	T		START
598.56		F	T		STOP
598.561		F	V		START
