Observation id	12-A				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/3-8/12-2-A.MTS				
					
Observation date	2016-08-23 20:29:14				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
53.092		F	V		START
97.809		B	R		POINT
149.117		F	V		STOP
149.118		F	T		START
151.571		F	T		STOP
151.572		F	V		START
163.827		F	V		STOP
163.828		F	T		START
170.843		F	T		STOP
170.844		F	V		START
212.6		F	V		STOP
212.601		F	T		START
215.308		B	A		POINT
229.089		B	D		POINT
270.764		B	A		POINT
275.325		F	T		STOP
275.326		F	V		START
286.657		B	D		POINT
311.252		F	V		STOP
311.253		F	T		START
314.295		F	T		STOP
314.296		F	V		START
499.258		B	C		POINT
507.879		B	C		POINT
532.812		B	C		POINT
551.242		B	M		POINT
568.488		B	M		POINT
577.28		B	M		POINT
