1470237065001: 	action	mover	image-62	{"x":130,"y":335}
1470237065002: 	moved	image-62	to	{"x":130,"y":335}
1470237065010: 	action	mover	image-62	{"x":126,"y":335}
1470237065019: 	action	mover	image-62	{"x":122,"y":336}
1470237065020: 	moved	image-62	to	{"x":122,"y":336}
1470237065026: 	action	mover	image-62	{"x":120,"y":336}
1470237065027: 	moved	image-62	to	{"x":120,"y":336}
1470237065034: 	action	mover	image-62	{"x":117,"y":336}
1470237065035: 	moved	image-62	to	{"x":117,"y":336}
1470237065043: 	action	mover	image-62	{"x":115,"y":336}
1470237065044: 	moved	image-62	to	{"x":115,"y":336}
1470237065543: 	acted on	image-37
1470237065545: 	action	mover	image-37	{"x":164,"y":534}
1470237065546: 	start moving	image-37	from	{"x":80,"y":86}
1470237065602: 	action	mover	image-37	{"x":179,"y":522}
1470237065603: 	moved	image-37	to	{"x":179,"y":522}
1470237065609: 	action	mover	image-37	{"x":184,"y":519}
1470237065610: 	moved	image-37	to	{"x":184,"y":519}
1470237065618: 	action	mover	image-37	{"x":190,"y":515}
1470237065619: 	moved	image-37	to	{"x":190,"y":515}
1470237065626: 	action	mover	image-37	{"x":196,"y":512}
1470237065627: 	moved	image-37	to	{"x":196,"y":512}
1470237065634: 	action	mover	image-37	{"x":202,"y":510}
1470237065635: 	moved	image-37	to	{"x":202,"y":510}
1470237065643: 	action	mover	image-37	{"x":208,"y":507}
1470237065652: 	action	mover	image-37	{"x":215,"y":503}
1470237065659: 	action	mover	image-37	{"x":222,"y":499}
1470237065660: 	moved	image-37	to	{"x":222,"y":499}
1470237065667: 	action	mover	image-37	{"x":229,"y":494}
1470237065668: 	moved	image-37	to	{"x":229,"y":494}
1470237065677: 	action	mover	image-37	{"x":236,"y":490}
1470237065678: 	moved	image-37	to	{"x":236,"y":490}
1470237065685: 	action	mover	image-37	{"x":246,"y":484}
1470237065693: 	action	mover	image-37	{"x":252,"y":480}
1470237065701: 	action	mover	image-37	{"x":260,"y":475}
1470237065702: 	moved	image-37	to	{"x":260,"y":475}
1470237065710: 	action	mover	image-37	{"x":269,"y":469}
1470237065718: 	action	mover	image-37	{"x":277,"y":464}
1470237065719: 	moved	image-37	to	{"x":277,"y":464}
