1470235162006: 	acted on	shapes
1470236844834: 	acted on	sample
1470236846223: 	acted on	sample
1470236847177: 	acted on	sample
1470236852610: 	acted on	innerText
1470236852762: 	sub-instrument	start	shapes	true
1470236852778: 	activate	shapes
1470236853686: 	acted on	circle
1470236853784: 	sub-instrument	circle	shapes	true
1470236859352: 	shape started	{"x":997,"y":166}
1470236859354: 	shape continued	10	circle
1470236859565: 	shape continued	18	circle
1470236859573: 	shape continued	21	circle
1470236859581: 	shape continued	24	circle
1470236859589: 	shape continued	26	circle
1470236859599: 	shape continued	29	circle
1470236859607: 	shape continued	31	circle
1470236859614: 	shape continued	33	circle
1470236859622: 	shape continued	36	circle
1470236859629: 	shape continued	38	circle
1470236859638: 	shape continued	41	circle
1470236859646: 	shape continued	45	circle
1470236859655: 	shape continued	49	circle
1470236859663: 	shape continued	52	circle
1470236859671: 	shape continued	56	circle
1470236859679: 	shape continued	59	circle
1470236859687: 	shape continued	64	circle
1470236859697: 	shape continued	67	circle
1470236859705: 	shape continued	70	circle
1470236859712: 	shape continued	73	circle
1470236859721: 	shape continued	76	circle
1470236859729: 	shape continued	81	circle
1470236859739: 	shape continued	85	circle
1470236859747: 	shape continued	88	circle
1470236859754: 	shape continued	91	circle
1470236859762: 	shape continued	95	circle
1470236859771: 	shape continued	98	circle
1470236859780: 	shape continued	102	circle
1470236859787: 	shape continued	106	circle
1470236859797: 	shape continued	109	circle
1470236859805: 	shape continued	112	circle
1470236859812: 	shape continued	115	circle
1470236859821: 	shape continued	118	circle
1470236859829: 	shape continued	122	circle
1470236859837: 	shape continued	125	circle
1470236859846: 	shape continued	129	circle
1470236859854: 	shape continued	132	circle
1470236859863: 	shape continued	137	circle
1470236859871: 	shape continued	139	circle
1470236859880: 	shape continued	144	circle
1470236859888: 	shape continued	147	circle
1470236859897: 	shape continued	151	circle
1470236859905: 	shape continued	154	circle
1470236859912: 	shape continued	158	circle
1470236859922: 	shape continued	161	circle
1470236859930: 	shape continued	166	circle
1470236859937: 	shape continued	169	circle
1470236859947: 	shape continued	173	circle
1470236859955: 	shape continued	176	circle
1470236859962: 	shape continued	180	circle
1470236859971: 	shape continued	183	circle
1470236859979: 	shape continued	186	circle
1470236859987: 	shape continued	189	circle
1470236859996: 	shape continued	193	circle
1470236860004: 	shape continued	196	circle
1470236860012: 	shape continued	199	circle
1470236860022: 	shape continued	202	circle
1470236860029: 	shape continued	205	circle
1470236860038: 	shape continued	207	circle
1470236860046: 	shape continued	209	circle
1470236860054: 	shape continued	212	circle
1470236860062: 	shape continued	214	circle
1470236860072: 	shape continued	217	circle
1470236860081: 	shape continued	220	circle
1470236860088: 	shape continued	223	circle
1470236860097: 	shape continued	226	circle
1470236860104: 	shape continued	229	circle
1470236860114: 	shape continued	231	circle
1470236860122: 	shape continued	235	circle
1470236860130: 	shape continued	237	circle
1470236860139: 	shape continued	240	circle
1470236860146: 	shape continued	243	circle
1470236860154: 	shape continued	246	circle
1470236860163: 	shape continued	249	circle
1470236860172: 	shape continued	252	circle
1470236860180: 	shape continued	255	circle
1470236860189: 	shape continued	257	circle
1470236860197: 	shape continued	261	circle
1470236860205: 	shape continued	263	circle
1470236860212: 	shape continued	266	circle
1470236860221: 	shape continued	269	circle
1470236860229: 	shape continued	273	circle
1470236860237: 	shape continued	275	circle
1470236860247: 	shape continued	278	circle
1470236860254: 	shape continued	281	circle
1470236860262: 	shape continued	284	circle
1470236860273: 	shape continued	287	circle
1470236860280: 	shape continued	289	circle
1470236860287: 	shape continued	291	circle
1470236860297: 	shape continued	294	circle
1470236860305: 	shape continued	296	circle
1470236860313: 	shape continued	298	circle
1470236860322: 	shape continued	300	circle
1470236860330: 	shape continued	301	circle
1470236860338: 	shape continued	303	circle
1470236860348: 	shape continued	304	circle
1470236860356: 	shape continued	306	circle
1470236860363: 	shape continued	308	circle
1470236860371: 	shape continued	309	circle
1470236860380: 	shape continued	311	circle
1470236860387: 	shape continued	313	circle
1470236860397: 	shape continued	314	circle
1470236860404: 	shape continued	315	circle
1470236860412: 	shape continued	316	circle
1470236860422: 	shape continued	318	circle
1470236860430: 	shape continued	320	circle
1470236860439: 	shape continued	321	circle
1470236860447: 	shape continued	322	circle
1470236860454: 	shape continued	323	circle
1470236860463: 	shape continued	324	circle
1470236860479: 	shape continued	325	circle
1470236860488: 	shape continued	326	circle
1470236860504: 	shape continued	326	circle
1470236860639: 	shape continued	327	circle
1470236860756: 	shape continued	328	circle
1470236860847: 	shape continued	329	circle
1470236858763: 	acted on	innerText
1470236858827: 	sub-instrument	stop	shapes	false
1470236858835: 	deactivate	shapes
1470236877609: 	acted on	rectangle
1470236877680: 	sub-instrument	rectangle	shapes	false
1470236883443: 	acted on	innerText
1470236883514: 	sub-instrument	start	shapes	true
1470236883526: 	activate	shapes
1470236884440: 	acted on	rectangle
1470236884537: 	sub-instrument	rectangle	shapes	true
1470236888900: 	shape started	{"x":153,"y":259}
1470236888902: 	shape continued	10	rectangle
1470236889699: 	shape started	{"x":161,"y":264}
1470236889700: 	shape continued	10	rectangle
1470236889906: 	shape continued	15	rectangle
1470236889914: 	shape continued	17	rectangle
1470236889921: 	shape continued	19	rectangle
1470236889929: 	shape continued	21	rectangle
1470236889942: 	shape continued	23	rectangle
1470236889950: 	shape continued	25	rectangle
1470236889955: 	shape continued	27	rectangle
1470236889963: 	shape continued	28	rectangle
1470236889971: 	shape continued	30	rectangle
1470236889979: 	shape continued	32	rectangle
1470236889988: 	shape continued	33	rectangle
1470236889996: 	shape continued	35	rectangle
1470236890004: 	shape continued	37	rectangle
1470236890016: 	shape continued	38	rectangle
1470236890022: 	shape continued	39	rectangle
1470236890029: 	shape continued	41	rectangle
1470236890038: 	shape continued	43	rectangle
1470236890046: 	shape continued	44	rectangle
1470236890054: 	shape continued	46	rectangle
1470236890063: 	shape continued	47	rectangle
1470236890071: 	shape continued	49	rectangle
1470236890079: 	shape continued	50	rectangle
1470236890089: 	shape continued	52	rectangle
1470236890097: 	shape continued	53	rectangle
