1470140147280: 	moved	image-32	to	{"x":598,"y":228}
1470140147287: 	action	mover	image-32	{"x":597,"y":228}
1470140147288: 	moved	image-32	to	{"x":597,"y":228}
1470140147295: 	action	mover	image-32	{"x":594,"y":227}
1470140147296: 	moved	image-32	to	{"x":594,"y":227}
1470140147304: 	action	mover	image-32	{"x":592,"y":227}
1470140147305: 	moved	image-32	to	{"x":592,"y":227}
1470140147313: 	action	mover	image-32	{"x":590,"y":227}
1470140147314: 	moved	image-32	to	{"x":590,"y":227}
1470140147321: 	action	mover	image-32	{"x":589,"y":227}
1470140147322: 	moved	image-32	to	{"x":589,"y":227}
1470140147330: 	action	mover	image-32	{"x":588,"y":227}
1470140147331: 	moved	image-32	to	{"x":588,"y":227}
1470140147338: 	action	mover	image-32	{"x":587,"y":227}
1470140147339: 	moved	image-32	to	{"x":587,"y":227}
1470140147348: 	action	mover	image-32	{"x":586,"y":227}
1470140147353: 	action	mover	image-32	{"x":584,"y":227}
1470140147354: 	moved	image-32	to	{"x":584,"y":227}
1470140147370: 	action	mover	image-32	{"x":583,"y":227}
1470140147371: 	moved	image-32	to	{"x":583,"y":227}
1470140147379: 	action	mover	image-32	{"x":582,"y":228}
1470140147380: 	moved	image-32	to	{"x":582,"y":228}
1470140147388: 	action	mover	image-32	{"x":581,"y":228}
1470140147389: 	moved	image-32	to	{"x":581,"y":228}
1470140147395: 	action	mover	image-32	{"x":580,"y":228}
1470140147396: 	moved	image-32	to	{"x":580,"y":228}
1470140147414: 	action	mover	image-32	{"x":579,"y":228}
1470140147415: 	moved	image-32	to	{"x":579,"y":228}
1470140147429: 	action	mover	image-32	{"x":578,"y":228}
1470140147430: 	moved	image-32	to	{"x":578,"y":228}
1470140147471: 	action	mover	image-32	{"x":577,"y":228}
1470140147472: 	moved	image-32	to	{"x":577,"y":228}
1470140147588: 	action	mover	image-32	{"x":576,"y":228}
1470140147589: 	moved	image-32	to	{"x":576,"y":228}
1470140147646: 	action	mover	image-32	{"x":575,"y":228}
1470140147647: 	moved	image-32	to	{"x":575,"y":228}
1470140148721: 	acted on	image-51
1470140148724: 	action	mover	image-51	{"x":639,"y":506}
1470140148725: 	start moving	image-51	from	{"x":76,"y":75}
1470140149078: 	action	mover	image-51	{"x":649,"y":518}
1470140149079: 	moved	image-51	to	{"x":649,"y":518}
1470140149103: 	action	mover	image-51	{"x":650,"y":518}
1470140149104: 	moved	image-51	to	{"x":650,"y":518}
1470140149144: 	action	mover	image-51	{"x":651,"y":518}
1470140149145: 	moved	image-51	to	{"x":651,"y":518}
1470140149219: 	action	mover	image-51	{"x":652,"y":518}
1470140149220: 	moved	image-51	to	{"x":652,"y":518}
1470140149236: 	action	mover	image-51	{"x":653,"y":518}
1470140149237: 	moved	image-51	to	{"x":653,"y":518}
1470140149270: 	action	mover	image-51	{"x":654,"y":518}
1470140149271: 	moved	image-51	to	{"x":654,"y":518}
1470140149278: 	action	mover	image-51	{"x":655,"y":516}
1470140149285: 	action	mover	image-51	{"x":656,"y":514}
1470140149286: 	moved	image-51	to	{"x":656,"y":514}
1470140149304: 	action	mover	image-51	{"x":657,"y":513}
1470140149305: 	moved	image-51	to	{"x":657,"y":513}
1470140149320: 	action	mover	image-51	{"x":658,"y":512}
1470140149321: 	moved	image-51	to	{"x":658,"y":512}
1470140149337: 	action	mover	image-51	{"x":659,"y":511}
1470140149344: 	action	mover	image-51	{"x":659,"y":510}
1470140149345: 	moved	image-51	to	{"x":659,"y":510}
1470140149352: 	action	mover	image-51	{"x":660,"y":509}
1470140149353: 	moved	image-51	to	{"x":660,"y":509}
1470140149362: 	action	mover	image-51	{"x":661,"y":508}
1470140149363: 	moved	image-51	to	{"x":661,"y":508}
1470140149369: 	action	mover	image-51	{"x":661,"y":507}
1470140149370: 	moved	image-51	to	{"x":661,"y":507}
1470140149378: 	action	mover	image-51	{"x":662,"y":506}
1470140149379: 	moved	image-51	to	{"x":662,"y":506}
1470140149385: 	action	mover	image-51	{"x":663,"y":505}
1470140149386: 	moved	image-51	to	{"x":663,"y":505}
