1470151917867: 
1470153626787: 	acted on	outline
1470155473397: 	action	mover	image-33	{"x":934,"y":326}
1470155473398: 	moved	image-33	to	{"x":934,"y":326}
1470155473405: 	action	mover	image-33	{"x":940,"y":325}
1470155473406: 	moved	image-33	to	{"x":940,"y":325}
1470155473413: 	action	mover	image-33	{"x":947,"y":323}
1470155473421: 	action	mover	image-33	{"x":953,"y":321}
1470155473422: 	moved	image-33	to	{"x":953,"y":321}
1470155473429: 	action	mover	image-33	{"x":959,"y":318}
1470155473430: 	moved	image-33	to	{"x":959,"y":318}
1470155473438: 	action	mover	image-33	{"x":965,"y":316}
1470155473439: 	moved	image-33	to	{"x":965,"y":316}
1470155473446: 	action	mover	image-33	{"x":967,"y":313}
1470155473447: 	moved	image-33	to	{"x":967,"y":313}
1470155473455: 	action	mover	image-33	{"x":971,"y":310}
1470155473463: 	action	mover	image-33	{"x":974,"y":307}
1470155473464: 	moved	image-33	to	{"x":974,"y":307}
1470155473471: 	action	mover	image-33	{"x":977,"y":301}
1470155473472: 	moved	image-33	to	{"x":977,"y":301}
1470155473480: 	action	mover	image-33	{"x":977,"y":298}
1470155473481: 	moved	image-33	to	{"x":977,"y":298}
1470155473488: 	action	mover	image-33	{"x":978,"y":293}
1470155473489: 	moved	image-33	to	{"x":978,"y":293}
1470155473496: 	action	mover	image-33	{"x":977,"y":287}
1470155473497: 	moved	image-33	to	{"x":977,"y":287}
1470155473505: 	action	mover	image-33	{"x":976,"y":282}
1470155473506: 	moved	image-33	to	{"x":976,"y":282}
1470155473514: 	action	mover	image-33	{"x":973,"y":277}
1470155473515: 	moved	image-33	to	{"x":973,"y":277}
1470155473521: 	action	mover	image-33	{"x":970,"y":271}
1470155473522: 	moved	image-33	to	{"x":970,"y":271}
1470155473530: 	action	mover	image-33	{"x":966,"y":266}
1470155473531: 	moved	image-33	to	{"x":966,"y":266}
1470155473538: 	action	mover	image-33	{"x":962,"y":261}
1470155473539: 	moved	image-33	to	{"x":962,"y":261}
1470155473546: 	action	mover	image-33	{"x":957,"y":254}
1470155473555: 	action	mover	image-33	{"x":952,"y":249}
1470155473556: 	moved	image-33	to	{"x":952,"y":249}
1470155473563: 	action	mover	image-33	{"x":946,"y":243}
1470155473564: 	moved	image-33	to	{"x":946,"y":243}
1470155473571: 	action	mover	image-33	{"x":941,"y":237}
1470155473580: 	action	mover	image-33	{"x":936,"y":231}
1470155473581: 	moved	image-33	to	{"x":936,"y":231}
1470155473588: 	action	mover	image-33	{"x":932,"y":226}
1470155473596: 	action	mover	image-33	{"x":927,"y":221}
1470155473597: 	moved	image-33	to	{"x":927,"y":221}
1470155473604: 	action	mover	image-33	{"x":923,"y":213}
1470155473605: 	moved	image-33	to	{"x":923,"y":213}
1470155473613: 	action	mover	image-33	{"x":921,"y":208}
1470155473621: 	action	mover	image-33	{"x":919,"y":202}
1470155473634: 	action	mover	image-33	{"x":918,"y":196}
1470155473635: 	moved	image-33	to	{"x":918,"y":196}
1470155473639: 	action	mover	image-33	{"x":917,"y":189}
1470155473640: 	moved	image-33	to	{"x":917,"y":189}
1470155473649: 	action	mover	image-33	{"x":917,"y":184}
1470155473650: 	moved	image-33	to	{"x":917,"y":184}
1470155473655: 	action	mover	image-33	{"x":917,"y":178}
1470155473656: 	moved	image-33	to	{"x":917,"y":178}
1470155473663: 	action	mover	image-33	{"x":917,"y":173}
1470155473671: 	action	mover	image-33	{"x":919,"y":168}
1470155473680: 	action	mover	image-33	{"x":921,"y":163}
1470155473681: 	moved	image-33	to	{"x":921,"y":163}
1470155473688: 	action	mover	image-33	{"x":923,"y":159}
1470155473689: 	moved	image-33	to	{"x":923,"y":159}
1470155473696: 	action	mover	image-33	{"x":926,"y":154}
1470155473705: 	action	mover	image-33	{"x":930,"y":150}
1470155473712: 	action	mover	image-33	{"x":934,"y":145}
1470155473713: 	moved	image-33	to	{"x":934,"y":145}
1470155473722: 	action	mover	image-33	{"x":939,"y":142}
1470155473730: 	action	mover	image-33	{"x":943,"y":138}
1470155473731: 	moved	image-33	to	{"x":943,"y":138}
1470155473737: 	action	mover	image-33	{"x":947,"y":135}
1470155473738: 	moved	image-33	to	{"x":947,"y":135}
1470155473746: 	action	mover	image-33	{"x":952,"y":132}
1470155473755: 	action	mover	image-33	{"x":957,"y":129}
1470155473756: 	moved	image-33	to	{"x":957,"y":129}
1470155473762: 	action	mover	image-33	{"x":961,"y":127}
1470155473763: 	moved	image-33	to	{"x":961,"y":127}
1470155473771: 	action	mover	image-33	{"x":966,"y":125}
1470155473772: 	moved	image-33	to	{"x":966,"y":125}
1470155473780: 	action	mover	image-33	{"x":969,"y":122}
1470155473781: 	moved	image-33	to	{"x":969,"y":122}
1470155473789: 	action	mover	image-33	{"x":972,"y":121}
1470155473796: 	action	mover	image-33	{"x":975,"y":120}
1470155473797: 	moved	image-33	to	{"x":975,"y":120}
1470155473805: 	action	mover	image-33	{"x":979,"y":119}
1470155473812: 	action	mover	image-33	{"x":982,"y":117}
1470155473813: 	moved	image-33	to	{"x":982,"y":117}
1470155473820: 	action	mover	image-33	{"x":984,"y":116}
1470155473821: 	moved	image-33	to	{"x":984,"y":116}
1470155473830: 	action	mover	image-33	{"x":986,"y":115}
1470155473831: 	moved	image-33	to	{"x":986,"y":115}
1470155473838: 	action	mover	image-33	{"x":988,"y":115}
1470155473839: 	moved	image-33	to	{"x":988,"y":115}
1470155473846: 	action	mover	image-33	{"x":990,"y":114}
1470155473847: 	moved	image-33	to	{"x":990,"y":114}
1470155473855: 	action	mover	image-33	{"x":991,"y":114}
1470155473856: 	moved	image-33	to	{"x":991,"y":114}
1470155473871: 	action	mover	image-33	{"x":992,"y":114}
1470155473872: 	moved	image-33	to	{"x":992,"y":114}
1470155473880: 	action	mover	image-33	{"x":992,"y":115}
1470155473881: 	moved	image-33	to	{"x":992,"y":115}
1470155474539: 	acted on	image-74
1470155474540: 	action	mover	image-74	{"x":142,"y":33}
1470155474542: 	start moving	image-74	from	{"x":129,"y":25}
1470155474622: 	action	mover	image-74	{"x":144,"y":51}
