1470147025265: 	acted on	innerText
1470147025442: 	sub-instrument	start	draw	true
1470147025472: 	activate	draw
1470147028316: 	draw	image-5	{"x":33,"y":70}
1470147028412: 	draw	image-5	{"x":27,"y":84}
1470147028429: 	draw	image-5	{"x":27,"y":86}
1470147028437: 	draw	image-5	{"x":28,"y":87}
1470147028444: 	draw	image-5	{"x":29,"y":88}
1470147028453: 	draw	image-5	{"x":30,"y":89}
1470147028462: 	draw	image-5	{"x":31,"y":90}
1470147028470: 	draw	image-5	{"x":33,"y":90}
1470147028477: 	draw	image-5	{"x":35,"y":91}
1470147028487: 	draw	image-5	{"x":38,"y":91}
1470147028496: 	draw	image-5	{"x":41,"y":91}
1470147028503: 	draw	image-5	{"x":43,"y":90}
1470147028511: 	draw	image-5	{"x":45,"y":89}
1470147028519: 	draw	image-5	{"x":48,"y":88}
1470147028529: 	draw	image-5	{"x":49,"y":87}
1470147028536: 	draw	image-5	{"x":52,"y":85}
1470147028544: 	draw	image-5	{"x":53,"y":84}
1470147028552: 	draw	image-5	{"x":54,"y":82}
1470147028562: 	draw	image-5	{"x":55,"y":80}
1470147028570: 	draw	image-5	{"x":56,"y":78}
1470147028578: 	draw	image-5	{"x":56,"y":75}
1470147028586: 	draw	image-5	{"x":56,"y":74}
1470147028594: 	draw	image-5	{"x":56,"y":73}
1470147028602: 	draw	image-5	{"x":55,"y":72}
1470147028612: 	draw	image-5	{"x":54,"y":70}
1470147028619: 	draw	image-5	{"x":54,"y":69}
1470147028627: 	draw	image-5	{"x":52,"y":68}
1470147028636: 	draw	image-5	{"x":50,"y":66}
1470147028644: 	draw	image-5	{"x":47,"y":66}
1470147028652: 	draw	image-5	{"x":44,"y":65}
1470147028661: 	draw	image-5	{"x":41,"y":66}
1470147028670: 	draw	image-5	{"x":38,"y":66}
1470147028677: 	draw	image-5	{"x":35,"y":67}
1470147028686: 	draw	image-5	{"x":33,"y":68}
1470147028694: 	draw	image-5	{"x":31,"y":69}
1470147028703: 	draw	image-5	{"x":29,"y":70}
1470147028711: 	draw	image-5	{"x":27,"y":72}
1470147028728: 	draw	image-5	{"x":26,"y":74}
1470147028736: 	draw	image-5	{"x":25,"y":77}
1470147028743: 	draw	image-5	{"x":25,"y":79}
1470147028752: 	draw	image-5	{"x":25,"y":80}
1470147028761: 	draw	image-5	{"x":25,"y":83}
1470147028769: 	draw	image-5	{"x":26,"y":84}
1470147028777: 	draw	image-5	{"x":28,"y":87}
1470147028786: 	draw	image-5	{"x":29,"y":89}
1470147028795: 	draw	image-5	{"x":31,"y":90}
1470147028802: 	draw	image-5	{"x":33,"y":91}
1470147028811: 	draw	image-5	{"x":35,"y":92}
1470147028819: 	draw	image-5	{"x":37,"y":92}
1470147028827: 	draw	image-5	{"x":39,"y":92}
1470147028836: 	draw	image-5	{"x":41,"y":92}
1470147028844: 	draw	image-5	{"x":42,"y":91}
1470147028852: 	draw	image-5	{"x":44,"y":91}
1470147028861: 	draw	image-5	{"x":46,"y":89}
1470147028869: 	draw	image-5	{"x":48,"y":87}
1470147028877: 	draw	image-5	{"x":49,"y":85}
