1470149595080: 	acted on	innerText
1470149595163: 	sub-instrument	start	draw	true
1470149595164: 	activate	draw
1470149595757: 	draw	image-5	{"x":35,"y":78}
1470149595879: 	draw	image-5	{"x":42,"y":92}
1470149595887: 	draw	image-5	{"x":44,"y":91}
1470149595894: 	draw	image-5	{"x":47,"y":89}
1470149595904: 	draw	image-5	{"x":48,"y":88}
1470149595913: 	draw	image-5	{"x":50,"y":86}
1470149595919: 	draw	image-5	{"x":51,"y":84}
1470149595928: 	draw	image-5	{"x":52,"y":81}
1470149595936: 	draw	image-5	{"x":52,"y":79}
1470149595944: 	draw	image-5	{"x":52,"y":77}
1470149595954: 	draw	image-5	{"x":52,"y":74}
1470149595961: 	draw	image-5	{"x":51,"y":73}
1470149595969: 	draw	image-5	{"x":50,"y":71}
1470149595980: 	draw	image-5	{"x":49,"y":70}
1470149595986: 	draw	image-5	{"x":48,"y":69}
1470149595994: 	draw	image-5	{"x":47,"y":68}
1470149596003: 	draw	image-5	{"x":45,"y":68}
1470149596011: 	draw	image-5	{"x":43,"y":67}
1470149596019: 	draw	image-5	{"x":40,"y":67}
1470149596028: 	draw	image-5	{"x":38,"y":68}
1470149596036: 	draw	image-5	{"x":36,"y":69}
1470149596045: 	draw	image-5	{"x":34,"y":70}
1470149596055: 	draw	image-5	{"x":32,"y":72}
1470149596061: 	draw	image-5	{"x":30,"y":74}
1470149596069: 	draw	image-5	{"x":29,"y":76}
1470149596078: 	draw	image-5	{"x":28,"y":79}
1470149596086: 	draw	image-5	{"x":28,"y":81}
1470149596094: 	draw	image-5	{"x":28,"y":82}
1470149596103: 	draw	image-5	{"x":28,"y":84}
1470149596112: 	draw	image-5	{"x":29,"y":86}
1470149596119: 	draw	image-5	{"x":30,"y":88}
1470149596128: 	draw	image-5	{"x":32,"y":89}
1470149596136: 	draw	image-5	{"x":34,"y":90}
1470149596144: 	draw	image-5	{"x":35,"y":90}
1470149596153: 	draw	image-5	{"x":36,"y":90}
1470149596162: 	draw	image-5	{"x":39,"y":90}
1470149596170: 	draw	image-5	{"x":41,"y":88}
1470149596178: 	draw	image-5	{"x":43,"y":84}
1470149596186: 	draw	image-5	{"x":45,"y":81}
1470149596194: 	draw	image-5	{"x":46,"y":77}
1470149596203: 	draw	image-5	{"x":46,"y":73}
1470149596211: 	draw	image-5	{"x":47,"y":69}
1470149596219: 	draw	image-5	{"x":47,"y":66}
1470149596228: 	draw	image-5	{"x":47,"y":63}
1470149596237: 	draw	image-5	{"x":47,"y":62}
1470149596244: 	draw	image-5	{"x":46,"y":60}
1470149596253: 	draw	image-5	{"x":45,"y":60}
1470149596261: 	draw	image-5	{"x":44,"y":59}
1470149596269: 	draw	image-5	{"x":41,"y":59}
1470149596279: 	draw	image-5	{"x":36,"y":60}
1470149596292: 	draw	image-5	{"x":31,"y":63}
1470149596303: 	draw	image-5	{"x":24,"y":69}
1470149596312: 	draw	image-5	{"x":22,"y":71}
1470149596319: 	draw	image-5	{"x":20,"y":75}
1470149596329: 	draw	image-5	{"x":19,"y":78}
1470149596336: 	draw	image-5	{"x":19,"y":81}
1470149596344: 	draw	image-5	{"x":20,"y":83}
1470149596353: 	draw	image-5	{"x":22,"y":86}
1470149596506: 	draw	image-5	{"x":66,"y":96}
1470149596563: 	draw	image-5	{"x":64,"y":112}
1470149596579: 	draw	image-5	{"x":68,"y":117}
1470149596586: 	draw	image-5	{"x":71,"y":118}
1470149596594: 	draw	image-5	{"x":73,"y":120}
1470149596603: 	draw	image-5	{"x":76,"y":120}
1470149596611: 	draw	image-5	{"x":78,"y":121}
1470149596619: 	draw	image-5	{"x":81,"y":120}
1470149596628: 	draw	image-5	{"x":83,"y":119}
1470149596636: 	draw	image-5	{"x":86,"y":118}
1470149596644: 	draw	image-5	{"x":88,"y":115}
1470149596654: 	draw	image-5	{"x":89,"y":111}
1470149596662: 	draw	image-5	{"x":90,"y":106}
1470149596669: 	draw	image-5	{"x":90,"y":103}
1470149596678: 	draw	image-5	{"x":88,"y":99}
1470149596686: 	draw	image-5	{"x":86,"y":94}
1470149596694: 	draw	image-5	{"x":84,"y":92}
1470149596703: 	draw	image-5	{"x":81,"y":90}
1470149596711: 	draw	image-5	{"x":77,"y":88}
1470149596720: 	draw	image-5	{"x":74,"y":88}
1470149596728: 	draw	image-5	{"x":70,"y":89}
1470149596736: 	draw	image-5	{"x":65,"y":91}
1470149596744: 	draw	image-5	{"x":61,"y":94}
1470149596754: 	draw	image-5	{"x":57,"y":97}
1470149596762: 	draw	image-5	{"x":55,"y":100}
1470149596769: 	draw	image-5	{"x":53,"y":102}
1470149596778: 	draw	image-5	{"x":52,"y":105}
1470149596786: 	draw	image-5	{"x":51,"y":109}
1470149596794: 	draw	image-5	{"x":51,"y":112}
1470149596804: 	draw	image-5	{"x":51,"y":115}
1470149596811: 	draw	image-5	{"x":52,"y":117}
1470149596819: 	draw	image-5	{"x":54,"y":119}
1470149596831: 	draw	image-5	{"x":57,"y":121}
1470149596845: 	draw	image-5	{"x":63,"y":124}
