1470735748291: 	acted on	innerText
1470735748414: 	sub-instrument	start	mover	true
1470735752444: 	moved	image-80	to	{"x":983,"y":163}
1470735752452: 	action	mover	image-80	{"x":978,"y":165}
1470735752453: 	moved	image-80	to	{"x":978,"y":165}
1470735752460: 	action	mover	image-80	{"x":973,"y":169}
1470735752461: 	moved	image-80	to	{"x":973,"y":169}
1470735767753: 	acted on	image-57
1470735767754: 	action	mover	image-57	{"x":150,"y":488}
1470735767756: 	start moving	image-57	from	{"x":79,"y":90}
1470735767812: 	action	mover	image-57	{"x":162,"y":477}
1470735767813: 	moved	image-57	to	{"x":162,"y":477}
1470735767818: 	action	mover	image-57	{"x":165,"y":474}
1470735767819: 	moved	image-57	to	{"x":165,"y":474}
1470735767827: 	action	mover	image-57	{"x":171,"y":470}
1470735767828: 	moved	image-57	to	{"x":171,"y":470}
1470735767836: 	action	mover	image-57	{"x":176,"y":465}
1470735767837: 	moved	image-57	to	{"x":176,"y":465}
1470735767843: 	action	mover	image-57	{"x":180,"y":461}
1470735767844: 	moved	image-57	to	{"x":180,"y":461}
1470735767851: 	action	mover	image-57	{"x":185,"y":456}
1470735767852: 	moved	image-57	to	{"x":185,"y":456}
1470735767862: 	action	mover	image-57	{"x":191,"y":450}
1470735767869: 	action	mover	image-57	{"x":196,"y":446}
1470735767876: 	action	mover	image-57	{"x":203,"y":440}
1470735767877: 	moved	image-57	to	{"x":203,"y":440}
1470735767887: 	action	mover	image-57	{"x":208,"y":435}
1470735767888: 	moved	image-57	to	{"x":208,"y":435}
1470735767894: 	action	mover	image-57	{"x":213,"y":430}
1470735767895: 	moved	image-57	to	{"x":213,"y":430}
1470735767902: 	action	mover	image-57	{"x":219,"y":423}
1470735767910: 	action	mover	image-57	{"x":228,"y":413}
1470735767911: 	moved	image-57	to	{"x":228,"y":413}
1470735767919: 	action	mover	image-57	{"x":232,"y":411}
1470735767927: 	action	mover	image-57	{"x":239,"y":403}
1470735767936: 	action	mover	image-57	{"x":243,"y":399}
1470735767937: 	moved	image-57	to	{"x":243,"y":399}
1470735767943: 	action	mover	image-57	{"x":248,"y":394}
1470735767944: 	moved	image-57	to	{"x":248,"y":394}
1470735767953: 	action	mover	image-57	{"x":256,"y":387}
1470735767962: 	action	mover	image-57	{"x":260,"y":383}
1470735767969: 	action	mover	image-57	{"x":265,"y":378}
1470735767977: 	action	mover	image-57	{"x":269,"y":374}
