1470734535287	2016-08-09 11-22-15.287	acted	on	innerText
1470734536201	2016-08-09 11-22-16.201	acted	on	innerText
1470734536292	2016-08-09 11-22-16.292	sub-instrument	start	mover	true
1470734536302	2016-08-09 11-22-16.302	activate	mover
1470734546846	2016-08-09 11-22-26.846	acted	on	image-25
1470734546849	2016-08-09 11-22-26.849	action	mover	image-25	{"x":154,"y":472}
1470734546852	2016-08-09 11-22-26.852	start	moving	image-25	from	{"x":66,"y":104}
1470734546945	2016-08-09 11-22-26.945	action	mover	image-25	{"x":165,"y":460}
1470734546946	2016-08-09 11-22-26.946	moved	image-25	to	{"x":165,"y":460}
1470734546952	2016-08-09 11-22-26.952	action	mover	image-25	{"x":167,"y":459}
1470734546953	2016-08-09 11-22-26.953	moved	image-25	to	{"x":167,"y":459}
1470734546960	2016-08-09 11-22-26.960	action	mover	image-25	{"x":168,"y":458}
1470734546961	2016-08-09 11-22-26.961	moved	image-25	to	{"x":168,"y":458}
1470734546968	2016-08-09 11-22-26.968	action	mover	image-25	{"x":170,"y":457}
1470734546977	2016-08-09 11-22-26.977	action	mover	image-25	{"x":172,"y":456}
1470734546986	2016-08-09 11-22-26.986	action	mover	image-25	{"x":174,"y":455}
1470734546994	2016-08-09 11-22-26.994	action	mover	image-25	{"x":175,"y":455}
1470734547002	2016-08-09 11-22-27.002	action	mover	image-25	{"x":177,"y":453}
1470734547003	2016-08-09 11-22-27.003	moved	image-25	to	{"x":177,"y":453}
1470734547010	2016-08-09 11-22-27.010	action	mover	image-25	{"x":178,"y":452}
1470734547011	2016-08-09 11-22-27.011	moved	image-25	to	{"x":178,"y":452}
1470734547018	2016-08-09 11-22-27.018	action	mover	image-25	{"x":179,"y":452}
1470734547019	2016-08-09 11-22-27.019	moved	image-25	to	{"x":179,"y":452}
1470734547028	2016-08-09 11-22-27.028	action	mover	image-25	{"x":181,"y":451}
1470734547029	2016-08-09 11-22-27.029	moved	image-25	to	{"x":181,"y":451}
1470734547036	2016-08-09 11-22-27.036	action	mover	image-25	{"x":181,"y":450}
1470734547037	2016-08-09 11-22-27.037	moved	image-25	to	{"x":181,"y":450}
1470734547045	2016-08-09 11-22-27.045	action	mover	image-25	{"x":183,"y":449}
1470734547046	2016-08-09 11-22-27.046	moved	image-25	to	{"x":183,"y":449}
1470734547053	2016-08-09 11-22-27.053	action	mover	image-25	{"x":184,"y":448}
1470734547054	2016-08-09 11-22-27.054	moved	image-25	to	{"x":184,"y":448}
1470734547069	2016-08-09 11-22-27.069	action	mover	image-25	{"x":185,"y":447}
1470734547070	2016-08-09 11-22-27.070	moved	image-25	to	{"x":185,"y":447}
1470734547078	2016-08-09 11-22-27.078	action	mover	image-25	{"x":186,"y":446}
1470734547087	2016-08-09 11-22-27.087	action	mover	image-25	{"x":187,"y":445}
1470734547094	2016-08-09 11-22-27.094	action	mover	image-25	{"x":188,"y":444}
1470734547095	2016-08-09 11-22-27.095	moved	image-25	to	{"x":188,"y":444}
1470734547102	2016-08-09 11-22-27.102	action	mover	image-25	{"x":190,"y":442}
1470734547103	2016-08-09 11-22-27.103	moved	image-25	to	{"x":190,"y":442}
1470734547119	2016-08-09 11-22-27.119	action	mover	image-25	{"x":191,"y":441}
1470734547120	2016-08-09 11-22-27.120	moved	image-25	to	{"x":191,"y":441}
1470734547128	2016-08-09 11-22-27.128	action	mover	image-25	{"x":192,"y":440}
1470734547135	2016-08-09 11-22-27.135	action	mover	image-25	{"x":193,"y":439}
1470734547136	2016-08-09 11-22-27.136	moved	image-25	to	{"x":193,"y":439}
1470734547144	2016-08-09 11-22-27.144	action	mover	image-25	{"x":194,"y":438}
1470734547152	2016-08-09 11-22-27.152	action	mover	image-25	{"x":195,"y":437}
1470734547153	2016-08-09 11-22-27.153	moved	image-25	to	{"x":195,"y":437}
1470734547160	2016-08-09 11-22-27.160	action	mover	image-25	{"x":196,"y":436}
1470734547161	2016-08-09 11-22-27.161	moved	image-25	to	{"x":196,"y":436}
1470734547168	2016-08-09 11-22-27.168	action	mover	image-25	{"x":196,"y":435}
1470734547169	2016-08-09 11-22-27.169	moved	image-25	to	{"x":196,"y":435}
1470734547178	2016-08-09 11-22-27.178	action	mover	image-25	{"x":198,"y":434}
1470734547185	2016-08-09 11-22-27.185	action	mover	image-25	{"x":198,"y":433}
1470734547186	2016-08-09 11-22-27.186	moved	image-25	to	{"x":198,"y":433}
1470734547193	2016-08-09 11-22-27.193	action	mover	image-25	{"x":200,"y":431}
