1469813532941: 
1469813586784: 
1469813599281: 
1469813608163: 
1469817251052: 
1469817333088: 	acted on	outline
1469817335926: 	acted on	innerText
1469817336009: 	sub-instrument	start	mover	true
1469817336752: 	action	mover	image-5	{"x":301,"y":243}
1469817336752: 	moved	image-5	to	{"x":301,"y":243}
1469817336766: 	action	mover	image-5	{"x":318,"y":254}
1469817336767: 	action	mover	image-5	{"x":318,"y":254}
1469817336767: 	moved	image-5	to	{"x":318,"y":254}
1469817336768: 	moved	image-5	to	{"x":318,"y":254}
1469817336769: 	action	mover	image-5	{"x":318,"y":254}
1469817336769: 	moved	image-5	to	{"x":318,"y":254}
1469817336770: 	action	mover	image-5	{"x":318,"y":254}
1469817336771: 	moved	image-5	to	{"x":318,"y":254}
1469817336780: 	action	mover	image-5	{"x":336,"y":266}
1469817336781: 	moved	image-5	to	{"x":336,"y":266}
1469817336782: 	action	mover	image-5	{"x":336,"y":266}
1469817336782: 	moved	image-5	to	{"x":336,"y":266}
1469817336783: 	action	mover	image-5	{"x":336,"y":266}
1469817336783: 	moved	image-5	to	{"x":336,"y":266}
1469817336784: 	action	mover	image-5	{"x":336,"y":266}
1469817336785: 	moved	image-5	to	{"x":336,"y":266}
1469817336798: 	action	mover	image-5	{"x":353,"y":277}
1469817336799: 	action	mover	image-5	{"x":353,"y":277}
1469817336799: 	moved	image-5	to	{"x":353,"y":277}
1469817336800: 	moved	image-5	to	{"x":353,"y":277}
1469817336801: 	action	mover	image-5	{"x":353,"y":277}
1469817336801: 	moved	image-5	to	{"x":353,"y":277}
1469817336802: 	action	mover	image-5	{"x":353,"y":277}
1469817336803: 	moved	image-5	to	{"x":353,"y":277}
1469817336815: 	action	mover	image-5	{"x":370,"y":288}
1469817336816: 	action	mover	image-5	{"x":370,"y":288}
1469817336816: 	moved	image-5	to	{"x":370,"y":288}
1469817336817: 	moved	image-5	to	{"x":370,"y":288}
1469817336819: 	action	mover	image-5	{"x":370,"y":288}
1469817336820: 	action	mover	image-5	{"x":370,"y":288}
1469817336820: 	moved	image-5	to	{"x":370,"y":288}
1469817336821: 	moved	image-5	to	{"x":370,"y":288}
1469817336831: 	action	mover	image-5	{"x":389,"y":299}
1469817336831: 	moved	image-5	to	{"x":389,"y":299}
1469817336832: 	action	mover	image-5	{"x":389,"y":299}
1469817336833: 	action	mover	image-5	{"x":389,"y":299}
1469817336833: 	moved	image-5	to	{"x":389,"y":299}
1469817336834: 	moved	image-5	to	{"x":389,"y":299}
1469817336835: 	action	mover	image-5	{"x":389,"y":299}
1469817336835: 	moved	image-5	to	{"x":389,"y":299}
1469817336849: 	action	mover	image-5	{"x":411,"y":312}
1469817336849: 	moved	image-5	to	{"x":411,"y":312}
1469817336850: 	action	mover	image-5	{"x":411,"y":312}
1469817336851: 	action	mover	image-5	{"x":411,"y":312}
1469817336851: 	moved	image-5	to	{"x":411,"y":312}
1469817336852: 	moved	image-5	to	{"x":411,"y":312}
1469817336853: 	action	mover	image-5	{"x":411,"y":312}
1469817336853: 	moved	image-5	to	{"x":411,"y":312}
1469817336865: 	action	mover	image-5	{"x":432,"y":321}
1469817336866: 	action	mover	image-5	{"x":432,"y":321}
1469817336866: 	moved	image-5	to	{"x":432,"y":321}
1469817336867: 	moved	image-5	to	{"x":432,"y":321}
1469817336868: 	action	mover	image-5	{"x":432,"y":321}
1469817336868: 	moved	image-5	to	{"x":432,"y":321}
1469817336870: 	action	mover	image-5	{"x":432,"y":321}
1469817336871: 	moved	image-5	to	{"x":432,"y":321}
1469817336882: 	action	mover	image-5	{"x":453,"y":331}
1469817336883: 	action	mover	image-5	{"x":453,"y":331}
1469817336883: 	moved	image-5	to	{"x":453,"y":331}
1469817336884: 	moved	image-5	to	{"x":453,"y":331}
1469817336885: 	action	mover	image-5	{"x":453,"y":331}
1469817336885: 	moved	image-5	to	{"x":453,"y":331}
1469817336886: 	action	mover	image-5	{"x":453,"y":331}
1469817336887: 	moved	image-5	to	{"x":453,"y":331}
1469817336898: 	action	mover	image-5	{"x":473,"y":341}
1469817336899: 	moved	image-5	to	{"x":473,"y":341}
1469817336900: 	action	mover	image-5	{"x":473,"y":341}
1469817336901: 	moved	image-5	to	{"x":473,"y":341}
1469817336902: 	action	mover	image-5	{"x":473,"y":341}
1469817336902: 	moved	image-5	to	{"x":473,"y":341}
1469817336903: 	action	mover	image-5	{"x":473,"y":341}
1469817336904: 	moved	image-5	to	{"x":473,"y":341}
1469817336916: 	action	mover	image-5	{"x":493,"y":350}
1469817336917: 	moved	image-5	to	{"x":493,"y":350}
1469817336918: 	action	mover	image-5	{"x":493,"y":350}
1469817336918: 	moved	image-5	to	{"x":493,"y":350}
1469817336919: 	action	mover	image-5	{"x":493,"y":350}
1469817336920: 	moved	image-5	to	{"x":493,"y":350}
1469817336921: 	action	mover	image-5	{"x":493,"y":350}
1469817336921: 	moved	image-5	to	{"x":493,"y":350}
1469817336932: 	action	mover	image-5	{"x":513,"y":356}
1469817336933: 	action	mover	image-5	{"x":513,"y":356}
1469817336933: 	moved	image-5	to	{"x":513,"y":356}
1469817336934: 	action	mover	image-5	{"x":513,"y":356}
1469817336934: 	moved	image-5	to	{"x":513,"y":356}
1469817336935: 	moved	image-5	to	{"x":513,"y":356}
1469817336936: 	action	mover	image-5	{"x":513,"y":356}
1469817336936: 	moved	image-5	to	{"x":513,"y":356}
1469817336948: 	action	mover	image-5	{"x":530,"y":361}
1469817336949: 	moved	image-5	to	{"x":530,"y":361}
1469817336950: 	action	mover	image-5	{"x":530,"y":361}
1469817336951: 	action	mover	image-5	{"x":530,"y":361}
1469817336951: 	moved	image-5	to	{"x":530,"y":361}
1469817336952: 	moved	image-5	to	{"x":530,"y":361}
1469817336953: 	action	mover	image-5	{"x":530,"y":361}
1469817336953: 	moved	image-5	to	{"x":530,"y":361}
1469817336966: 	action	mover	image-5	{"x":547,"y":367}
