1470046547443: 	acted on	innerText
1470046547533: 	sub-instrument	start	draw	true
1470046547535: 	activate	draw
1470046550775: 	acted on	sample
1470046593797: 	draw	image-56	{"x":217.5,"y":763.5}
1470046593807: 	draw	image-56	{"x":219.5,"y":761.5}
1470046593814: 	draw	image-56	{"x":220.5,"y":760.5}
1470046593823: 	draw	image-56	{"x":222.5,"y":757.5}
1470046593831: 	draw	image-56	{"x":223.5,"y":756.5}
1470046593840: 	draw	image-56	{"x":224.5,"y":751.5}
1470046593847: 	draw	image-56	{"x":225.5,"y":749.5}
1470046593857: 	draw	image-56	{"x":226.5,"y":745.5}
1470046593864: 	draw	image-56	{"x":226.5,"y":744.5}
1470046593872: 	draw	image-56	{"x":226.5,"y":741.5}
1470046593881: 	draw	image-56	{"x":226.5,"y":739.5}
1470046593889: 	draw	image-56	{"x":227.5,"y":736.5}
1470046593897: 	draw	image-56	{"x":227.5,"y":733.5}
1470046593906: 	draw	image-56	{"x":227.5,"y":730.5}
1470046593915: 	draw	image-56	{"x":227.5,"y":727.5}
1470046593923: 	draw	image-56	{"x":227.5,"y":725.5}
1470046593932: 	draw	image-56	{"x":227.5,"y":721.5}
1470046593939: 	draw	image-56	{"x":226.5,"y":719.5}
1470046593947: 	draw	image-56	{"x":226.5,"y":715.5}
1470046593956: 	draw	image-56	{"x":226.5,"y":714.5}
1470046593964: 	draw	image-56	{"x":225.5,"y":712.5}
1470046593982: 	draw	image-56	{"x":225.5,"y":710.5}
1470046593998: 	draw	image-56	{"x":225.5,"y":709.5}
1470046594032: 	draw	image-56	{"x":225.5,"y":708.5}
1470046594082: 	draw	image-56	{"x":225.5,"y":709.5}
1470046594333: 	draw	image-56	{"x":261.5,"y":753.5}
1470046594465: 	draw	image-56	{"x":263.5,"y":736.5}
1470046594472: 	draw	image-56	{"x":263.5,"y":734.5}
1470046594481: 	draw	image-56	{"x":263.5,"y":732.5}
1470046594489: 	draw	image-56	{"x":264.5,"y":728.5}
1470046594497: 	draw	image-56	{"x":264.5,"y":726.5}
1470046594506: 	draw	image-56	{"x":265.5,"y":722.5}
1470046594515: 	draw	image-56	{"x":265.5,"y":718.5}
1470046594522: 	draw	image-56	{"x":265.5,"y":715.5}
1470046594532: 	draw	image-56	{"x":265.5,"y":712.5}
1470046594539: 	draw	image-56	{"x":266.5,"y":710.5}
1470046594547: 	draw	image-56	{"x":266.5,"y":708.5}
1470046594556: 	draw	image-56	{"x":266.5,"y":706.5}
1470046594564: 	draw	image-56	{"x":267.5,"y":704.5}
1470046594572: 	draw	image-56	{"x":267.5,"y":702.5}
1470046594582: 	draw	image-56	{"x":268.5,"y":701.5}
1470046594589: 	draw	image-56	{"x":268.5,"y":700.5}
1470046594597: 	draw	image-56	{"x":268.5,"y":699.5}
1470046594614: 	draw	image-56	{"x":268.5,"y":698.5}
1470046594632: 	draw	image-56	{"x":269.5,"y":698.5}
1470046594707: 	draw	image-56	{"x":270.5,"y":700.5}
1470046594714: 	draw	image-56	{"x":272.5,"y":705.5}
1470046594722: 	draw	image-56	{"x":274.5,"y":709.5}
1470046594731: 	draw	image-56	{"x":276.5,"y":712.5}
1470046594740: 	draw	image-56	{"x":278.5,"y":715.5}
1470046594747: 	draw	image-56	{"x":280.5,"y":719.5}
1470046594757: 	draw	image-56	{"x":282.5,"y":722.5}
1470046594766: 	draw	image-56	{"x":284.5,"y":725.5}
1470046594772: 	draw	image-56	{"x":285.5,"y":729.5}
1470046594781: 	draw	image-56	{"x":286.5,"y":733.5}
1470046594789: 	draw	image-56	{"x":287.5,"y":735.5}
1470046594797: 	draw	image-56	{"x":288.5,"y":737.5}
1470046594806: 	draw	image-56	{"x":289.5,"y":739.5}
1470046594814: 	draw	image-56	{"x":290.5,"y":741.5}
1470046594823: 	draw	image-56	{"x":291.5,"y":742.5}
1470046594831: 	draw	image-56	{"x":292.5,"y":744.5}
1470046594839: 	draw	image-56	{"x":292.5,"y":745.5}
1470046594846: 	draw	image-56	{"x":293.5,"y":746.5}
1470046594872: 	draw	image-56	{"x":293.5,"y":747.5}
1470046594897: 	draw	image-56	{"x":293.5,"y":746.5}
1470046594922: 	draw	image-56	{"x":294.5,"y":746.5}
1470046594931: 	draw	image-56	{"x":295.5,"y":743.5}
1470046594939: 	draw	image-56	{"x":296.5,"y":740.5}
1470046594947: 	draw	image-56	{"x":297.5,"y":737.5}
1470046594956: 	draw	image-56	{"x":297.5,"y":733.5}
1470046594964: 	draw	image-56	{"x":297.5,"y":729.5}
1470046594972: 	draw	image-56	{"x":298.5,"y":727.5}
1470046594981: 	draw	image-56	{"x":298.5,"y":723.5}
1470046594988: 	draw	image-56	{"x":299.5,"y":721.5}
1470046594997: 	draw	image-56	{"x":300.5,"y":717.5}
1470046595006: 	draw	image-56	{"x":301.5,"y":714.5}
1470046595014: 	draw	image-56	{"x":302.5,"y":710.5}
1470046595022: 	draw	image-56	{"x":302.5,"y":709.5}
1470046595032: 	draw	image-56	{"x":303.5,"y":707.5}
1470046595040: 	draw	image-56	{"x":304.5,"y":705.5}
1470046595047: 	draw	image-56	{"x":305.5,"y":703.5}
1470046595056: 	draw	image-56	{"x":306.5,"y":702.5}
1470046595064: 	draw	image-56	{"x":307.5,"y":701.5}
1470046595072: 	draw	image-56	{"x":308.5,"y":700.5}
1470046595081: 	draw	image-56	{"x":308.5,"y":699.5}
1470046595089: 	draw	image-56	{"x":309.5,"y":698.5}
1470046595107: 	draw	image-56	{"x":310.5,"y":698.5}
1470046595114: 	draw	image-56	{"x":310.5,"y":697.5}
1470046595122: 	draw	image-56	{"x":310.5,"y":698.5}
1470046595139: 	draw	image-56	{"x":311.5,"y":698.5}
1470046595157: 	draw	image-56	{"x":313.5,"y":700.5}
1470046595164: 	draw	image-56	{"x":315.5,"y":702.5}
1470046595172: 	draw	image-56	{"x":316.5,"y":706.5}
1470046595181: 	draw	image-56	{"x":317.5,"y":709.5}
1470046595190: 	draw	image-56	{"x":318.5,"y":712.5}
1470046595197: 	draw	image-56	{"x":319.5,"y":716.5}
1470046595206: 	draw	image-56	{"x":320.5,"y":719.5}
1470046595214: 	draw	image-56	{"x":321.5,"y":723.5}
1470046595222: 	draw	image-56	{"x":322.5,"y":726.5}
1470046595231: 	draw	image-56	{"x":322.5,"y":730.5}
1470046595239: 	draw	image-56	{"x":323.5,"y":734.5}
1470046595247: 	draw	image-56	{"x":324.5,"y":737.5}
1470046595264: 	draw	image-56	{"x":324.5,"y":740.5}
1470046595276: 	draw	image-56	{"x":325.5,"y":746.5}
1470046595289: 	draw	image-56	{"x":326.5,"y":749.5}
1470046595297: 	draw	image-56	{"x":326.5,"y":750.5}
1470046595306: 	draw	image-56	{"x":327.5,"y":751.5}
1470046595322: 	draw	image-56	{"x":327.5,"y":752.5}
1470046595339: 	draw	image-56	{"x":328.5,"y":753.5}
1470046595357: 	draw	image-56	{"x":328.5,"y":754.5}
1470046595609: 	draw	image-56	{"x":386.5,"y":688.5}
1470046595723: 	draw	image-56	{"x":381.5,"y":706.5}
1470046595732: 	draw	image-56	{"x":381.5,"y":709.5}
1470046595739: 	draw	image-56	{"x":380.5,"y":713.5}
1470046595747: 	draw	image-56	{"x":378.5,"y":718.5}
1470046595757: 	draw	image-56	{"x":377.5,"y":722.5}
1470046595764: 	draw	image-56	{"x":377.5,"y":727.5}
1470046595778: 	draw	image-56	{"x":376.5,"y":731.5}
1470046595793: 	draw	image-56	{"x":374.5,"y":741.5}
1470046595807: 	draw	image-56	{"x":373.5,"y":747.5}
1470046595814: 	draw	image-56	{"x":373.5,"y":751.5}
1470046595821: 	draw	image-56	{"x":372.5,"y":754.5}
1470046595835: 	draw	image-56	{"x":371.5,"y":756.5}
1470046595850: 	draw	image-56	{"x":370.5,"y":760.5}
1470046595857: 	draw	image-56	{"x":370.5,"y":761.5}
1470046595872: 	draw	image-56	{"x":370.5,"y":762.5}
1470046595881: 	draw	image-56	{"x":369.5,"y":763.5}
1470046596143: 	draw	image-56	{"x":389.5,"y":694.5}
1470046596240: 	draw	image-56	{"x":401.5,"y":704.5}
1470046596248: 	draw	image-56	{"x":405.5,"y":708.5}
1470046596257: 	draw	image-56	{"x":410.5,"y":712.5}
1470046596264: 	draw	image-56	{"x":414.5,"y":716.5}
1470046596273: 	draw	image-56	{"x":419.5,"y":720.5}
1470046596280: 	draw	image-56	{"x":423.5,"y":723.5}
1470046596289: 	draw	image-56	{"x":426.5,"y":727.5}
1470046596298: 	draw	image-56	{"x":429.5,"y":730.5}
1470046596306: 	draw	image-56	{"x":433.5,"y":734.5}
1470046596314: 	draw	image-56	{"x":437.5,"y":737.5}
1470046596323: 	draw	image-56	{"x":440.5,"y":740.5}
1470046596331: 	draw	image-56	{"x":442.5,"y":743.5}
1470046596339: 	draw	image-56	{"x":445.5,"y":745.5}
1470046596348: 	draw	image-56	{"x":447.5,"y":747.5}
1470046596356: 	draw	image-56	{"x":448.5,"y":748.5}
1470046596364: 	draw	image-56	{"x":449.5,"y":750.5}
1470046596399: 	draw	image-56	{"x":449.5,"y":751.5}
1470046596659: 	draw	image-56	{"x":433.5,"y":732.5}
1470046596723: 	draw	image-56	{"x":418.5,"y":738.5}
1470046596731: 	draw	image-56	{"x":414.5,"y":739.5}
1470046596739: 	draw	image-56	{"x":409.5,"y":740.5}
1470046596748: 	draw	image-56	{"x":405.5,"y":740.5}
1470046596755: 	draw	image-56	{"x":401.5,"y":741.5}
1470046596764: 	draw	image-56	{"x":398.5,"y":741.5}
