1470046262362: 	acted on	sample
1470046264596: 	acted on	innerText
1470046264695: 	sub-instrument	start	shapes	true
1470046264697: 	activate	shapes
1470046265770: 	acted on	circle
1470046265861: 	sub-instrument	circle	shapes	true
1470046266507: 	shape started	{"x":1054,"y":145}
1470046266510: 	shape continued	10	circle
1470046266629: 	shape continued	16	circle
1470046266636: 	shape continued	18	circle
1470046266645: 	shape continued	23	circle
1470046266652: 	shape continued	26	circle
1470046266660: 	shape continued	29	circle
1470046266670: 	shape continued	33	circle
1470046266677: 	shape continued	38	circle
1470046266685: 	shape continued	40	circle
1470046266694: 	shape continued	43	circle
1470046266702: 	shape continued	47	circle
1470046266709: 	shape continued	50	circle
1470046266718: 	shape continued	54	circle
1470046266727: 	shape continued	59	circle
1470046266734: 	shape continued	64	circle
1470046266744: 	shape continued	68	circle
1470046266752: 	shape continued	72	circle
1470046266760: 	shape continued	76	circle
1470046266769: 	shape continued	79	circle
1470046266776: 	shape continued	82	circle
1470046266784: 	shape continued	84	circle
1470046266794: 	shape continued	86	circle
1470046266802: 	shape continued	88	circle
1470046266810: 	shape continued	90	circle
1470046266818: 	shape continued	92	circle
1470046266826: 	shape continued	94	circle
1470046266835: 	shape continued	95	circle
1470046266844: 	shape continued	97	circle
1470046266851: 	shape continued	99	circle
1470046266859: 	shape continued	100	circle
1470046266869: 	shape continued	101	circle
1470046266877: 	shape continued	103	circle
1470046266884: 	shape continued	104	circle
1470046266894: 	shape continued	104	circle
1470046266901: 	shape continued	106	circle
1470046266920: 	shape continued	107	circle
1470046266927: 	shape continued	108	circle
1470046266934: 	shape continued	109	circle
1470046266953: 	shape continued	111	circle
1470046266960: 	shape continued	112	circle
1470046266969: 	shape continued	114	circle
1470046266976: 	shape continued	116	circle
1470046266986: 	shape continued	119	circle
1470046266993: 	shape continued	121	circle
1470046267001: 	shape continued	123	circle
1470046267010: 	shape continued	126	circle
1470046267018: 	shape continued	128	circle
1470046267026: 	shape continued	131	circle
1470046267036: 	shape continued	133	circle
1470046267043: 	shape continued	136	circle
1470046267052: 	shape continued	138	circle
1470046267060: 	shape continued	141	circle
1470046267068: 	shape continued	143	circle
1470046267076: 	shape continued	145	circle
1470046267085: 	shape continued	147	circle
1470046267093: 	shape continued	150	circle
1470046267102: 	shape continued	152	circle
1470046267111: 	shape continued	154	circle
1470046267118: 	shape continued	156	circle
1470046267126: 	shape continued	158	circle
1470046267136: 	shape continued	160	circle
1470046267143: 	shape continued	163	circle
1470046267151: 	shape continued	165	circle
1470046267160: 	shape continued	167	circle
1470046267168: 	shape continued	169	circle
1470046267176: 	shape continued	171	circle
1470046267185: 	shape continued	173	circle
1470046267193: 	shape continued	175	circle
1470046267201: 	shape continued	177	circle
1470046267211: 	shape continued	180	circle
1470046267218: 	shape continued	182	circle
1470046267226: 	shape continued	184	circle
1470046267235: 	shape continued	187	circle
1470046267243: 	shape continued	189	circle
1470046267251: 	shape continued	191	circle
1470046267260: 	shape continued	193	circle
1470046267268: 	shape continued	195	circle
1470046267276: 	shape continued	197	circle
1470046267285: 	shape continued	199	circle
1470046267293: 	shape continued	201	circle
1470046267301: 	shape continued	203	circle
1470046267310: 	shape continued	205	circle
1470046267318: 	shape continued	208	circle
1470046267327: 	shape continued	210	circle
1470046267336: 	shape continued	211	circle
1470046267343: 	shape continued	213	circle
1470046267351: 	shape continued	215	circle
1470046267361: 	shape continued	216	circle
1470046267368: 	shape continued	217	circle
1470046267376: 	shape continued	218	circle
1470046267386: 	shape continued	220	circle
1470046267393: 	shape continued	221	circle
1470046267401: 	shape continued	222	circle
1470046267411: 	shape continued	222	circle
1470046267419: 	shape continued	223	circle
1470046267426: 	shape continued	224	circle
1470046267435: 	shape continued	225	circle
1470046267444: 	shape continued	226	circle
1470046267451: 	shape continued	227	circle
1470046267460: 	shape continued	228	circle
1470046267468: 	shape continued	230	circle
1470046267477: 	shape continued	232	circle
1470046268394: 	acted on	menu
1470046270327: 	acted on	menu
1470046270961: 	acted on	innerText
1470046271086: 	sub-instrument	stop	shapes	false
1470046271087: 	deactivate	shapes
