1470298982490	2016-08-04 10-23-02.490	moved	image-22	to	{"x":832,"y":218}
1470298982498	2016-08-04 10-23-02.498	action	mover	image-22	{"x":829,"y":220}
1470298982499	2016-08-04 10-23-02.499	moved	image-22	to	{"x":829,"y":220}
1470298982506	2016-08-04 10-23-02.506	action	mover	image-22	{"x":826,"y":222}
1470298982515	2016-08-04 10-23-02.515	action	mover	image-22	{"x":822,"y":223}
1470298982516	2016-08-04 10-23-02.516	moved	image-22	to	{"x":822,"y":223}
1470298982523	2016-08-04 10-23-02.523	action	mover	image-22	{"x":819,"y":225}
1470298982524	2016-08-04 10-23-02.524	moved	image-22	to	{"x":819,"y":225}
1470298982530	2016-08-04 10-23-02.530	action	mover	image-22	{"x":817,"y":227}
1470298982531	2016-08-04 10-23-02.531	moved	image-22	to	{"x":817,"y":227}
1470298982965	2016-08-04 10-23-02.965	acted	on	image-27
1470298982967	2016-08-04 10-23-02.967	action	mover	image-27	{"x":1134,"y":430}
1470298982968	2016-08-04 10-23-02.968	start	moving	image-27	from	{"x":81,"y":70}
1470298983031	2016-08-04 10-23-03.031	action	mover	image-27	{"x":1116,"y":435}
1470298983032	2016-08-04 10-23-03.032	moved	image-27	to	{"x":1116,"y":435}
1470298983038	2016-08-04 10-23-03.038	action	mover	image-27	{"x":1111,"y":435}
1470298983039	2016-08-04 10-23-03.039	moved	image-27	to	{"x":1111,"y":435}
1470298983047	2016-08-04 10-23-03.047	action	mover	image-27	{"x":1104,"y":435}
1470298983049	2016-08-04 10-23-03.049	moved	image-27	to	{"x":1104,"y":435}
1470298983055	2016-08-04 10-23-03.055	action	mover	image-27	{"x":1098,"y":434}
1470298983063	2016-08-04 10-23-03.063	action	mover	image-27	{"x":1091,"y":434}
1470298983064	2016-08-04 10-23-03.064	moved	image-27	to	{"x":1091,"y":434}
1470298983072	2016-08-04 10-23-03.072	action	mover	image-27	{"x":1084,"y":433}
1470298983073	2016-08-04 10-23-03.073	moved	image-27	to	{"x":1084,"y":433}
1470298983080	2016-08-04 10-23-03.080	action	mover	image-27	{"x":1078,"y":433}
1470298983081	2016-08-04 10-23-03.081	moved	image-27	to	{"x":1078,"y":433}
1470298983089	2016-08-04 10-23-03.089	action	mover	image-27	{"x":1070,"y":432}
1470298983090	2016-08-04 10-23-03.090	moved	image-27	to	{"x":1070,"y":432}
1470298983097	2016-08-04 10-23-03.097	action	mover	image-27	{"x":1062,"y":431}
1470298983098	2016-08-04 10-23-03.098	moved	image-27	to	{"x":1062,"y":431}
1470298983105	2016-08-04 10-23-03.105	action	mover	image-27	{"x":1054,"y":430}
1470298983106	2016-08-04 10-23-03.106	moved	image-27	to	{"x":1054,"y":430}
1470298983113	2016-08-04 10-23-03.113	action	mover	image-27	{"x":1046,"y":429}
1470298983114	2016-08-04 10-23-03.114	moved	image-27	to	{"x":1046,"y":429}
1470298983122	2016-08-04 10-23-03.122	action	mover	image-27	{"x":1038,"y":428}
1470298983123	2016-08-04 10-23-03.123	moved	image-27	to	{"x":1038,"y":428}
1470298983130	2016-08-04 10-23-03.130	action	mover	image-27	{"x":1029,"y":427}
1470298983131	2016-08-04 10-23-03.131	moved	image-27	to	{"x":1029,"y":427}
1470298983138	2016-08-04 10-23-03.138	action	mover	image-27	{"x":1019,"y":426}
1470298983139	2016-08-04 10-23-03.139	moved	image-27	to	{"x":1019,"y":426}
1470298983148	2016-08-04 10-23-03.148	action	mover	image-27	{"x":1012,"y":426}
1470298983149	2016-08-04 10-23-03.149	moved	image-27	to	{"x":1012,"y":426}
1470298983155	2016-08-04 10-23-03.155	action	mover	image-27	{"x":1004,"y":425}
1470298983156	2016-08-04 10-23-03.156	moved	image-27	to	{"x":1004,"y":425}
1470298983163	2016-08-04 10-23-03.163	action	mover	image-27	{"x":996,"y":423}
1470298983164	2016-08-04 10-23-03.164	moved	image-27	to	{"x":996,"y":423}
1470298983173	2016-08-04 10-23-03.173	action	mover	image-27	{"x":987,"y":422}
1470298983181	2016-08-04 10-23-03.181	action	mover	image-27	{"x":978,"y":421}
1470298983188	2016-08-04 10-23-03.188	action	mover	image-27	{"x":970,"y":421}
1470298983189	2016-08-04 10-23-03.189	moved	image-27	to	{"x":970,"y":421}
1470298983197	2016-08-04 10-23-03.197	action	mover	image-27	{"x":962,"y":419}
1470298983198	2016-08-04 10-23-03.198	moved	image-27	to	{"x":962,"y":419}
