1470752381819: 	acted on	sample
1470752385094: 	acted on	innerText
1470752385202: 	sub-instrument	start	shapes	true
1470752385203: 	activate	shapes
1470752385912: 	acted on	circle
1470752386003: 	sub-instrument	circle	shapes	true
1470752388155: 	shape started	{"x":1046,"y":198}
1470752388158: 	shape continued	10	circle
1470752388344: 	shape continued	14	circle
1470752388352: 	shape continued	16	circle
1470752388360: 	shape continued	18	circle
1470752388369: 	shape continued	20	circle
1470752388378: 	shape continued	22	circle
1470752388386: 	shape continued	24	circle
1470752388394: 	shape continued	26	circle
1470752388401: 	shape continued	28	circle
1470752388410: 	shape continued	30	circle
1470752388418: 	shape continued	32	circle
1470752388427: 	shape continued	34	circle
1470752388435: 	shape continued	36	circle
1470752388443: 	shape continued	38	circle
1470752388451: 	shape continued	40	circle
1470752388461: 	shape continued	41	circle
1470752388469: 	shape continued	42	circle
1470752388477: 	shape continued	44	circle
1470752388485: 	shape continued	46	circle
1470752388493: 	shape continued	47	circle
1470752388501: 	shape continued	48	circle
1470752388511: 	shape continued	49	circle
1470752388519: 	shape continued	51	circle
1470752388527: 	shape continued	53	circle
1470752388535: 	shape continued	54	circle
1470752388543: 	shape continued	55	circle
1470752388552: 	shape continued	56	circle
1470752388561: 	shape continued	58	circle
1470752388569: 	shape continued	59	circle
1470752388576: 	shape continued	60	circle
1470752388586: 	shape continued	61	circle
1470752388593: 	shape continued	62	circle
1470752388602: 	shape continued	63	circle
1470752388611: 	shape continued	64	circle
1470752388618: 	shape continued	65	circle
1470752388627: 	shape continued	66	circle
1470752388635: 	shape continued	67	circle
1470752388643: 	shape continued	68	circle
1470752388652: 	shape continued	69	circle
1470752388661: 	shape continued	70	circle
1470752388669: 	shape continued	71	circle
1470752388676: 	shape continued	72	circle
1470752388694: 	shape continued	73	circle
1470752388701: 	shape continued	74	circle
1470752388710: 	shape continued	75	circle
1470752388718: 	shape continued	75	circle
1470752388726: 	shape continued	76	circle
1470752388735: 	shape continued	77	circle
1470752388743: 	shape continued	78	circle
1470752388751: 	shape continued	79	circle
1470752388769: 	shape continued	80	circle
1470752388776: 	shape continued	81	circle
1470752388786: 	shape continued	82	circle
1470752388793: 	shape continued	83	circle
1470752388801: 	shape continued	84	circle
1470752388811: 	shape continued	85	circle
