1470752563362: 	acted on	innerText
1470752563577: 	sub-instrument	start	mover	true
1470752563578: 	activate	mover
1470752564688: 	start moving	image-27	from	{"x":101,"y":87}
1470752564868: 	moved	image-27	to	{"x":637,"y":189}
1470752564877: 	moved	image-27	to	{"x":636,"y":190}
1470752564884: 	moved	image-27	to	{"x":636,"y":192}
1470752564892: 	moved	image-27	to	{"x":635,"y":193}
1470752564899: 	moved	image-27	to	{"x":635,"y":196}
1470752564907: 	moved	image-27	to	{"x":634,"y":198}
1470752564918: 	moved	image-27	to	{"x":634,"y":199}
1470752564924: 	moved	image-27	to	{"x":633,"y":201}
1470752564933: 	moved	image-27	to	{"x":632,"y":203}
1470752564942: 	moved	image-27	to	{"x":632,"y":204}
1470752564949: 	moved	image-27	to	{"x":631,"y":205}
1470752564957: 	moved	image-27	to	{"x":631,"y":207}
1470752564968: 	moved	image-27	to	{"x":630,"y":208}
1470752564975: 	moved	image-27	to	{"x":630,"y":209}
1470752564991: 	moved	image-27	to	{"x":629,"y":211}
1470752565008: 	moved	image-27	to	{"x":628,"y":213}
1470752565018: 	moved	image-27	to	{"x":627,"y":214}
1470752565024: 	moved	image-27	to	{"x":626,"y":215}
1470752565041: 	moved	image-27	to	{"x":626,"y":216}
1470752565050: 	moved	image-27	to	{"x":625,"y":216}
1470752565058: 	moved	image-27	to	{"x":625,"y":217}
1470752565066: 	moved	image-27	to	{"x":624,"y":218}
1470752565093: 	moved	image-27	to	{"x":623,"y":219}
1470752565117: 	moved	image-27	to	{"x":622,"y":221}
1470752565124: 	moved	image-27	to	{"x":622,"y":222}
1470752565134: 	moved	image-27	to	{"x":621,"y":223}
1470752565142: 	moved	image-27	to	{"x":620,"y":225}
1470752565149: 	moved	image-27	to	{"x":619,"y":226}
1470752565157: 	moved	image-27	to	{"x":616,"y":228}
1470752565166: 	moved	image-27	to	{"x":615,"y":229}
1470752565174: 	moved	image-27	to	{"x":613,"y":231}
1470752565182: 	moved	image-27	to	{"x":611,"y":232}
1470752565191: 	moved	image-27	to	{"x":608,"y":233}
1470752565199: 	moved	image-27	to	{"x":605,"y":235}
1470752565208: 	moved	image-27	to	{"x":603,"y":237}
1470752565217: 	moved	image-27	to	{"x":600,"y":238}
1470752565225: 	moved	image-27	to	{"x":597,"y":240}
1470752565232: 	moved	image-27	to	{"x":593,"y":242}
1470752565241: 	moved	image-27	to	{"x":590,"y":243}
1470752565250: 	moved	image-27	to	{"x":586,"y":245}
1470752565258: 	moved	image-27	to	{"x":582,"y":247}
1470752565266: 	moved	image-27	to	{"x":579,"y":249}
1470752565284: 	moved	image-27	to	{"x":571,"y":253}
1470752565299: 	moved	image-27	to	{"x":565,"y":255}
1470752565316: 	moved	image-27	to	{"x":557,"y":260}
1470752565333: 	moved	image-27	to	{"x":549,"y":266}
1470752565341: 	moved	image-27	to	{"x":544,"y":269}
1470752565358: 	moved	image-27	to	{"x":536,"y":275}
1470752565367: 	moved	image-27	to	{"x":531,"y":279}
1470752565382: 	moved	image-27	to	{"x":522,"y":286}
1470752565392: 	moved	image-27	to	{"x":517,"y":290}
1470752565408: 	moved	image-27	to	{"x":508,"y":299}
1470752565425: 	moved	image-27	to	{"x":500,"y":309}
1470752565442: 	moved	image-27	to	{"x":492,"y":317}
1470752565459: 	moved	image-27	to	{"x":485,"y":325}
1470752565475: 	moved	image-27	to	{"x":478,"y":336}
1470752565491: 	moved	image-27	to	{"x":471,"y":344}
1470752565508: 	moved	image-27	to	{"x":463,"y":354}
1470752565525: 	moved	image-27	to	{"x":456,"y":362}
1470752565542: 	moved	image-27	to	{"x":450,"y":370}
1470752565559: 	moved	image-27	to	{"x":446,"y":375}
1470752565574: 	moved	image-27	to	{"x":442,"y":381}
1470752565592: 	moved	image-27	to	{"x":439,"y":386}
