1470752646817: 	acted on	sample
1470752648000: 	acted on	innerText
1470752648166: 	sub-instrument	start	draw	true
1470752648167: 	activate	draw
1470752649120: 	draw	image-44	{"x":74,"y":63}
1470752649660: 	draw	image-44	{"x":76,"y":61}
1470752649774: 	draw	image-44	{"x":72,"y":77}
1470752649782: 	draw	image-44	{"x":72,"y":78}
1470752649791: 	draw	image-44	{"x":72,"y":79}
1470752649799: 	draw	image-44	{"x":73,"y":80}
1470752649815: 	draw	image-44	{"x":74,"y":80}
1470752649825: 	draw	image-44	{"x":74,"y":81}
1470752649832: 	draw	image-44	{"x":75,"y":81}
1470752649857: 	draw	image-44	{"x":76,"y":81}
1470752649882: 	draw	image-44	{"x":77,"y":81}
1470752649891: 	draw	image-44	{"x":78,"y":80}
1470752649899: 	draw	image-44	{"x":79,"y":79}
1470752649915: 	draw	image-44	{"x":81,"y":75}
1470752649925: 	draw	image-44	{"x":81,"y":74}
1470752649940: 	draw	image-44	{"x":81,"y":70}
1470752649949: 	draw	image-44	{"x":80,"y":68}
1470752649957: 	draw	image-44	{"x":80,"y":66}
1470752649965: 	draw	image-44	{"x":79,"y":65}
1470752649975: 	draw	image-44	{"x":78,"y":65}
1470752649982: 	draw	image-44	{"x":78,"y":64}
1470752649991: 	draw	image-44	{"x":77,"y":63}
1470752650007: 	draw	image-44	{"x":76,"y":63}
1470752650056: 	draw	image-44	{"x":75,"y":62}
1470752650190: 	draw	image-44	{"x":76,"y":62}
1470752650207: 	draw	image-44	{"x":76,"y":63}
1470752650240: 	draw	image-44	{"x":77,"y":64}
1470752650249: 	draw	image-44	{"x":78,"y":66}
1470752650273: 	draw	image-44	{"x":77,"y":66}
1470752650299: 	draw	image-44	{"x":77,"y":65}
1470752650341: 	draw	image-44	{"x":77,"y":64}
1470752650357: 	draw	image-44	{"x":77,"y":63}
1470752650375: 	draw	image-44	{"x":77,"y":62}
1470752650381: 	draw	image-44	{"x":77,"y":61}
1470752650391: 	draw	image-44	{"x":77,"y":59}
1470752650398: 	draw	image-44	{"x":76,"y":59}
1470752650406: 	draw	image-44	{"x":76,"y":58}
1470752650414: 	draw	image-44	{"x":75,"y":58}
1470752650423: 	draw	image-44	{"x":74,"y":57}
1470752650440: 	draw	image-44	{"x":72,"y":57}
1470752650448: 	draw	image-44	{"x":71,"y":57}
1470752650456: 	draw	image-44	{"x":70,"y":58}
1470752650467: 	draw	image-44	{"x":68,"y":59}
1470752650482: 	draw	image-44	{"x":66,"y":61}
1470752650489: 	draw	image-44	{"x":65,"y":62}
1470752650498: 	draw	image-44	{"x":65,"y":64}
1470752650507: 	draw	image-44	{"x":65,"y":65}
1470752650516: 	draw	image-44	{"x":65,"y":66}
1470752650523: 	draw	image-44	{"x":65,"y":67}
1470752650531: 	draw	image-44	{"x":66,"y":68}
1470752650550: 	draw	image-44	{"x":67,"y":69}
1470752650566: 	draw	image-44	{"x":68,"y":69}
1470752650574: 	draw	image-44	{"x":70,"y":70}
1470752650582: 	draw	image-44	{"x":70,"y":69}
1470752650601: 	draw	image-44	{"x":73,"y":68}
1470752650615: 	draw	image-44	{"x":75,"y":66}
1470752650624: 	draw	image-44	{"x":75,"y":65}
1470752650632: 	draw	image-44	{"x":75,"y":63}
1470752650640: 	draw	image-44	{"x":75,"y":62}
1470752650658: 	draw	image-44	{"x":74,"y":60}
1470752650666: 	draw	image-44	{"x":74,"y":59}
1470752650675: 	draw	image-44	{"x":72,"y":58}
1470752650691: 	draw	image-44	{"x":71,"y":57}
1470752650699: 	draw	image-44	{"x":70,"y":57}
1470752650707: 	draw	image-44	{"x":68,"y":57}
1470752650715: 	draw	image-44	{"x":67,"y":57}
1470752650732: 	draw	image-44	{"x":65,"y":57}
1470752650740: 	draw	image-44	{"x":65,"y":58}
1470752650750: 	draw	image-44	{"x":64,"y":58}
1470752650757: 	draw	image-44	{"x":64,"y":59}
1470752650774: 	draw	image-44	{"x":63,"y":61}
1470752650782: 	draw	image-44	{"x":63,"y":62}
1470752650790: 	draw	image-44	{"x":63,"y":63}
1470752650807: 	draw	image-44	{"x":63,"y":64}
1470752650832: 	draw	image-44	{"x":65,"y":64}
1470752650849: 	draw	image-44	{"x":67,"y":64}
1470752650857: 	draw	image-44	{"x":68,"y":63}
1470752650874: 	draw	image-44	{"x":70,"y":62}
1470752650890: 	draw	image-44	{"x":72,"y":61}
1470752650907: 	draw	image-44	{"x":72,"y":59}
1470752650915: 	draw	image-44	{"x":71,"y":59}
1470752650924: 	draw	image-44	{"x":71,"y":58}
1470752650941: 	draw	image-44	{"x":70,"y":56}
1470752650958: 	draw	image-44	{"x":68,"y":55}
1470752650975: 	draw	image-44	{"x":66,"y":55}
1470752650982: 	draw	image-44	{"x":65,"y":55}
1470752650991: 	draw	image-44	{"x":64,"y":55}
1470752651008: 	draw	image-44	{"x":63,"y":55}
1470752651018: 	draw	image-44	{"x":61,"y":56}
1470752651032: 	draw	image-44	{"x":59,"y":58}
1470752651051: 	draw	image-44	{"x":59,"y":60}
1470752651075: 	draw	image-44	{"x":59,"y":62}
1470752651100: 	draw	image-44	{"x":60,"y":63}
1470752651116: 	draw	image-44	{"x":61,"y":62}
1470752651166: 	draw	image-44	{"x":62,"y":62}
1470752651187: 	draw	image-44	{"x":62,"y":61}
1470752651207: 	draw	image-44	{"x":61,"y":60}
