1470232853855: 	acted on	innerText
1470232853942: 	sub-instrument	start	mover	true
1470232853943: 	activate	mover
1470232854354: 	start moving	mover	from	{"x":67,"y":13}
1470232854434: 	moved	mover	to	{"x":152,"y":88}
1470232854441: 	moved	mover	to	{"x":153,"y":94}
1470232854449: 	moved	mover	to	{"x":155,"y":100}
1470232854457: 	moved	mover	to	{"x":157,"y":106}
1470232854475: 	moved	mover	to	{"x":162,"y":120}
1470232854489: 	moved	mover	to	{"x":165,"y":127}
1470232854498: 	moved	mover	to	{"x":173,"y":143}
1470232854506: 	moved	mover	to	{"x":178,"y":156}
1470232854520: 	moved	mover	to	{"x":184,"y":165}
1470232854532: 	moved	mover	to	{"x":192,"y":182}
1470232854541: 	moved	mover	to	{"x":196,"y":192}
1470232854550: 	moved	mover	to	{"x":198,"y":203}
1470232854557: 	moved	mover	to	{"x":201,"y":213}
1470232854565: 	moved	mover	to	{"x":201,"y":219}
1470232854574: 	moved	mover	to	{"x":201,"y":231}
1470232854582: 	moved	mover	to	{"x":201,"y":241}
1470232854591: 	moved	mover	to	{"x":199,"y":251}
1470232854598: 	moved	mover	to	{"x":198,"y":262}
1470232854607: 	moved	mover	to	{"x":195,"y":272}
1470232854615: 	moved	mover	to	{"x":193,"y":278}
1470232854623: 	moved	mover	to	{"x":190,"y":286}
1470232854632: 	moved	mover	to	{"x":187,"y":296}
1470232854641: 	moved	mover	to	{"x":184,"y":307}
1470232854648: 	moved	mover	to	{"x":181,"y":318}
1470232854657: 	moved	mover	to	{"x":178,"y":329}
1470232854665: 	moved	mover	to	{"x":176,"y":340}
1470232854674: 	moved	mover	to	{"x":174,"y":351}
1470232854681: 	moved	mover	to	{"x":173,"y":365}
1470232854690: 	moved	mover	to	{"x":173,"y":378}
1470232854698: 	moved	mover	to	{"x":174,"y":389}
1470232854706: 	moved	mover	to	{"x":176,"y":403}
1470232854716: 	moved	mover	to	{"x":178,"y":418}
1470232854725: 	moved	mover	to	{"x":180,"y":431}
1470232854731: 	moved	mover	to	{"x":182,"y":442}
1470232854741: 	moved	mover	to	{"x":185,"y":455}
1470232854749: 	moved	mover	to	{"x":187,"y":468}
1470232854757: 	moved	mover	to	{"x":187,"y":482}
1470232854766: 	moved	mover	to	{"x":188,"y":495}
1470232854774: 	moved	mover	to	{"x":190,"y":509}
1470232854781: 	moved	mover	to	{"x":191,"y":522}
1470232854791: 	moved	mover	to	{"x":192,"y":537}
1470232854798: 	moved	mover	to	{"x":194,"y":549}
1470232854806: 	moved	mover	to	{"x":196,"y":563}
1470232854815: 	moved	mover	to	{"x":197,"y":576}
1470232854823: 	moved	mover	to	{"x":199,"y":589}
1470232854832: 	moved	mover	to	{"x":201,"y":601}
1470232854840: 	moved	mover	to	{"x":202,"y":615}
1470232854848: 	moved	mover	to	{"x":204,"y":625}
1470232854856: 	moved	mover	to	{"x":205,"y":637}
1470232854865: 	moved	mover	to	{"x":206,"y":650}
1470232854873: 	moved	mover	to	{"x":207,"y":660}
1470232854881: 	moved	mover	to	{"x":208,"y":672}
1470232854891: 	moved	mover	to	{"x":210,"y":683}
1470232854899: 	moved	mover	to	{"x":212,"y":691}
1470232854906: 	moved	mover	to	{"x":212,"y":698}
1470232854916: 	moved	mover	to	{"x":212,"y":709}
1470232854924: 	moved	mover	to	{"x":212,"y":715}
1470232854932: 	moved	mover	to	{"x":213,"y":723}
1470232854940: 	moved	mover	to	{"x":213,"y":729}
1470232854948: 	moved	mover	to	{"x":212,"y":737}
1470232854956: 	moved	mover	to	{"x":211,"y":743}
1470232854966: 	moved	mover	to	{"x":210,"y":749}
1470232854974: 	moved	mover	to	{"x":209,"y":756}
1470232854981: 	moved	mover	to	{"x":208,"y":762}
1470232854991: 	moved	mover	to	{"x":208,"y":767}
1470232854998: 	moved	mover	to	{"x":207,"y":772}
1470232855006: 	moved	mover	to	{"x":206,"y":776}
1470232855016: 	moved	mover	to	{"x":205,"y":778}
1470232855023: 	moved	mover	to	{"x":205,"y":781}
1470232855031: 	moved	mover	to	{"x":205,"y":784}
1470232855040: 	moved	mover	to	{"x":204,"y":786}
1470232855048: 	moved	mover	to	{"x":203,"y":789}
1470232855056: 	moved	mover	to	{"x":203,"y":790}
1470232855065: 	moved	mover	to	{"x":202,"y":791}
1470232855082: 	moved	mover	to	{"x":201,"y":792}
1470232855098: 	moved	mover	to	{"x":200,"y":793}
1470232855106: 	moved	mover	to	{"x":199,"y":793}
1470232855123: 	moved	mover	to	{"x":198,"y":794}
1470232855174: 	moved	mover	to	{"x":197,"y":794}
1470232855809: 	start moving	clipboard	from	{"x":72,"y":16}
1470232855866: 	moved	clipboard	to	{"x":393,"y":46}
1470232855873: 	moved	clipboard	to	{"x":387,"y":47}
1470232855887: 	moved	clipboard	to	{"x":380,"y":48}
1470232855892: 	moved	clipboard	to	{"x":373,"y":49}
1470232855898: 	moved	clipboard	to	{"x":366,"y":51}
1470232855908: 	moved	clipboard	to	{"x":358,"y":53}
1470232855916: 	moved	clipboard	to	{"x":350,"y":55}
1470232855922: 	moved	clipboard	to	{"x":342,"y":57}
1470232855931: 	moved	clipboard	to	{"x":334,"y":60}
1470232855940: 	moved	clipboard	to	{"x":326,"y":62}
1470232855948: 	moved	clipboard	to	{"x":318,"y":65}
1470232855956: 	moved	clipboard	to	{"x":310,"y":69}
1470232855966: 	moved	clipboard	to	{"x":302,"y":73}
1470232855974: 	moved	clipboard	to	{"x":292,"y":80}
1470232855981: 	moved	clipboard	to	{"x":285,"y":85}
1470232855990: 	moved	clipboard	to	{"x":279,"y":90}
1470232855998: 	moved	clipboard	to	{"x":272,"y":96}
1470232856007: 	moved	clipboard	to	{"x":266,"y":102}
1470232856016: 	moved	clipboard	to	{"x":259,"y":112}
1470232856023: 	moved	clipboard	to	{"x":254,"y":119}
1470232856031: 	moved	clipboard	to	{"x":247,"y":129}
1470232856040: 	moved	clipboard	to	{"x":245,"y":134}
1470232856048: 	moved	clipboard	to	{"x":241,"y":148}
1470232856057: 	moved	clipboard	to	{"x":236,"y":160}
1470232856065: 	moved	clipboard	to	{"x":235,"y":171}
1470232856074: 	moved	clipboard	to	{"x":234,"y":181}
1470232856082: 	moved	clipboard	to	{"x":234,"y":194}
1470232856091: 	moved	clipboard	to	{"x":234,"y":208}
1470232856098: 	moved	clipboard	to	{"x":234,"y":220}
1470232856106: 	moved	clipboard	to	{"x":234,"y":234}
1470232856115: 	moved	clipboard	to	{"x":234,"y":247}
1470232856123: 	moved	clipboard	to	{"x":234,"y":260}
1470232856131: 	moved	clipboard	to	{"x":232,"y":274}
1470232856140: 	moved	clipboard	to	{"x":232,"y":287}
1470232856148: 	moved	clipboard	to	{"x":231,"y":301}
1470232856155: 	moved	clipboard	to	{"x":231,"y":314}
1470232856166: 	moved	clipboard	to	{"x":229,"y":328}
1470232856173: 	moved	clipboard	to	{"x":228,"y":341}
1470232856181: 	moved	clipboard	to	{"x":228,"y":352}
1470232856190: 	moved	clipboard	to	{"x":227,"y":364}
1470232856198: 	moved	clipboard	to	{"x":225,"y":376}
1470232856206: 	moved	clipboard	to	{"x":224,"y":386}
1470232856215: 	moved	clipboard	to	{"x":223,"y":395}
1470232856224: 	moved	clipboard	to	{"x":223,"y":406}
1470232856231: 	moved	clipboard	to	{"x":221,"y":413}
1470232856240: 	moved	clipboard	to	{"x":221,"y":421}
1470232856248: 	moved	clipboard	to	{"x":220,"y":427}
1470232856256: 	moved	clipboard	to	{"x":219,"y":432}
1470232856265: 	moved	clipboard	to	{"x":218,"y":438}
1470232856273: 	moved	clipboard	to	{"x":216,"y":442}
1470232856281: 	moved	clipboard	to	{"x":215,"y":448}
1470232856297: 	moved	clipboard	to	{"x":214,"y":451}
1470232856302: 	moved	clipboard	to	{"x":213,"y":453}
1470232856309: 	moved	clipboard	to	{"x":212,"y":456}
1470232856315: 	moved	clipboard	to	{"x":212,"y":459}
1470232856323: 	moved	clipboard	to	{"x":211,"y":461}
1470232856331: 	moved	clipboard	to	{"x":211,"y":463}
1470232856340: 	moved	clipboard	to	{"x":210,"y":464}
1470232856348: 	moved	clipboard	to	{"x":210,"y":465}
1470232856356: 	moved	clipboard	to	{"x":209,"y":466}
1470232856366: 	moved	clipboard	to	{"x":209,"y":467}
1470232856373: 	moved	clipboard	to	{"x":208,"y":467}
1470232856406: 	moved	clipboard	to	{"x":207,"y":467}
1470232856416: 	moved	clipboard	to	{"x":207,"y":468}
1470232856423: 	moved	clipboard	to	{"x":207,"y":467}
1470232856431: 	moved	clipboard	to	{"x":206,"y":467}
1470232856448: 	moved	clipboard	to	{"x":205,"y":467}
1470232856466: 	moved	clipboard	to	{"x":204,"y":467}
1470232856473: 	moved	clipboard	to	{"x":202,"y":466}
1470232856481: 	moved	clipboard	to	{"x":203,"y":466}
1470232856491: 	moved	clipboard	to	{"x":202,"y":465}
1470232856506: 	moved	clipboard	to	{"x":201,"y":464}
1470232856523: 	moved	clipboard	to	{"x":201,"y":463}
1470232856541: 	moved	clipboard	to	{"x":201,"y":459}
1470232859719: 	start moving	shapes	from	{"x":57,"y":3}
1470232859824: 	moved	shapes	to	{"x":616,"y":44}
1470232859833: 	moved	shapes	to	{"x":610,"y":45}
1470232859841: 	moved	shapes	to	{"x":606,"y":46}
1470232859847: 	moved	shapes	to	{"x":601,"y":47}
1470232859857: 	moved	shapes	to	{"x":594,"y":48}
1470232859865: 	moved	shapes	to	{"x":588,"y":48}
1470232859872: 	moved	shapes	to	{"x":583,"y":49}
1470232859882: 	moved	shapes	to	{"x":577,"y":50}
1470232859889: 	moved	shapes	to	{"x":572,"y":51}
1470232859897: 	moved	shapes	to	{"x":568,"y":51}
1470232859907: 	moved	shapes	to	{"x":563,"y":52}
1470232859914: 	moved	shapes	to	{"x":559,"y":53}
1470232859923: 	moved	shapes	to	{"x":555,"y":53}
1470232859932: 	moved	shapes	to	{"x":552,"y":54}
1470232859939: 	moved	shapes	to	{"x":549,"y":54}
1470232859948: 	moved	shapes	to	{"x":546,"y":55}
1470232859957: 	moved	shapes	to	{"x":543,"y":56}
1470232859965: 	moved	shapes	to	{"x":540,"y":56}
1470232859972: 	moved	shapes	to	{"x":537,"y":58}
1470232859982: 	moved	shapes	to	{"x":535,"y":59}
1470232859989: 	moved	shapes	to	{"x":532,"y":60}
1470232859997: 	moved	shapes	to	{"x":531,"y":62}
1470232860007: 	moved	shapes	to	{"x":529,"y":63}
1470232860015: 	moved	shapes	to	{"x":527,"y":64}
1470232860027: 	moved	shapes	to	{"x":526,"y":66}
1470232860032: 	moved	shapes	to	{"x":525,"y":68}
1470232860039: 	moved	shapes	to	{"x":523,"y":71}
1470232860048: 	moved	shapes	to	{"x":520,"y":75}
1470232860057: 	moved	shapes	to	{"x":518,"y":78}
1470232860064: 	moved	shapes	to	{"x":516,"y":81}
