1470659442281: 	acted on	innerText
1470659442453: 	sub-instrument	start	draw	true
1470659442483: 	activate	draw
1470659452580: 	draw	image-5	{"x":41,"y":80}
1470659452650: 	draw	image-5	{"x":25,"y":82}
1470659452657: 	draw	image-5	{"x":23,"y":84}
1470659452666: 	draw	image-5	{"x":21,"y":85}
1470659452674: 	draw	image-5	{"x":19,"y":88}
1470659452682: 	draw	image-5	{"x":18,"y":90}
1470659452691: 	draw	image-5	{"x":18,"y":92}
1470659452700: 	draw	image-5	{"x":17,"y":94}
1470659452707: 	draw	image-5	{"x":17,"y":96}
1470659452715: 	draw	image-5	{"x":17,"y":97}
1470659452724: 	draw	image-5	{"x":18,"y":98}
1470659452732: 	draw	image-5	{"x":19,"y":99}
1470659452741: 	draw	image-5	{"x":21,"y":100}
1470659452749: 	draw	image-5	{"x":26,"y":100}
1470659452757: 	draw	image-5	{"x":31,"y":98}
1470659452765: 	draw	image-5	{"x":36,"y":96}
1470659452774: 	draw	image-5	{"x":41,"y":93}
1470659452782: 	draw	image-5	{"x":44,"y":91}
1470659452790: 	draw	image-5	{"x":47,"y":88}
1470659452800: 	draw	image-5	{"x":49,"y":85}
1470659452808: 	draw	image-5	{"x":51,"y":83}
1470659452815: 	draw	image-5	{"x":53,"y":80}
1470659452824: 	draw	image-5	{"x":54,"y":78}
1470659452833: 	draw	image-5	{"x":55,"y":75}
1470659452840: 	draw	image-5	{"x":55,"y":73}
1470659452863: 	draw	image-5	{"x":54,"y":71}
1470659452867: 	draw	image-5	{"x":52,"y":67}
1470659452875: 	draw	image-5	{"x":51,"y":66}
1470659452883: 	draw	image-5	{"x":48,"y":64}
1470659452890: 	draw	image-5	{"x":45,"y":64}
1470659452910: 	draw	image-5	{"x":39,"y":64}
1470659452916: 	draw	image-5	{"x":36,"y":65}
1470659452925: 	draw	image-5	{"x":33,"y":66}
1470659452932: 	draw	image-5	{"x":30,"y":68}
1470659452940: 	draw	image-5	{"x":29,"y":70}
1470659452949: 	draw	image-5	{"x":27,"y":72}
1470659452957: 	draw	image-5	{"x":26,"y":75}
