1470659662340: 	moved	image-50	to	{"x":709,"y":364}
1470659662346: 	action	mover	image-50	{"x":698,"y":363}
1470659662347: 	moved	image-50	to	{"x":698,"y":363}
1470659662355: 	action	mover	image-50	{"x":687,"y":362}
1470659662362: 	action	mover	image-50	{"x":675,"y":361}
1470659662363: 	moved	image-50	to	{"x":675,"y":361}
1470659662371: 	action	mover	image-50	{"x":665,"y":358}
1470659662372: 	moved	image-50	to	{"x":665,"y":358}
1470659662380: 	action	mover	image-50	{"x":654,"y":357}
1470659662387: 	action	mover	image-50	{"x":642,"y":356}
1470659662388: 	moved	image-50	to	{"x":642,"y":356}
1470659662397: 	action	mover	image-50	{"x":632,"y":354}
1470659662398: 	moved	image-50	to	{"x":632,"y":354}
1470659662405: 	action	mover	image-50	{"x":621,"y":352}
1470659662406: 	moved	image-50	to	{"x":621,"y":352}
1470659662413: 	action	mover	image-50	{"x":609,"y":351}
1470659662422: 	action	mover	image-50	{"x":598,"y":349}
1470659662423: 	moved	image-50	to	{"x":598,"y":349}
1470659662430: 	action	mover	image-50	{"x":592,"y":348}
1470659662431: 	moved	image-50	to	{"x":592,"y":348}
1470659662438: 	action	mover	image-50	{"x":578,"y":345}
1470659662446: 	action	mover	image-50	{"x":569,"y":344}
1470659662447: 	moved	image-50	to	{"x":569,"y":344}
1470659662454: 	action	mover	image-50	{"x":556,"y":342}
1470659662455: 	moved	image-50	to	{"x":556,"y":342}
1470659662464: 	action	mover	image-50	{"x":550,"y":341}
1470659662465: 	moved	image-50	to	{"x":550,"y":341}
1470659662471: 	action	mover	image-50	{"x":536,"y":337}
1470659662472: 	moved	image-50	to	{"x":536,"y":337}
1470659662479: 	action	mover	image-50	{"x":529,"y":336}
1470659662480: 	moved	image-50	to	{"x":529,"y":336}
1470659662487: 	action	mover	image-50	{"x":519,"y":334}
1470659662488: 	moved	image-50	to	{"x":519,"y":334}
1470659662496: 	action	mover	image-50	{"x":511,"y":331}
1470659662497: 	moved	image-50	to	{"x":511,"y":331}
1470659662504: 	action	mover	image-50	{"x":502,"y":329}
1470659662505: 	moved	image-50	to	{"x":502,"y":329}
1470659662512: 	action	mover	image-50	{"x":492,"y":326}
1470659662513: 	moved	image-50	to	{"x":492,"y":326}
1470659662521: 	action	mover	image-50	{"x":485,"y":324}
1470659662522: 	moved	image-50	to	{"x":485,"y":324}
1470659662529: 	action	mover	image-50	{"x":478,"y":322}
1470659662530: 	moved	image-50	to	{"x":478,"y":322}
1470659662538: 	action	mover	image-50	{"x":470,"y":319}
1470659662539: 	moved	image-50	to	{"x":470,"y":319}
1470659662546: 	action	mover	image-50	{"x":463,"y":316}
1470659662547: 	moved	image-50	to	{"x":463,"y":316}
1470659662554: 	action	mover	image-50	{"x":456,"y":312}
1470659662555: 	moved	image-50	to	{"x":456,"y":312}
1470659662563: 	action	mover	image-50	{"x":449,"y":308}
1470659662564: 	moved	image-50	to	{"x":449,"y":308}
1470659662571: 	action	mover	image-50	{"x":443,"y":305}
1470659662572: 	moved	image-50	to	{"x":443,"y":305}
1470659662580: 	action	mover	image-50	{"x":436,"y":302}
1470659662587: 	action	mover	image-50	{"x":430,"y":298}
1470659662588: 	moved	image-50	to	{"x":430,"y":298}
1470659662596: 	action	mover	image-50	{"x":425,"y":294}
1470659662597: 	moved	image-50	to	{"x":425,"y":294}
1470659662604: 	action	mover	image-50	{"x":419,"y":291}
1470659662605: 	moved	image-50	to	{"x":419,"y":291}
1470659662612: 	action	mover	image-50	{"x":414,"y":288}
1470659662613: 	moved	image-50	to	{"x":414,"y":288}
1470659662621: 	action	mover	image-50	{"x":409,"y":284}
1470659662622: 	moved	image-50	to	{"x":409,"y":284}
1470659662630: 	action	mover	image-50	{"x":404,"y":281}
1470659662637: 	action	mover	image-50	{"x":400,"y":277}
1470659662638: 	moved	image-50	to	{"x":400,"y":277}
1470659662647: 	action	mover	image-50	{"x":395,"y":272}
1470659662655: 	action	mover	image-50	{"x":391,"y":269}
1470659662656: 	moved	image-50	to	{"x":391,"y":269}
1470659662662: 	action	mover	image-50	{"x":387,"y":265}
1470659662663: 	moved	image-50	to	{"x":387,"y":265}
1470659662671: 	action	mover	image-50	{"x":383,"y":261}
1470659662672: 	moved	image-50	to	{"x":383,"y":261}
1470659662679: 	action	mover	image-50	{"x":381,"y":258}
1470659662680: 	moved	image-50	to	{"x":381,"y":258}
1470659662687: 	action	mover	image-50	{"x":377,"y":255}
1470659662688: 	moved	image-50	to	{"x":377,"y":255}
1470659662697: 	action	mover	image-50	{"x":374,"y":251}
1470659662704: 	action	mover	image-50	{"x":371,"y":248}
1470659662705: 	moved	image-50	to	{"x":371,"y":248}
1470659662712: 	action	mover	image-50	{"x":368,"y":243}
1470659662713: 	moved	image-50	to	{"x":368,"y":243}
1470659662722: 	action	mover	image-50	{"x":366,"y":241}
1470659662723: 	moved	image-50	to	{"x":366,"y":241}
1470659662729: 	action	mover	image-50	{"x":364,"y":237}
1470659662730: 	moved	image-50	to	{"x":364,"y":237}
1470659662737: 	action	mover	image-50	{"x":362,"y":231}
1470659662738: 	moved	image-50	to	{"x":362,"y":231}
1470659662746: 	action	mover	image-50	{"x":360,"y":229}
1470659662747: 	moved	image-50	to	{"x":360,"y":229}
1470659662754: 	action	mover	image-50	{"x":358,"y":226}
1470659662755: 	moved	image-50	to	{"x":358,"y":226}
1470659662762: 	action	mover	image-50	{"x":356,"y":223}
1470659662763: 	moved	image-50	to	{"x":356,"y":223}
1470659662771: 	action	mover	image-50	{"x":354,"y":220}
1470659662772: 	moved	image-50	to	{"x":354,"y":220}
1470659662780: 	action	mover	image-50	{"x":353,"y":217}
1470659662787: 	action	mover	image-50	{"x":351,"y":214}
1470659662788: 	moved	image-50	to	{"x":351,"y":214}
1470659662797: 	action	mover	image-50	{"x":350,"y":211}
1470659662806: 	action	mover	image-50	{"x":348,"y":208}
1470659662807: 	moved	image-50	to	{"x":348,"y":208}
1470659662812: 	action	mover	image-50	{"x":347,"y":207}
1470659662813: 	moved	image-50	to	{"x":347,"y":207}
1470659662821: 	action	mover	image-50	{"x":345,"y":203}
1470659662822: 	moved	image-50	to	{"x":345,"y":203}
1470659662829: 	action	mover	image-50	{"x":344,"y":201}
1470659662830: 	moved	image-50	to	{"x":344,"y":201}
1470659662837: 	action	mover	image-50	{"x":343,"y":198}
1470659662838: 	moved	image-50	to	{"x":343,"y":198}
1470659662846: 	action	mover	image-50	{"x":342,"y":197}
1470659662847: 	moved	image-50	to	{"x":342,"y":197}
1470659662854: 	action	mover	image-50	{"x":340,"y":194}
1470659662855: 	moved	image-50	to	{"x":340,"y":194}
1470659662862: 	action	mover	image-50	{"x":339,"y":193}
1470659662863: 	moved	image-50	to	{"x":339,"y":193}
1470659662871: 	action	mover	image-50	{"x":338,"y":191}
1470659662872: 	moved	image-50	to	{"x":338,"y":191}
1470659662879: 	action	mover	image-50	{"x":337,"y":189}
1470659662880: 	moved	image-50	to	{"x":337,"y":189}
1470659662888: 	action	mover	image-50	{"x":336,"y":188}
1470659662897: 	action	mover	image-50	{"x":335,"y":186}
1470659662898: 	moved	image-50	to	{"x":335,"y":186}
1470659662904: 	action	mover	image-50	{"x":334,"y":185}
1470659662905: 	moved	image-50	to	{"x":334,"y":185}
1470659662912: 	action	mover	image-50	{"x":333,"y":183}
1470659662913: 	moved	image-50	to	{"x":333,"y":183}
1470659662922: 	action	mover	image-50	{"x":333,"y":182}
